"cluster_round2","n_cells","major_round1_sources","proposed_subtype","confidence","merge_to","notes"
"0",20745,"0;9","","","",""
"1",15967,"1;2","","","",""
"2",13058,"4;2","","","",""
"3",10842,"6;5","","","",""
"4",10693,"7;8","","","",""
"5",10579,"3;2;8","","","",""
"6",10332,"5;6;15","","","",""
"7",9776,"10;8","","","",""
"8",7137,"11","","","",""
"9",6378,"13;14","","","",""
"10",5724,"12;1","","","",""
"11",1658,"16;18","","","",""
"12",1542,"7;8;4","","","",""
"13",315,"17","","","",""
