"cluster","group","n_cells"
"0","CNP0000460",2180
"1","CNP0000460",2312
"10","CNP0000460",785
"11","CNP0000460",534
"12","CNP0000460",231
"13","CNP0000460",1
"2","CNP0000460",2370
"3","CNP0000460",1744
"4","CNP0000460",1902
"5","CNP0000460",1306
"6","CNP0000460",1590
"7","CNP0000460",1662
"8","CNP0000460",836
"9","CNP0000460",732
"0","GSE326225",750
"1","GSE326225",466
"10","GSE326225",232
"11","GSE326225",26
"12","GSE326225",60
"13","GSE326225",303
"2","GSE326225",785
"3","GSE326225",327
"4","GSE326225",260
"5","GSE326225",162
"6","GSE326225",270
"7","GSE326225",207
"8","GSE326225",276
"9","GSE326225",123
"0","HRA003620",8296
"1","HRA003620",5315
"10","HRA003620",1692
"11","HRA003620",356
"12","HRA003620",599
"13","HRA003620",5
"2","HRA003620",4563
"3","HRA003620",2504
"4","HRA003620",3292
"5","HRA003620",4127
"6","HRA003620",2366
"7","HRA003620",3470
"8","HRA003620",2163
"9","HRA003620",1882
"0","InhouseData",7812
"1","InhouseData",5381
"10","InhouseData",2288
"11","InhouseData",451
"12","InhouseData",460
"13","InhouseData",3
"2","InhouseData",3000
"3","InhouseData",4731
"4","InhouseData",3289
"5","InhouseData",3280
"6","InhouseData",4705
"7","InhouseData",2936
"8","InhouseData",2769
"9","InhouseData",2860
"0","PRJNA662018",1707
"1","PRJNA662018",2493
"10","PRJNA662018",727
"11","PRJNA662018",291
"12","PRJNA662018",192
"13","PRJNA662018",3
"2","PRJNA662018",2340
"3","PRJNA662018",1536
"4","PRJNA662018",1950
"5","PRJNA662018",1704
"6","PRJNA662018",1401
"7","PRJNA662018",1501
"8","PRJNA662018",1093
"9","PRJNA662018",781
