"cluster","group","n_cells"
"0","CNP0000460_P01N",241
"1","CNP0000460_P01N",243
"10","CNP0000460_P01N",138
"11","CNP0000460_P01N",159
"12","CNP0000460_P01N",29
"2","CNP0000460_P01N",311
"3","CNP0000460_P01N",112
"4","CNP0000460_P01N",172
"5","CNP0000460_P01N",147
"6","CNP0000460_P01N",104
"7","CNP0000460_P01N",191
"8","CNP0000460_P01N",89
"9","CNP0000460_P01N",44
"0","CNP0000460_P01T",176
"1","CNP0000460_P01T",41
"10","CNP0000460_P01T",16
"11","CNP0000460_P01T",6
"12","CNP0000460_P01T",11
"2","CNP0000460_P01T",106
"3","CNP0000460_P01T",29
"4","CNP0000460_P01T",28
"5","CNP0000460_P01T",20
"6","CNP0000460_P01T",41
"7","CNP0000460_P01T",22
"8","CNP0000460_P01T",39
"9","CNP0000460_P01T",24
"0","CNP0000460_P02N",112
"1","CNP0000460_P02N",291
"10","CNP0000460_P02N",47
"11","CNP0000460_P02N",7
"12","CNP0000460_P02N",22
"2","CNP0000460_P02N",191
"3","CNP0000460_P02N",199
"4","CNP0000460_P02N",339
"5","CNP0000460_P02N",158
"6","CNP0000460_P02N",137
"7","CNP0000460_P02N",161
"8","CNP0000460_P02N",38
"9","CNP0000460_P02N",115
"0","CNP0000460_P02T",125
"1","CNP0000460_P02T",188
"10","CNP0000460_P02T",48
"11","CNP0000460_P02T",5
"12","CNP0000460_P02T",15
"13","CNP0000460_P02T",1
"2","CNP0000460_P02T",237
"3","CNP0000460_P02T",308
"4","CNP0000460_P02T",230
"5","CNP0000460_P02T",92
"6","CNP0000460_P02T",250
"7","CNP0000460_P02T",223
"8","CNP0000460_P02T",45
"9","CNP0000460_P02T",90
"0","CNP0000460_P03N",200
"1","CNP0000460_P03N",226
"10","CNP0000460_P03N",95
"11","CNP0000460_P03N",169
"12","CNP0000460_P03N",42
"2","CNP0000460_P03N",313
"3","CNP0000460_P03N",192
"4","CNP0000460_P03N",221
"5","CNP0000460_P03N",123
"6","CNP0000460_P03N",176
"7","CNP0000460_P03N",198
"8","CNP0000460_P03N",127
"9","CNP0000460_P03N",44
"0","CNP0000460_P03T",176
"1","CNP0000460_P03T",454
"10","CNP0000460_P03T",116
"11","CNP0000460_P03T",26
"12","CNP0000460_P03T",25
"2","CNP0000460_P03T",313
"3","CNP0000460_P03T",128
"4","CNP0000460_P03T",235
"5","CNP0000460_P03T",143
"6","CNP0000460_P03T",116
"7","CNP0000460_P03T",310
"8","CNP0000460_P03T",99
"9","CNP0000460_P03T",46
"0","CNP0000460_P04T",482
"1","CNP0000460_P04T",272
"10","CNP0000460_P04T",91
"11","CNP0000460_P04T",8
"12","CNP0000460_P04T",27
"2","CNP0000460_P04T",270
"3","CNP0000460_P04T",183
"4","CNP0000460_P04T",224
"5","CNP0000460_P04T",264
