"cluster","group","proportion_within_cluster"
"0","CNP0000460_P01N",0.0116172571704025
"1","CNP0000460_P01N",0.0152188889584769
"10","CNP0000460_P01N",0.0241090146750524
"11","CNP0000460_P01N",0.0958986731001206
"12","CNP0000460_P01N",0.0188067444876783
"2","CNP0000460_P01N",0.0238168172767652
"3","CNP0000460_P01N",0.0103301973805571
"4","CNP0000460_P01N",0.0160852894416908
"5","CNP0000460_P01N",0.0138954532564515
"6","CNP0000460_P01N",0.0100658149438637
"7","CNP0000460_P01N",0.019537643207856
"8","CNP0000460_P01N",0.0124702255849797
"9","CNP0000460_P01N",0.00689871433051113
"0","CNP0000460_P01T",0.00848397204145577
"1","CNP0000460_P01T",0.00256779607941379
"10","CNP0000460_P01T",0.00279524807826695
"11","CNP0000460_P01T",0.00361881785283474
"12","CNP0000460_P01T",0.00713359273670558
"2","CNP0000460_P01T",0.00811762903966917
"3","CNP0000460_P01T",0.00267478325032282
"4","CNP0000460_P01T",0.00261853549050781
"5","CNP0000460_P01T",0.00189053785802061
"6","CNP0000460_P01T",0.00396825396825397
"7","CNP0000460_P01T",0.00225040916530278
"8","CNP0000460_P01T",0.00546448087431694
"9","CNP0000460_P01T",0.00376293508936971
"0","CNP0000460_P02N",0.00539889129910822
"1","CNP0000460_P02N",0.0182250892465711
"10","CNP0000460_P02N",0.00821104122990915
"11","CNP0000460_P02N",0.00422195416164053
"12","CNP0000460_P02N",0.0142671854734112
"2","CNP0000460_P02N",0.0146270485526114
"3","CNP0000460_P02N",0.0183545471315255
"4","CNP0000460_P02N",0.0317029832600767
"5","CNP0000460_P02N",0.0149352490783628
"6","CNP0000460_P02N",0.0132597754548974
"7","CNP0000460_P02N",0.0164689034369885
"8","CNP0000460_P02N",0.00532436598010369
"9","CNP0000460_P02N",0.0180307306365632
"0","CNP0000460_P02T",0.00602554832489757
"1","CNP0000460_P02T",0.0117742844617023
"10","CNP0000460_P02T",0.00838574423480084
"11","CNP0000460_P02T",0.00301568154402895
"12","CNP0000460_P02T",0.00972762645914397
"13","CNP0000460_P02T",0.00317460317460317
"2","CNP0000460_P02T",0.0181497932302037
"3","CNP0000460_P02T",0.028408042796532
"4","CNP0000460_P02T",0.0215093986720284
"5","CNP0000460_P02T",0.00869647414689479
"6","CNP0000460_P02T",0.024196670538134
"7","CNP0000460_P02T",0.0228109656301146
"8","CNP0000460_P02T",0.00630517023959647
"9","CNP0000460_P02T",0.0141110065851364
"0","CNP0000460_P03N",0.0096408773198361
"1","CNP0000460_P03N",0.0141541930231102
"10","CNP0000460_P03N",0.01659678546471
"11","CNP0000460_P03N",0.101930036188179
"12","CNP0000460_P03N",0.0272373540856031
"2","CNP0000460_P03N",0.0239699800888344
"3","CNP0000460_P03N",0.0177089097952407
"4","CNP0000460_P03N",0.0206677265500795
"5","CNP0000460_P03N",0.0116268078268267
"6","CNP0000460_P03N",0.0170344560588463
"7","CNP0000460_P03N",0.020253682487725
"8","CNP0000460_P03N",0.0177945915650834
"9","CNP0000460_P03N",0.00689871433051113
"0","CNP0000460_P03T",0.00848397204145577
"1","CNP0000460_P03T",0.0284336443915576
"10","CNP0000460_P03T",0.0202655485674354
"11","CNP0000460_P03T",0.0156815440289505
"12","CNP0000460_P03T",0.0162127107652399
"2","CNP0000460_P03T",0.0239699800888344
"3","CNP0000460_P03T",0.0118059398634938
"4","CNP0000460_P03T",0.0219769942953334
"5","CNP0000460_P03T",0.0135173456848473
"6","CNP0000460_P03T",0.0112272551296942
"7","CNP0000460_P03T",0.0317103109656301
"8","CNP0000460_P03T",0.0138713745271122
"9","CNP0000460_P03T",0.00721229225462527
"0","CNP0000460_P04T",0.023234514340805
"1","CNP0000460_P04T",0.0170351349658671
"10","CNP0000460_P04T",0.0158979734451433
"11","CNP0000460_P04T",0.00482509047044632
"12","CNP0000460_P04T",0.0175097276264591
"2","CNP0000460_P04T",0.020676979629346
"3","CNP0000460_P04T",0.0168788046485888
"4","CNP0000460_P04T",0.0209482839240625
"5","CNP0000460_P04T",0.024955099725872
"6","CNP0000460_P04T",0.0191637630662021
"7","CNP0000460_P04T",0.0162643207855974
"8","CNP0000460_P04T",0.0145719489981785
"9","CNP0000460_P04T",0.0224208215741612
"0","CNP0000460_P05N",0.00144613159797542
"1","CNP0000460_P05N",0.00281831277008831
"10","CNP0000460_P05N",0.00454227812718379
"11","CNP0000460_P05N",0.0223160434258142
"12","CNP0000460_P05N",0.00389105058365759
"2","CNP0000460_P05N",0.00459488436207689
"3","CNP0000460_P05N",0.003043718871057
"4","CNP0000460_P05N",0.00458243710838867
"5","CNP0000460_P05N",0.00397012950184327
"6","CNP0000460_P05N",0.00222609368950832
"7","CNP0000460_P05N",0.00347790507364975
"8","CNP0000460_P05N",0.00238195320162533
"9","CNP0000460_P05N",0.00141110065851364
"0","CNP0000460_P05T",0.00313328512894673
"1","CNP0000460_P05T",0.00482244629548444
"10","CNP0000460_P05T",0.00349406009783368
"11","CNP0000460_P05T",0.00120627261761158
"12","CNP0000460_P05T",0.00713359273670558
"2","CNP0000460_P05T",0.00742839638535763
"3","CNP0000460_P05T",0.0119904076738609
"4","CNP0000460_P05T",0.00729449172355747
"5","CNP0000460_P05T",0.00444276396634843
"6","CNP0000460_P05T",0.0112272551296942
"7","CNP0000460_P05T",0.00511456628477905
"8","CNP0000460_P05T",0.00350287235533137
"9","CNP0000460_P05T",0.00329256820319849
"0","CNP0000460_P06T",0.0236683538201976
"1","CNP0000460_P06T",0.0159078098578318
"10","CNP0000460_P06T",0.0118798043326345
"11","CNP0000460_P06T",0.00844390832328106
"12","CNP0000460_P06T",0.00972762645914397
"2","CNP0000460_P06T",0.0188390258845152
"3","CNP0000460_P06T",0.0226895406751522
