"cluster","n_cells","n_specimens","n_datasets","max_specimen","top_specimen","max_dataset","top_dataset","warning_single_specimen_gt50","warning_single_dataset_gt70","warning_very_small","warning_very_few_specimens","warning_dataset_specific_island"
"0",20745,55,5,0.115690527838033,"HRA003620_BC-11",0.399903591226802,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"1",15967,54,5,0.0527963925596543,"T4450398",0.337007578129893,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"2",13058,57,5,0.0589676826466534,"HRA003620_NC-27",0.349440955735947,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"3",10842,57,5,0.0824571112340897,"T4398343",0.436358605423354,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"4",10693,55,5,0.0573272234171888,"HRA003620_NC-30",0.30786495838399,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"5",10579,54,5,0.0632384913507893,"T4471438",0.390112487002552,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"6",10332,54,5,0.0760743321718931,"T4463209a",0.455381339527681,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"7",9776,57,5,0.0648527004909984,"HRA003620_NC-11",0.354950900163666,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"8",7137,57,5,0.0732800896735323,"HRA003620_NC-11",0.387978142076503,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"9",6378,54,5,0.0896832862966447,"T4295396",0.448416431483224,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"10",5724,55,5,0.0889238294898672,"T4471438",0.399720475192173,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"11",1658,52,5,0.101930036188179,"CNP0000460_P03N",0.322074788902292,"CNP0000460",FALSE,FALSE,FALSE,FALSE,FALSE
"12",1542,55,5,0.0804150453955901,"HRA003620_BC-30",0.388456549935149,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"13",315,16,5,0.796825396825397,"GSE326225_BC4",0.961904761904762,"GSE326225",TRUE,TRUE,FALSE,FALSE,TRUE
