"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.43701275494821,0.702,0.261,0,"0","CD8A"
0,1.85842447719645,0.727,0.302,0,"0","ITGAE"
0,1.69558678004764,0.692,0.28,0,"0","GZMB"
0,1.75907551704686,0.51,0.103,0,"0","CXCL13"
0,1.04341223164787,0.84,0.439,0,"0","NKG7"
0,1.45985237032192,0.596,0.209,0,"0","KLRD1"
0,1.43923166726371,0.592,0.208,0,"0","CD8B"
0,1.42119795884469,0.754,0.374,0,"0","LINC01871"
0,1.72187793932013,0.717,0.349,0,"0","FUT8"
0,2.2048442298186,0.49,0.123,0,"0","ATP8B4"
0,1.33473899787325,0.787,0.439,0,"0","TOX"
0,1.64531137578505,0.544,0.198,0,"0","RIN3"
0,0.991423449518329,0.945,0.604,0,"0","CCL5"
0,2.02947932841459,0.491,0.152,0,"0","HAVCR2"
0,1.00021957567841,0.703,0.367,0,"0","CCL4"
0,0.895955469495846,0.765,0.437,0,"0","GZMA"
0,1.47050167170172,0.509,0.185,0,"0","LAG3"
0,2.11076766807806,0.45,0.129,0,"0","SRGAP3"
0,1.36860331043014,0.518,0.203,0,"0","ITGA1"
0,2.00735001834789,0.458,0.144,0,"0","ENTPD1"
0,1.8148138901094,0.442,0.139,0,"0","LINC02446"
0,1.20789848543373,0.754,0.455,0,"0","RBPJ"
0,0.942942475762096,0.749,0.452,0,"0","THEMIS"
0,1.82332536774962,0.432,0.137,0,"0","DAPK2"
0,2.0385532577431,0.451,0.159,0,"0","PLPP1"
0,1.59746029069374,0.502,0.212,0,"0","DGKH"
0,2.27812698090117,0.4,0.112,0,"0","MYO1E"
0,1.39230020732312,0.492,0.206,0,"0","PTMS"
0,1.17907147157805,0.508,0.228,0,"0","CTSW"
0,1.07573569811026,0.698,0.42,0,"0","RAB27A"
0,0.808021713674203,0.532,0.257,0,"0","GZMH"
0,2.49753243367117,0.342,0.068,0,"0","GOLIM4"
0,1.47272195594604,0.472,0.201,0,"0","HOPX"
0,1.4455356289486,0.458,0.191,0,"0","GALNT2"
0,1.31459944036374,0.535,0.269,0,"0","AHI1"
0,1.68045771887827,0.445,0.179,0,"0","FAM3C"
0,1.23734150966185,0.497,0.233,0,"0","JAML"
0,1.01955877848313,0.635,0.371,0,"0","ALOX5AP"
0,0.754671521452937,0.62,0.357,0,"0","ZEB2"
0,0.834267951571027,0.519,0.256,0,"0","IFNG"
0,1.93782402772432,0.363,0.104,0,"0","CCL3"
0,1.37752786697176,0.448,0.191,0,"0","NELL2"
0,1.20374063168386,0.465,0.209,0,"0","TNIP3"
0,1.08575107129134,0.632,0.377,0,"0","SFMBT2"
0,1.56562638673455,0.345,0.093,0,"0","PDE7B"
0,0.860962495765136,0.727,0.477,0,"0","IKZF3"
0,0.909491378981645,0.488,0.241,0,"0","PRF1"
0,1.30926631502384,0.444,0.197,0,"0","CCL4L2"
0,1.11488144110905,0.615,0.37,0,"0","PAM"
0,1.06672243420035,0.724,0.48,0,"0","LYST"
0,1.07967862232343,0.519,0.277,0,"0","TRG-AS1"
0,0.921849569593986,0.618,0.377,0,"0","LINC01934"
0,0.797554913908232,0.641,0.403,0,"0","HLA-DRB1"
0,0.900921338399177,0.56,0.323,0,"0","CTSD"
0,0.862757994167072,0.651,0.414,0,"0","CD63"
0,2.03840491630468,0.316,0.081,0,"0","AKAP5"
0,0.909445670261454,0.567,0.332,0,"0","SUPT3H"
0,1.48806687249522,0.382,0.155,0,"0","ENTPD1-AS1"
0,1.34050490742782,0.412,0.185,0,"0","INPP5F"
0,1.69425949407316,0.325,0.099,0,"0","GFOD1"
0,0.78337509491894,0.785,0.561,0,"0","PTPN22"
0,1.35166478937795,0.368,0.145,0,"0","ABCB1"
0,0.607450483284254,0.567,0.346,0,"0","TIGIT"
0,1.92798142004091,0.297,0.076,0,"0","CLNK"
0,1.06091934899594,0.415,0.198,0,"0","SLF1"
0,0.827076122584203,0.495,0.278,0,"0","FABP5"
0,1.01636452858676,0.416,0.2,0,"0","MCTP2"
0,2.5473264124558,0.271,0.057,0,"0","PELO-AS1"
