"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.40818030565953,0.193,0.026,0,"0","RYR2"
0,3.39641058152029,0.114,0.01,0,"0","LINC00158"
0,3.21022191778599,0.225,0.024,0,"0","ETV1"
0,2.90172131452628,0.128,0.02,0,"0","AC022126.1"
0,2.79575841226625,0.203,0.027,0,"0","AFAP1L2"
0,2.69723828742142,0.116,0.018,0,"0","PHEX"
0,2.64304449798465,0.223,0.037,0,"0","NHS"
0,2.5473264124558,0.271,0.057,0,"0","PELO-AS1"
0,2.51589089822815,0.23,0.039,0,"0","VCAM1"
0,2.49753243367117,0.342,0.068,0,"0","GOLIM4"
0,2.45390655720039,0.134,0.03,0,"0","PIP5K1B"
0,2.44593356942123,0.181,0.039,0,"0","LINC02937"
0,2.42840641290433,0.106,0.019,0,"0","AC243829.4"
0,2.42720236427744,0.119,0.027,0,"0","ENSG00000301254"
0,2.42341435203549,0.123,0.028,0,"0","AL138720.1"
0,2.32254420445515,0.109,0.019,0,"0","TTC24"
0,2.31305655076275,0.219,0.044,0,"0","MYO7A"
0,2.27812698090117,0.4,0.112,0,"0","MYO1E"
0,2.25971263575601,0.181,0.05,0,"0","ADAMTS6"
0,2.2122466230519,0.126,0.027,0,"0","KRT86"
0,2.80592480684733,0.749,0.176,0,"1","GZMK"
0,2.67855487698029,0.216,0.049,0,"1","LINC00987"
0,2.56832085876761,0.165,0.033,0,"1","PZP"
0,2.54049321690476,0.142,0.032,0,"1","AGAP1"
0,2.38184675742104,0.254,0.089,0,"1","IFNG-AS1"
0,1.88483694058306,0.199,0.065,0,"1","A2M"
0,1.86969021019082,0.113,0.04,0,"1","ENSG00000301019"
0,1.86362961787926,0.308,0.114,0,"1","KLRG1"
0,1.76887531300958,0.283,0.128,0,"1","TNFSF9"
0,1.6836144942662,0.153,0.063,0,"1","ENSG00000274767"
0,1.60158625330804,0.259,0.108,0,"1","EPHA4"
0,1.57889878601738,0.215,0.081,0,"1","EOMES"
0,1.54273917482861,0.379,0.154,0,"1","DTHD1"
0,1.51316722577776,0.258,0.101,0,"1","C1orf21"
0,1.43353583295253,0.32,0.138,0,"1","CRTAM"
0,1.414374593256,0.194,0.077,0,"1","PLEK"
0,1.37956050624786,0.474,0.264,0,"1","CMC1"
0,1.36725592631578,0.661,0.325,0,"1","AOAH"
0,1.35607538317745,0.297,0.156,0,"1","ENSG00000232855"
0,1.35150535463499,0.256,0.126,0,"1","ITM2C"
0,1.04280820396817,0.406,0.256,0,"2","CD8B"
0,1.01384487711631,0.499,0.315,0,"2","CD8A"
0,0.819096422351883,0.846,0.639,0,"2","CCL5"
0,0.668648730229358,0.746,0.604,0,"2","RPS12"
0,0.658427308157576,0.73,0.593,0,"2","RPS3"
0,0.645173527984157,0.723,0.59,0,"2","RPL30"
0,0.638431652334595,0.751,0.613,0,"2","RPS19"
0,0.636223257082973,0.696,0.567,0,"2","RPL14"
0,0.627559811220372,0.737,0.597,0,"2","RPS14"
0,0.621073466881579,0.739,0.6,0,"2","RPL41"
0,0.614941803930843,0.715,0.578,0,"2","RPL23A"
0,0.612290927718675,0.661,0.537,0,"2","RPS5"
0,0.611790774054886,0.742,0.602,0,"2","RPS27A"
0,0.609524712311412,0.719,0.584,0,"2","RPL35A"
0,0.607728059358312,0.75,0.61,0,"2","RPS18"
0,0.603620790803467,0.724,0.586,0,"2","RPS23"
0,0.601010137973134,0.694,0.569,0,"2","RPS7"
0,0.600654661698405,0.709,0.575,0,"2","RPS25"
0,0.596575570630279,0.753,0.612,0,"2","RPL10"
0,0.59567720945754,0.699,0.566,0,"2","RPS13"
0,2.94413538907066,0.442,0.078,0,"3","RTKN2"
0,2.86625871383981,0.13,0.022,0,"3","LINC01727"
0,2.86434799857665,0.104,0.02,0,"3","ENSG00000289707"
0,2.71001869147869,0.176,0.031,0,"3","FANK1"
0,2.52192844433359,0.137,0.029,0,"3","AC093865.1"
0,2.45086314370866,0.344,0.064,0,"3","FOXP3"
0,2.45003278442249,0.16,0.046,0,"3","TAFA2"
0,2.2295194397548,0.161,0.054,0,"3","DLGAP1"
0,2.21373555773052,0.156,0.044,0,"3","AC013652.1"
0,2.18923572249528,0.639,0.185,0,"3","IKZF2"
0,2.08936963200218,0.142,0.05,0,"3","SNED1"
0,2.03836411996396,0.241,0.07,0,"3","F5"
0,2.03673223218573,0.26,0.084,0,"3","AL136456.1"
0,1.95371747307034,0.161,0.053,0,"3","IKZF4"
0,1.92284790003379,0.231,0.069,0,"3","IL1R1"
0,1.86825971515056,0.392,0.115,0,"3","IL2RA"
0,1.82550781384964,0.139,0.046,0,"3","IL6R"
0,1.82414929527574,0.511,0.191,0,"3","PLCL1"
0,1.82103199919274,0.155,0.048,0,"3","CCR6"
0,1.80471991287618,0.287,0.095,0,"3","ICA1"
0,2.56075699780611,0.13,0.025,0,"4","FMN1"
0,2.3722233947766,0.379,0.087,0,"4","CCR7"
0,2.2514276232131,0.257,0.071,0,"4","CMTM8"
0,2.22850630504426,0.174,0.043,0,"4","SCML1"
0,2.22728380294348,0.251,0.076,0,"4","TAF4B"
0,2.20668112395603,0.113,0.022,0,"4","LINC00402"
0,2.18811508264394,0.115,0.03,0,"4","ENSG00000249806"
0,2.05573703433017,0.667,0.261,0,"4","ANK3"
0,2.01219393670514,0.255,0.081,0,"4","ABTB3"
0,1.99513842149839,0.454,0.159,0,"4","FAAH2"
0,1.90987662247749,0.349,0.112,0,"4","LEF1"
0,1.90975039363771,0.171,0.05,0,"4","PELI2"
0,1.86284734546276,0.121,0.036,0,"4","PRKN"
0,1.78327746600202,0.221,0.069,0,"4","RASGRF2"
0,1.73358691799205,0.354,0.14,0,"4","SELL"
0,1.70880762796729,0.348,0.109,0,"4","PLAC8"
0,1.69678440522731,0.157,0.057,0,"4","PASK"
0,1.65779584901264,0.171,0.058,0,"4","ZBTB10"
0,1.65182358643312,0.288,0.141,0,"4","PGAP1"
0,1.6506211923696,0.166,0.056,0,"4","TRABD2A"
0,2.19957459354071,0.162,0.049,0,"5","ENSG00000297373"
0,1.66345251343376,0.317,0.134,0,"5","EGR1"
0,1.46740580552476,0.495,0.246,0,"5","ATF3"
0,1.40620127366763,0.575,0.318,0,"5","HSPA6"
0,1.3704624052935,0.648,0.381,0,"5","GADD45B"
0,1.31919229412974,0.563,0.341,0,"5","ZFAND2A"
0,1.30329896287322,0.622,0.34,0,"5","FOSB"
0,1.29126939405864,0.552,0.286,0,"5","NR4A1"
0,1.28870266236639,0.725,0.483,0,"5","FOS"
0,1.27913547214093,0.428,0.216,0,"5","NEU1"
0,1.26379396316357,0.481,0.283,0,"5","IFNG"
0,1.17620043929684,0.773,0.496,0,"5","PPP1R15A"
0,1.15706431902047,0.636,0.421,0,"5","BTG2"
0,1.1468263682774,0.8,0.536,0,"5","DUSP1"
0,1.13806909817052,0.5,0.295,0,"5","DNAJB4"
0,1.12194817553532,0.897,0.67,0,"5","JUN"
0,1.0660194111743,0.649,0.444,0,"5","IER2"
0,1.06380421024496,0.622,0.381,0,"5","BAG3"
0,1.03858023141843,0.432,0.264,0,"5","IER5"
0,1.03032611295315,0.736,0.491,0,"5","ANXA1"
0,6.08063190235594,0.123,0.002,0,"6","CD177"
0,5.52628192823867,0.438,0.013,0,"6","LINC02099"
0,4.78236412813447,0.167,0.005,0,"6","GNG8"
0,4.74762964283916,0.154,0.005,0,"6","LINC00589"
0,4.70137612371895,0.424,0.017,0,"6","IL1R2"
0,4.57834095569835,0.266,0.01,0,"6","CCR8"
0,4.49605166364536,0.227,0.011,0,"6","LINC00519"
0,4.43510169874254,0.186,0.009,0,"6","TNFRSF8"
0,4.24892782794578,0.198,0.011,0,"6","AC104850.2"
0,4.11847214720538,0.748,0.121,0,"6","TNFRSF4"
0,4.11147824700654,0.161,0.01,0,"6","EBI3"
0,3.95150169323901,0.602,0.042,0,"6","FOXP3"
0,3.8717210229223,0.109,0.007,0,"6","AC017002.3"
0,3.75413389687014,0.68,0.09,0,"6","IL2RA"
0,3.7480309976236,0.145,0.012,0,"6","ENSG00000287780"
0,3.7238494457012,0.505,0.045,0,"6","IL1R1"
0,3.71212964593714,0.289,0.021,0,"6","FANK1"
0,3.66537804513329,0.118,0.009,0,"6","SOCAR"
0,3.61094835481946,0.103,0.007,0,"6","LINC00884"
0,3.5027971734453,0.149,0.013,0,"6","STAC"
0,5.33645804529515,0.143,0.006,0,"7","SLC4A10"
0,3.30475677907205,0.13,0.014,0,"7","IL26"
0,3.27925302647324,0.112,0.019,0,"7","RNF144B"
0,3.25511832475644,0.208,0.027,0,"7","IL4I1"
0,2.81711439230196,0.362,0.06,0,"7","PTPN13"
0,2.78950408981035,0.124,0.02,0,"7","IL23R"
0,2.56094561637049,0.341,0.08,0,"7","CCL20"
0,2.5106322739765,0.31,0.059,0,"7","CD40LG"
0,2.31336590628524,0.113,0.022,0,"7","NEO1"
0,2.24270759889782,0.129,0.027,0,"7","HLF"
0,2.1890332154973,0.255,0.062,0,"7","CTSH"
0,2.18419781179909,0.118,0.025,0,"7","ENSG00000284825"
0,2.15876883744945,0.685,0.26,0,"7","KLRB1"
0,2.13237132797467,0.15,0.038,0,"7","ENSG00000303114"
0,2.12174838190442,0.19,0.047,0,"7","ADAM12"
0,2.1077460741969,0.2,0.055,0,"7","TNFSF13B"
0,2.07495595670675,0.393,0.152,0,"7","MAP3K4"
0,2.07212428424933,0.112,0.026,0,"7","LRP12"
0,1.99082294488652,0.22,0.062,0,"7","DPP4"
0,1.83002553253348,0.15,0.049,0,"7","CCR6"
0,5.97357655397433,0.193,0.004,0,"8","ADGRG3"
0,5.43483945115835,0.138,0.003,0,"8","CCNJL"
0,5.05421231489329,0.137,0.005,0,"8","B3GNT7"
0,4.90879468703515,0.101,0.005,0,"8","RASSF8"
0,4.90021317961583,0.24,0.011,0,"8","LDB2"
0,4.86788466969167,0.248,0.011,0,"8","LINC00996"
0,4.67346899699399,0.311,0.011,0,"8","SH2D1B"
0,4.60892455927815,0.156,0.009,0,"8","GAB1"
0,4.52056647481948,0.15,0.008,0,"8","PPP1R9A"
0,4.45490159370788,0.529,0.035,0,"8","FCER1G"
0,4.28492826674665,0.166,0.012,0,"8","PLXNA4"
0,4.19637052245981,0.182,0.01,0,"8","SYK"
0,4.17610662756774,0.726,0.06,0,"8","TYROBP"
0,4.10822595766715,0.588,0.036,0,"8","TRDC"
0,4.00586581430824,0.111,0.009,0,"8","BCO2"
0,3.85557193886105,0.249,0.022,0,"8","KRT81"
0,3.81172629282809,0.418,0.039,0,"8","NCAM1"
0,3.65676276159691,0.315,0.024,0,"8","KLRF1"
0,3.55760269552715,0.109,0.01,0,"8","FES"
0,3.46992502285073,0.166,0.018,0,"8","IGFBP2"
0,7.57545832038099,0.116,0.001,0,"9","IGFL2"
0,4.50659733358612,0.251,0.016,0,"9","LHFPL6"
0,4.49726712811663,0.113,0.006,0,"9","HSD11B1"
0,4.46109814399327,0.199,0.011,0,"9","IL21"
0,4.45133043217422,0.114,0.007,0,"9","AL138828.1"
0,4.03762721737673,0.275,0.023,0,"9","GNG4"
0,3.7285861879563,0.163,0.015,0,"9","AL133405.2"
0,3.72457019980932,0.114,0.012,0,"9","HSPA12A"
0,3.71457982347035,0.139,0.012,0,"9","IL21-AS1"
0,3.69165900874689,0.135,0.012,0,"9","ANKRD55"
0,3.5213179960362,0.303,0.053,0,"9","NMB"
0,3.51111990216223,0.143,0.015,0,"9","NTRK2"
0,3.46660060525636,0.284,0.033,0,"9","CD200"
0,3.46208039391586,0.45,0.064,0,"9","PTPN13"
0,3.43440933823909,0.672,0.144,0,"9","CXCL13"
0,3.42181422292997,0.297,0.038,0,"9","CPM"
0,3.4202630709313,0.615,0.109,0,"9","PDE7B"
0,3.3563074018087,0.119,0.015,0,"9","AL360178.1"
0,3.24182251786572,0.144,0.017,0,"9","PDE7B-AS1"
0,3.21459891123627,0.175,0.045,0,"9","G0S2"
0,7.31125367203766,0.567,0.007,0,"10","FGFBP2"
0,5.35193639927333,0.219,0.009,0,"10","CX3CR1"
0,4.88637767021923,0.453,0.025,0,"10","FCGR3A"
0,4.82535724159685,0.118,0.01,0,"10","MYOM2"
0,4.81932175027673,0.184,0.007,0,"10","S1PR5"
0,4.51816866127929,0.115,0.02,0,"10","PTGDS"
0,4.33853109289952,0.162,0.014,0,"10","LINGO2"
0,4.24401582360241,0.155,0.012,0,"10","BNC2"
0,4.21668015887336,0.371,0.025,0,"10","KLRF1"
0,4.02040461974789,0.1,0.007,0,"10","SLCO4C1"
0,3.95899505789986,0.213,0.019,0,"10","SGCD"
0,3.84309871696524,0.202,0.018,0,"10","PRSS23"
0,3.78534361382027,0.117,0.009,0,"10","ITGAM"
0,3.77556640947039,0.132,0.012,0,"10","LILRB1"
