"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13"
"0",10875,383,784,30,20,556,6,82,185,257,27,43,180,5
"1",190,8319,479,34,62,182,2,34,121,7,633,35,47,4
"2",446,4944,1954,12,54,1534,0,29,263,8,439,80,159,2
"3",623,951,1063,46,455,5959,3,286,221,25,40,76,77,0
"4",696,532,6737,216,169,142,4,209,99,5,37,42,209,9
"5",25,6,12,4454,83,7,4117,59,7,66,1,1,0,0
"6",12,2,13,4793,84,4,3653,42,4,24,2,2,0,0
"7",9,102,881,362,5617,209,3,338,37,39,0,23,388,0
"8",13,156,347,73,3070,1470,1,2265,28,149,62,43,283,0
"9",6869,165,308,5,4,244,0,13,166,57,21,36,11,1
"10",88,44,176,305,544,178,26,5636,6,217,3,54,169,1
"11",137,10,39,2,2,13,1,15,5784,0,170,1,0,0
"12",4,5,2,1,0,6,0,2,189,0,4175,2,0,0
"13",117,46,5,81,420,12,24,211,0,3011,0,1,0,0
"14",320,64,14,14,48,16,12,508,3,2493,0,3,5,0
"15",2,0,2,407,0,0,2480,2,0,6,0,0,0,0
"16",107,131,170,3,7,15,0,30,5,9,61,952,9,0
"17",206,91,68,3,48,31,0,14,19,5,48,1,4,293
"18",6,16,4,1,6,1,0,1,0,0,5,263,1,0
