"cluster_round2","n_cells","major_round1_sources","proposed_subtype","confidence","merge_to","notes"
"0",15317,"6;5;15","","","",""
"1",9640,"1;2","","","",""
"2",8597,"2;3;9","","","",""
"3",8511,"0;9","","","",""
"4",8118,"3;4;7","","","",""
"5",7981,"3;8;7","","","",""
"6",7564,"4;0;3","","","",""
"7",7326,"7;8","","","",""
"8",6305,"14;13","","","",""
"9",6090,"0;4","","","",""
"10",5617,"11","","","",""
"11",4731,"12;1","","","",""
"12",4669,"10;8","","","",""
"13",4215,"10;8","","","",""
"14",3901,"16;1","","","",""
"15",2318,"2;8","","","",""
"16",2220,"9;2","","","",""
"17",1804,"5;15;8","","","",""
"18",1669,"5","","","",""
"19",1651,"6;7;4","","","",""
"20",1538,"4;2","","","",""
"21",1237,"2;11;8","","","",""
"22",1206,"9;2","","","",""
"23",869,"5","","","",""
"24",530,"9;2","","","",""
"25",419,"11","","","",""
"26",417,"9","","","",""
"27",173,"9","","","",""
"28",113,"11","","","",""
