"cluster","group","n_cells"
"0","CNP0000460",2713
"1","CNP0000460",1753
"10","CNP0000460",698
"11","CNP0000460",675
"12","CNP0000460",807
"13","CNP0000460",624
"14","CNP0000460",1059
"15","CNP0000460",26
"16","CNP0000460",130
"17","CNP0000460",2
"18","CNP0000460",10
"19","CNP0000460",1436
"2","CNP0000460",752
"20","CNP0000460",152
"21","CNP0000460",1
"22","CNP0000460",4
"24","CNP0000460",2
"25","CNP0000460",5
"27","CNP0000460",1
"3","CNP0000460",968
"4","CNP0000460",1104
"5","CNP0000460",909
"6","CNP0000460",1375
"7","CNP0000460",1519
"8","CNP0000460",562
"9","CNP0000460",898
"0","GSE326225",559
"1","GSE326225",335
"10","GSE326225",260
"11","GSE326225",145
"12","GSE326225",90
"13","GSE326225",59
"14","GSE326225",59
"15","GSE326225",43
"16","GSE326225",34
"18","GSE326225",2
"19","GSE326225",12
"2","GSE326225",290
"20","GSE326225",87
"21","GSE326225",4
"23","GSE326225",1
"25","GSE326225",2
"3","GSE326225",391
"4","GSE326225",130
"5","GSE326225",269
"6","GSE326225",421
"7","GSE326225",222
"8","GSE326225",168
"9","GSE326225",664
"0","HRA003620",4013
"1","HRA003620",3280
"10","HRA003620",1830
"11","HRA003620",1694
"12","HRA003620",1566
"13","HRA003620",2261
"14","HRA003620",1158
"15","HRA003620",73
"16","HRA003620",95
"17","HRA003620",3
"18","HRA003620",5
"19","HRA003620",75
"2","HRA003620",1613
"20","HRA003620",176
"21","HRA003620",5
"22","HRA003620",9
"24","HRA003620",6
"25","HRA003620",3
"26","HRA003620",4
"27","HRA003620",5
"3","HRA003620",4605
"4","HRA003620",4272
"5","HRA003620",2736
"6","HRA003620",4112
"7","HRA003620",2345
"8","HRA003620",1651
"9","HRA003620",3035
"0","InhouseData",5280
"1","InhouseData",2517
"10","InhouseData",1811
"11","InhouseData",1536
"12","InhouseData",1550
"13","InhouseData",826
"14","InhouseData",997
"15","InhouseData",2124
"16","InhouseData",1938
"17","InhouseData",1793
"18","InhouseData",1642
"19","InhouseData",30
"2","InhouseData",4463
"20","InhouseData",938
"21","InhouseData",1221
"22","InhouseData",1181
"23","InhouseData",866
"24","InhouseData",522
"25","InhouseData",409
"26","InhouseData",413
"27","InhouseData",167
"28","InhouseData",113
"3","InhouseData",1824
"4","InhouseData",929
"5","InhouseData",2586
"6","InhouseData",1024
"7","InhouseData",1715
"8","InhouseData",3109
"9","InhouseData",441
"0","PRJNA662018",2752
"1","PRJNA662018",1755
"10","PRJNA662018",1018
"11","PRJNA662018",681
"12","PRJNA662018",656
"13","PRJNA662018",445
"14","PRJNA662018",628
"15","PRJNA662018",52
"16","PRJNA662018",23
"17","PRJNA662018",6
"18","PRJNA662018",10
"19","PRJNA662018",98
"2","PRJNA662018",1479
"20","PRJNA662018",185
"21","PRJNA662018",6
"22","PRJNA662018",12
"23","PRJNA662018",2
"3","PRJNA662018",723
"4","PRJNA662018",1683
"5","PRJNA662018",1481
"6","PRJNA662018",632
"7","PRJNA662018",1525
"8","PRJNA662018",815
"9","PRJNA662018",1052
