"cluster","group","proportion_within_cluster"
"0","CNP0000460",0.177123457596135
"1","CNP0000460",0.181846473029046
"10","CNP0000460",0.124265622218266
"11","CNP0000460",0.142675967025999
"12","CNP0000460",0.172842150353395
"13","CNP0000460",0.148042704626335
"14","CNP0000460",0.271468854139964
"15","CNP0000460",0.0112165660051769
"16","CNP0000460",0.0585585585585586
"17","CNP0000460",0.00110864745011086
"18","CNP0000460",0.00599161174355902
"19","CNP0000460",0.869775893397941
"2","CNP0000460",0.0874723740839828
"20","CNP0000460",0.0988296488946684
"21","CNP0000460",0.000808407437348424
"22","CNP0000460",0.0033167495854063
"24","CNP0000460",0.00377358490566038
"25","CNP0000460",0.0119331742243437
"27","CNP0000460",0.00578034682080925
"3","CNP0000460",0.113735166255434
"4","CNP0000460",0.135994087213599
"5","CNP0000460",0.113895501816815
"6","CNP0000460",0.181782125859334
"7","CNP0000460",0.207343707343707
"8","CNP0000460",0.0891356066613799
"9","CNP0000460",0.147454844006568
"0","GSE326225",0.0364953972710061
"1","GSE326225",0.0347510373443983
"10","GSE326225",0.0462880541214171
"11","GSE326225",0.0306489114352145
"12","GSE326225",0.0192760762475905
"13","GSE326225",0.0139976275207592
"14","GSE326225",0.0151243270956165
"15","GSE326225",0.0185504745470233
"16","GSE326225",0.0153153153153153
"18","GSE326225",0.0011983223487118
"19","GSE326225",0.00726832222895215
"2","GSE326225",0.0337326974525997
"20","GSE326225",0.0565669700910273
"21","GSE326225",0.00323362974939369
"23","GSE326225",0.00115074798619102
"25","GSE326225",0.00477326968973747
"3","GSE326225",0.0459405475267301
"4","GSE326225",0.0160137965016014
"5","GSE326225",0.0337050494925448
"6","GSE326225",0.0556583818085669
"7","GSE326225",0.0303030303030303
"8","GSE326225",0.0266455194290246
"9","GSE326225",0.109031198686371
"0","HRA003620",0.261996474505451
"1","HRA003620",0.340248962655602
"10","HRA003620",0.325796688623821
"11","HRA003620",0.358063834284506
"12","HRA003620",0.335403726708075
"13","HRA003620",0.536417556346382
"14","HRA003620",0.296846962317355
"15","HRA003620",0.0314926660914582
"16","HRA003620",0.0427927927927928
"17","HRA003620",0.0016629711751663
"18","HRA003620",0.00299580587177951
"19","HRA003620",0.0454270139309509
"2","HRA003620",0.187623589624288
"20","HRA003620",0.11443433029909
"21","HRA003620",0.00404203718674212
"22","HRA003620",0.00746268656716418
"24","HRA003620",0.0113207547169811
"25","HRA003620",0.00715990453460621
"26","HRA003620",0.00959232613908873
"27","HRA003620",0.0289017341040462
"3","HRA003620",0.541064504758548
"4","HRA003620",0.526237989652624
"5","HRA003620",0.342814183686255
"6","HRA003620",0.54362771020624
"7","HRA003620",0.32009282009282
"8","HRA003620",0.261855670103093
"9","HRA003620",0.498357963875205
"0","InhouseData",0.344715022523993
"1","InhouseData",0.261099585062241
"10","InhouseData",0.322414100053409
"11","InhouseData",0.324667089410273
"12","InhouseData",0.331976868708503
"13","InhouseData",0.195966785290629
"14","InhouseData",0.255575493463215
"15","InhouseData",0.916307161345988
"16","InhouseData",0.872972972972973
"17","InhouseData",0.99390243902439
"18","InhouseData",0.983822648292391
"19","InhouseData",0.0181708055723804
"2","InhouseData",0.519134581830871
"20","InhouseData",0.609882964889467
"21","InhouseData",0.987065481002425
"22","InhouseData",0.979270315091211
"23","InhouseData",0.996547756041427
"24","InhouseData",0.984905660377358
"25","InhouseData",0.976133651551313
"26","InhouseData",0.990407673860911
"27","InhouseData",0.965317919075145
"28","InhouseData",1
"3","InhouseData",0.214310891787099
"4","InhouseData",0.114437053461444
"5","InhouseData",0.324019546422754
"6","InhouseData",0.135378106821787
"7","InhouseData",0.234097734097734
"8","InhouseData",0.49310071371927
"9","InhouseData",0.0724137931034483
"0","PRJNA662018",0.179669648103415
"1","PRJNA662018",0.182053941908714
"10","PRJNA662018",0.181235534983087
"11","PRJNA662018",0.143944197844008
"12","PRJNA662018",0.140501177982437
"13","PRJNA662018",0.105575326215896
"14","PRJNA662018",0.16098436298385
"15","PRJNA662018",0.0224331320103538
"16","PRJNA662018",0.0103603603603604
"17","PRJNA662018",0.00332594235033259
"18","PRJNA662018",0.00599161174355902
"19","PRJNA662018",0.0593579648697759
"2","PRJNA662018",0.172036757008259
"20","PRJNA662018",0.120286085825748
"21","PRJNA662018",0.00485044462409054
"22","PRJNA662018",0.00995024875621891
"23","PRJNA662018",0.00230149597238205
"3","PRJNA662018",0.0849488896721889
"4","PRJNA662018",0.207317073170732
"5","PRJNA662018",0.185565718581631
"6","PRJNA662018",0.0835536753040719
"7","PRJNA662018",0.208162708162708
"8","PRJNA662018",0.129262490087232
"9","PRJNA662018",0.172742200328407
