"cluster","group","proportion_within_cluster"
"0","CNP0000460_P01N",0.0120780831755566
"1","CNP0000460_P01N",0.00580912863070539
"10","CNP0000460_P01N",0.00907957984689336
"11","CNP0000460_P01N",0.0355104629042486
"12","CNP0000460_P01N",0.0137074319982866
"13","CNP0000460_P01N",0.0106761565836299
"14","CNP0000460_P01N",0.131248397846706
"15","CNP0000460_P01N",0.00172562553925798
"2","CNP0000460_P01N",0.0041875072699779
"20","CNP0000460_P01N",0.0221066319895969
"3","CNP0000460_P01N",0.000117495006462225
"4","CNP0000460_P01N",0.0192165558019217
"5","CNP0000460_P01N",0.00213005888986343
"6","CNP0000460_P01N",0.0754891591750397
"7","CNP0000460_P01N",0.0055965055965056
"8","CNP0000460_P01N",0.00126883425852498
"9","CNP0000460_P01N",0.00509031198686371
"0","CNP0000460_P01T",0.00450479858980218
"1","CNP0000460_P01T",0.00197095435684647
"10","CNP0000460_P01T",0.00498486736692184
"11","CNP0000460_P01T",0.0021137180300148
"12","CNP0000460_P01T",0.00107089312486614
"13","CNP0000460_P01T",0.000237247924080664
"14","CNP0000460_P01T",0.000512689054088695
"2","CNP0000460_P01T",0.00023263929277655
"20","CNP0000460_P01T",0.0312093628088427
"25","CNP0000460_P01T",0.00954653937947494
"27","CNP0000460_P01T",0.00578034682080925
"3","CNP0000460_P01T",0.000822465045235578
"4","CNP0000460_P01T",0.00160137965016014
"5","CNP0000460_P01T",0.000250595163513344
"6","CNP0000460_P01T",0.00171866737176097
"7","CNP0000460_P01T",0.000819000819000819
"8","CNP0000460_P01T",0.0014274385408406
"9","CNP0000460_P01T",0.0525451559934319
"0","CNP0000460_P02N",0.017496898870536
"1","CNP0000460_P02N",0.0437759336099585
"10","CNP0000460_P02N",0.00480683638953178
"11","CNP0000460_P02N",0.00295920524202071
"12","CNP0000460_P02N",0.00685371599914329
"13","CNP0000460_P02N",0.00593119810201661
"14","CNP0000460_P02N",0.00102537810817739
"15","CNP0000460_P02N",0.00172562553925798
"19","CNP0000460_P02N",0.00242277407631738
"2","CNP0000460_P02N",0.00069791787832965
"20","CNP0000460_P02N",0.000650195058517555
"4","CNP0000460_P02N",0.00332594235033259
"5","CNP0000460_P02N",0.00363362987094349
"6","CNP0000460_P02N",0.00132205182443152
"7","CNP0000460_P02N",0.112066612066612
"8","CNP0000460_P02N",0.0191911181601903
"9","CNP0000460_P02N",0.000328407224958949
"0","CNP0000460_P02T",0.00169746033818633
"1","CNP0000460_P02T",0.000311203319502075
"10","CNP0000460_P02T",0.00445077443475165
"11","CNP0000460_P02T",0.00021137180300148
"12","CNP0000460_P02T",0.00342685799957164
"13","CNP0000460_P02T",0.0680901542111507
"15","CNP0000460_P02T",0.000862812769628991
"17","CNP0000460_P02T",0.000554323725055432
"18","CNP0000460_P02T",0.00599161174355902
"19","CNP0000460_P02T",0.864930345245306
"20","CNP0000460_P02T",0.0136540962288687
"22","CNP0000460_P02T",0.000829187396351575
"3","CNP0000460_P02T",0.000117495006462225
"4","CNP0000460_P02T",0.000246366100024637
"5","CNP0000460_P02T",0.000375892745270016
"7","CNP0000460_P02T",0.000546000546000546
"8","CNP0000460_P02T",0.0034892942109437
"9","CNP0000460_P02T",0.000656814449917898
"0","CNP0000460_P03N",0.0242214532871972
"1","CNP0000460_P03N",0.0112033195020747
"10","CNP0000460_P03N",0.0236781199928788
"11","CNP0000460_P03N",0.015852885225111
"12","CNP0000460_P03N",0.0126365388734204
"13","CNP0000460_P03N",0.0253855278766311
"14","CNP0000460_P03N",0.095872853114586
"15","CNP0000460_P03N",0.000862812769628991
"2","CNP0000460_P03N",0.00814237524717925
"20","CNP0000460_P03N",0.00130039011703511
"3","CNP0000460_P03N",0.000117495006462225
"4","CNP0000460_P03N",0.0370780980537078
"5","CNP0000460_P03N",0.000125297581756672
"6","CNP0000460_P03N",0.0391327340031729
"7","CNP0000460_P03N",0.0232050232050232
"8","CNP0000460_P03N",0.00507533703409992
"9","CNP0000460_P03N",0.00394088669950739
"0","CNP0000460_P03T",0.0150159952993406
"1","CNP0000460_P03T",0.0726141078838174
"10","CNP0000460_P03T",0.0137083852590351
"11","CNP0000460_P03T",0.0249418727541746
"12","CNP0000460_P03T",0.0813878774898265
"13","CNP0000460_P03T",0.0130486358244365
"14","CNP0000460_P03T",0.00230710074339913
"15","CNP0000460_P03T",0.00517687661777394
"16","CNP0000460_P03T",0.00045045045045045
"2","CNP0000460_P03T",0.000348958939164825
"20","CNP0000460_P03T",0.00195058517555267
"4","CNP0000460_P03T",0.0331362404533136
"5","CNP0000460_P03T",0.000626487908783361
"6","CNP0000460_P03T",0.0200951877313591
"7","CNP0000460_P03T",0.0223860223860224
"8","CNP0000460_P03T",0.000793021411578113
"9","CNP0000460_P03T",0.000656814449917898
"0","CNP0000460_P04T",0.02330743618202
"1","CNP0000460_P04T",0.0020746887966805
"10","CNP0000460_P04T",0.013530354281645
"11","CNP0000460_P04T",0.0139505389980977
"12","CNP0000460_P04T",0.000642535874919683
"13","CNP0000460_P04T",0.00901542111506524
"14","CNP0000460_P04T",0.000256344527044348
"16","CNP0000460_P04T",0.000900900900900901
"17","CNP0000460_P04T",0.000554323725055432
"19","CNP0000460_P04T",0.00121138703815869
"2","CNP0000460_P04T",0.0567639874374782
"20","CNP0000460_P04T",0.0110533159947984
"24","CNP0000460_P04T",0.00377358490566038
"3","CNP0000460_P04T",0.057337563153566
"4","CNP0000460_P04T",0.00295639320029564
"5","CNP0000460_P04T",0.0804410474877835
"6","CNP0000460_P04T",0.00211528291909043
"7","CNP0000460_P04T",0.00204750204750205
"8","CNP0000460_P04T",0.0215701823949247
"9","CNP0000460_P04T",0.00509031198686371
"0","CNP0000460_P05N",0.00346020761245675
"1","CNP0000460_P05N",0.00155601659751037
