"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.76496363453983,0.75,0.151,0,"0","IKZF2"
0,3.63011361546191,0.517,0.053,0,"0","RTKN2"
0,3.25419871031219,0.532,0.084,0,"0","IL2RA"
0,2.22717304891014,0.648,0.21,0,"0","TBC1D4"
0,2.97045941897329,0.547,0.12,0,"0","TNFRSF4"
0,3.66942911135033,0.45,0.038,0,"0","FOXP3"
0,1.52086743367406,0.737,0.353,0,"0","LTB"
0,1.88968257522118,0.6,0.218,0,"0","CTLA4"
0,2.12953016093765,0.565,0.184,0,"0","TNFRSF18"
0,1.56883679775298,0.767,0.388,0,"0","PHACTR2"
0,1.91308116185406,0.547,0.173,0,"0","PLCL1"
0,1.79805429178832,0.737,0.363,0,"0","BATF"
0,1.87982577661804,0.606,0.241,0,"0","STAM"
0,1.38529865325432,0.708,0.374,0,"0","ICOS"
0,1.39212146989251,0.669,0.342,0,"0","TIGIT"
0,2.01583331207308,0.471,0.155,0,"0","IL12RB2"
0,1.86890989253672,0.521,0.206,0,"0","GPHN"
0,2.11729873892645,0.451,0.137,0,"0","GK"
0,1.56215700066883,0.653,0.342,0,"0","CARD16"
0,3.11905333930627,0.341,0.049,0,"0","F5"
0,3.01428686819604,0.338,0.048,0,"0","IL1R1"
0,1.35241250419693,0.553,0.263,0,"0","CD27"
0,1.51043936170527,0.513,0.224,0,"0","LINC02694"
0,2.49409581971064,0.361,0.076,0,"0","ICA1"
0,1.63289891198585,0.433,0.149,0,"0","FAAH2"
0,1.21970056096968,0.734,0.45,0,"0","DUSP16"
0,1.26016026122483,0.813,0.529,0,"0","LDLRAD4"
0,1.33622434861697,0.625,0.345,0,"0","MIR4435-2HG"
0,2.12091410115791,0.438,0.165,0,"0","CRADD"
0,1.31717351190882,0.476,0.208,0,"0","CD28"
0,2.19819114102548,0.383,0.117,0,"0","ENSG00000227240"
0,1.96562056445402,0.392,0.126,0,"0","LINC01943"
0,1.5235864256883,0.512,0.246,0,"0","BACH1"
0,1.6181929856986,0.545,0.282,0,"0","THADA"
0,1.24577166556683,0.641,0.379,0,"0","PELI1"
0,1.41657083428645,0.593,0.331,0,"0","UGP2"
0,1.00918331769725,0.847,0.59,0,"0","ARID5B"
0,2.01164115955693,0.357,0.101,0,"0","LAIR2"
0,1.5926426397717,0.381,0.127,0,"0","SELL"
0,1.70197401707189,0.461,0.209,0,"0","ATP13A3"
0,1.15692888280099,0.702,0.451,0,"0","CASK"
0,1.22668106352155,0.565,0.315,0,"0","PHTF2"
0,1.62942306247368,0.41,0.163,0,"0","ZC3H12D"
0,0.93812861091859,0.64,0.397,0,"0","BIRC3"
0,1.60720789676663,0.364,0.123,0,"0","CD4"
0,0.949560326564529,0.655,0.416,0,"0","SPOCK2"
0,1.12478049805498,0.64,0.401,0,"0","TRAF3"
0,3.70806219575928,0.259,0.022,0,"0","IL1R2"
0,2.73374175553365,0.302,0.067,0,"0","MAGEH1"
0,1.51277201956688,0.391,0.158,0,"0","TNFRSF9"
0,1.08587018414478,0.614,0.381,0,"0","TSPAN5"
0,1.15173968703494,0.494,0.261,0,"0","MAST4"
0,1.54032517520101,0.405,0.173,0,"0","DNPH1"
0,0.971770560207025,0.709,0.478,0,"0","TNIK"
0,1.26897226020653,0.569,0.339,0,"0","MALT1"
0,3.47216422669074,0.248,0.02,0,"0","LINC02099"
0,1.75429854534233,0.386,0.158,0,"0","SLC12A6"
0,1.97120932249423,0.323,0.1,0,"0","HTATIP2"
0,2.34546962485691,0.309,0.089,0,"0","CADM1"
0,1.15729213364906,0.493,0.273,0,"0","PMAIP1"
0,1.36443934810297,0.432,0.214,0,"0","CORO1B"
0,0.941986767752313,0.605,0.388,0,"0","GLCCI1"
0,0.967859767777719,0.67,0.456,0,"0","SMYD3"
0,1.27322449116753,0.44,0.227,0,"0","CNST"
0,1.45707555993423,0.485,0.276,0,"0","VAV3"
0,0.868022120971327,0.485,0.276,0,"0","MAF"
0,1.52335788165812,0.395,0.188,0,"0","GADD45A"
0,0.689173070213549,0.622,0.415,0,"0","SNX9"
0,1.85314483504774,0.289,0.084,0,"0","LAYN"
0,1.12040091459649,0.42,0.217,0,"0","TIAM1"
0,0.994778065861566,0.55,0.348,0,"0","EPSTI1"
0,1.68300263432831,0.362,0.16,0,"0","GCNT1"
0,1.27379191717688,0.399,0.198,0,"0","INPP5F"
0,0.979572709511826,0.582,0.382,0,"0","JAZF1"
0,1.87788016311016,0.298,0.1,0,"0","HS3ST3B1"
0,1.75029465822832,0.3,0.103,0,"0","FAM184A"
0,1.6793041171852,0.321,0.124,0,"0","PIM2"
0,1.31760009432589,0.365,0.171,0,"0","GLRX"
0,0.973014883245087,0.479,0.286,0,"0","PBXIP1"
0,1.17321314815091,0.388,0.195,0,"0","TULP4"
0,1.19429786339031,0.442,0.251,0,"0","SAMHD1"
0,1.07560421892115,0.561,0.372,0,"0","TNFRSF1B"
0,3.55273366786561,0.207,0.02,0,"0","FANK1"
0,1.1491258666814,0.415,0.228,0,"0","ZC3H7A"
0,0.827198164724409,0.598,0.412,0,"0","TLK1"
0,1.11396193275236,0.456,0.27,0,"0","TYMP"
0,1.02666981468606,0.811,0.627,0,"0","SAT1"
0,0.980264175746039,0.487,0.303,0,"0","ZNRF2"
0,1.60795018011517,0.293,0.11,0,"0","LEF1"
0,0.70316389288958,0.715,0.533,0,"0","FOXO1"
0,0.855431710855393,0.576,0.397,0,"0","NCOA3"
0,1.94333113342697,0.267,0.09,0,"0","NETO2"
0,0.83153670544043,0.605,0.428,0,"0","MAP3K5"
0,0.9842522608421,0.55,0.376,0,"0","NAMPT"
0,2.36086215336703,0.25,0.077,0,"0","TET2-AS1"
0,0.815038336708996,0.507,0.334,0,"0","PVT1"
0,0.49850449449873,0.612,0.439,0,"0","BCL2"
0,1.34495828599829,0.321,0.149,0,"0","PKIA"
0,1.97115873558598,0.235,0.063,0,"0","TBC1D8"
0,1.21309419315926,0.366,0.195,0,"0","VPS54"
0,1.47159245030918,0.296,0.126,0,"0","CCDC141"
0,1.19688684035547,0.338,0.169,0,"0","IL18R1"
0,1.45806859663054,0.32,0.151,0,"0","APOLD1"
0,0.888823763318378,0.443,0.275,0,"0","ZBTB38"
0,0.753928109613037,0.632,0.464,0,"0","ADK"
0,0.703245036638562,0.344,0.176,0,"0","ENTPD1"
0,0.725382560730401,0.608,0.441,0,"0","GBP2"
0,0.809749593378384,0.591,0.424,0,"0","ZNF292"
0,0.762616980152053,0.48,0.313,0,"0","DUSP4"
0,0.96783889110432,0.74,0.574,0,"0","USP15"
0,0.819666356241879,0.654,0.489,0,"0","ZEB1"
0,0.731326529862754,0.455,0.291,0,"0","SPATS2L"
0,1.73248557620846,0.25,0.086,0,"0","ADAT2"
0,0.636198401891702,0.526,0.364,0,"0","HNRNPLL"
0,1.63989692915112,0.264,0.102,0,"0","ACOT9"
0,1.24150036735436,0.275,0.113,0,"0","LINC02195"
0,1.0380465535836,0.336,0.176,0,"0","SLAMF1"
0,1.4357691163271,0.283,0.123,0,"0","MARCHF3"
0,0.868543977807212,0.397,0.238,0,"0","SESN3"
0,0.680174401294816,0.724,0.566,0,"0","PTPRJ"
0,1.25861649326905,0.307,0.15,0,"0","TTN"
0,1.39928992216603,0.306,0.149,0,"0","SGPP1"
0,2.36803365906455,0.199,0.044,0,"0","IKZF4"
