"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.66489658728104,0.111,0.006,0,"0","GNG8"
0,4.2345091489573,0.125,0.009,0,"0","ENSG00000287780"
0,4.18986393460075,0.145,0.011,0,"0","ENSG00000289707"
0,3.88687990360469,0.164,0.013,0,"0","CCR8"
0,3.79386473652861,0.143,0.013,0,"0","LINC00519"
0,3.70806219575928,0.259,0.022,0,"0","IL1R2"
0,3.66942911135033,0.45,0.038,0,"0","FOXP3"
0,3.63011361546191,0.517,0.053,0,"0","RTKN2"
0,3.58489789703354,0.125,0.011,0,"0","IL1R1-AS1"
0,3.55273366786561,0.207,0.02,0,"0","FANK1"
0,3.47216422669074,0.248,0.02,0,"0","LINC02099"
0,3.42819355450551,0.144,0.015,0,"0","LINC01727"
0,3.29996879524705,0.172,0.02,0,"0","ENSG00000273118"
0,3.25419871031219,0.532,0.084,0,"0","IL2RA"
0,3.11905333930627,0.341,0.049,0,"0","F5"
0,3.01428686819604,0.338,0.048,0,"0","IL1R1"
0,2.97045941897329,0.547,0.12,0,"0","TNFRSF4"
0,2.91812884912182,0.113,0.019,0,"0","HERC2P3"
0,2.76496363453983,0.75,0.151,0,"0","IKZF2"
0,2.73374175553365,0.302,0.067,0,"0","MAGEH1"
0,3.14488769339772,0.286,0.053,0,"1","LINC00987"
0,2.76117039649326,0.125,0.019,0,"1","SGCD"
0,2.7070253226419,0.818,0.201,0,"1","GZMK"
0,2.53445128417393,0.189,0.038,0,"1","PZP"
0,2.31924774101377,0.149,0.037,0,"1","AGAP1"
0,2.15405404156356,0.259,0.097,0,"1","IFNG-AS1"
0,2.14459400109887,0.111,0.03,0,"1","ENC1"
0,2.12937730367453,0.137,0.042,0,"1","ENSG00000301019"
0,2.07065634887703,0.191,0.065,0,"1","ENSG00000274767"
0,1.9529456552959,0.346,0.122,0,"1","KLRG1"
0,1.94429582588747,0.223,0.07,0,"1","A2M"
0,1.77421944945063,0.296,0.113,0,"1","EPHA4"
0,1.73429246512797,0.301,0.106,0,"1","C1orf21"
0,1.58062191909347,0.345,0.159,0,"1","ENSG00000232855"
0,1.55758781461167,0.52,0.272,0,"1","CMC1"
0,1.52369364342203,0.601,0.321,0,"1","TC2N"
0,1.51699062643828,0.219,0.094,0,"1","TPRG1"
0,1.49821245569533,0.215,0.088,0,"1","EOMES"
0,1.42578739786355,0.384,0.166,0,"1","DTHD1"
0,1.42466684243532,0.681,0.342,0,"1","AOAH"
0,2.24154993685679,0.316,0.111,0,"2","SLC35F1"
0,2.05879388275447,0.131,0.035,0,"2","HIST1H3D"
0,2.01835399539661,0.147,0.038,0,"2","CCL3L1"
0,1.95184250099745,0.372,0.131,0,"2","TNFSF9"
0,1.78678281381124,0.608,0.277,0,"2","IFNG"
0,1.75579829745019,0.518,0.217,0,"2","CCL4L2"
0,1.63332291416355,0.53,0.248,0,"2","ATF3"
0,1.6035307067653,0.253,0.112,0,"2","HIST1H4C"
0,1.57063868501634,0.256,0.108,0,"2","WDR61"
0,1.54762267296241,0.373,0.13,0,"2","KLRK1"
0,1.50623941754588,0.298,0.11,0,"2","SLAMF7"
0,1.49427984918767,0.774,0.397,0,"2","CCL4"
0,1.46353616029983,0.612,0.32,0,"2","HSPA6"
0,1.46166754583879,0.244,0.096,0,"2","PECAM1"
0,1.40657334203528,0.291,0.13,0,"2","LIME1"
0,1.33825786294623,0.308,0.14,0,"2","XCL2"
0,1.33082931802456,0.637,0.278,0,"2","GZMH"
0,1.31078473116441,0.698,0.403,0,"2","RGS2"
0,1.30217668636612,0.619,0.341,0,"2","ZFAND2A"
0,1.29516001590249,0.321,0.149,0,"2","CRTAM"
0,3.7456570571587,0.122,0.011,0,"3","SHC4"
0,3.25863052513774,0.117,0.01,0,"3","ENSG00000289963"
0,3.24202153056346,0.133,0.015,0,"3","BARX2"
0,2.82694052722129,0.13,0.017,0,"3","ITGA9"
0,2.78806843082252,0.144,0.021,0,"3","ENSG00000310242"
0,2.78326708900312,0.129,0.022,0,"3","MS4A6A"
0,2.69551505496412,0.286,0.04,0,"3","AFAP1L2"
0,2.57465319789881,0.264,0.042,0,"3","ETV1"
0,2.55525824333408,0.131,0.02,0,"3","LINC00158"
0,2.5372920209494,0.146,0.02,0,"3","ENSG00000287347"
0,2.52228475443878,0.261,0.052,0,"3","CD109"
0,2.50859575192259,0.241,0.058,0,"3","GOLM1"
0,2.4432851415523,0.225,0.035,0,"3","ENSG00000290036"
0,2.43407048314524,0.136,0.025,0,"3","E2F7"
0,2.42007711926692,0.134,0.024,0,"3","ENSG00000304809"
0,2.37672833924097,0.501,0.135,0,"3","MYO1E"
0,2.37545779047838,0.218,0.041,0,"3","KCNK5"
0,2.3634201331168,0.249,0.055,0,"3","PRRG4"
0,2.34042997817004,0.185,0.037,0,"3","PIP5K1B"
0,2.33987747033585,0.254,0.048,0,"3","LINC02937"
0,3.37836698390951,0.364,0.069,0,"4","LINC00910"
0,3.17415026333968,0.266,0.043,0,"4","ENSG00000304761"
0,2.78987082143964,0.138,0.026,0,"4","SCUBE1"
0,2.67824773807971,0.1,0.019,0,"4","TRAV17"
0,2.61616349652342,0.264,0.056,0,"4","ENSG00000267379"
0,2.61090165912541,0.13,0.027,0,"4","NAMA"
0,2.57643466567601,0.14,0.031,0,"4","JAM3"
0,2.32406742964463,0.131,0.033,0,"4","CFAP210"
0,2.2852403700144,0.209,0.05,0,"4","GPR15"
0,2.24637892998004,0.13,0.032,0,"4","ENSG00000285635"
0,2.21956546916642,0.597,0.193,0,"4","MYADM"
0,2.19884346413147,0.144,0.037,0,"4","ENSG00000243305"
0,2.13141989232406,0.129,0.039,0,"4","H2AC20"
0,2.10937655734823,0.657,0.325,0,"4","ANKRD28"
0,2.10270017803624,0.259,0.081,0,"4","ENSG00000272256"
0,2.04067612637199,0.406,0.138,0,"4","SSBP2"
0,1.99911774247503,0.131,0.039,0,"4","ENSG00000304130"
0,1.99749438871976,0.386,0.121,0,"4","NR4A3"
0,1.99699028139112,0.645,0.265,0,"4","LMNA"
0,1.92180958001392,0.788,0.413,0,"4","YPEL5"
0,2.43363210431644,0.134,0.036,0,"5","IL23A"
0,2.03143818314687,0.647,0.279,0,"5","KLF2"
0,1.6026675237273,0.669,0.318,0,"5","HSPA6"
0,1.55430558820444,0.63,0.341,0,"5","ZFAND2A"
0,1.53728113374747,0.256,0.102,0,"5","CCR7"
0,1.46944569210312,0.583,0.29,0,"5","NR4A1"
0,1.46493429196744,0.34,0.158,0,"5","SKIC8"
0,1.42528671940107,0.298,0.14,0,"5","EGR1"
0,1.41065029377016,0.387,0.196,0,"5","SERPINH1"
0,1.38044469056101,0.249,0.093,0,"5","NR3C2"
0,1.35599960186784,0.791,0.434,0,"5","IL7R"
0,1.34992782003576,0.546,0.296,0,"5","DNAJB4"
0,1.25597892830578,0.632,0.426,0,"5","BTG2"
0,1.21938390480119,0.818,0.54,0,"5","DUSP1"
0,1.21744265384516,0.57,0.306,0,"5","DNAJA4"
0,1.18399431979809,0.447,0.255,0,"5","ATF3"
0,1.15570310729152,0.772,0.502,0,"5","PPP1R15A"
0,1.14904943700704,0.756,0.495,0,"5","ANXA1"
0,1.14217061197892,0.932,0.627,0,"5","HSPA1B"
0,1.13497702639476,0.94,0.71,0,"5","DNAJB1"
0,3.56250809067414,0.106,0.012,0,"6","PTPRK-AS1"
0,3.14236747469111,0.154,0.02,0,"6","ENSG00000287277"
0,2.92447850300725,0.105,0.016,0,"6","ENSG00000294673"
0,2.76406944089151,0.121,0.018,0,"6","ENSG00000308900"
0,2.62253850563673,0.146,0.023,0,"6","ENSG00000288539"
0,2.60613879504662,0.134,0.024,0,"6","TRPM2"
0,2.52453796248207,0.372,0.074,0,"6","PELO-AS1"
0,2.46107774854553,0.348,0.073,0,"6","ZNF683"
0,2.44106151110197,0.429,0.155,0,"6","ENSG00000310376"
0,2.19169792254967,0.244,0.07,0,"6","7SK.4"
0,2.18093798830381,0.672,0.229,0,"6","ITGA1"
0,2.13463958797659,0.264,0.067,0,"6","ENSG00000293372"
0,2.06504535163743,0.116,0.027,0,"6","PLXDC1"
0,2.01369558634744,0.179,0.051,0,"6","ENSG00000301208"
0,1.98099793163266,0.201,0.051,0,"6","GPR15"
0,1.97956671845617,0.142,0.034,0,"6","ENSG00000291013"
0,1.97556320580913,0.109,0.028,0,"6","ENSG00000289353"
0,1.9391086643767,0.139,0.041,0,"6","CELF2-AS1"
0,1.87034429879847,0.161,0.046,0,"6","TMEM200A"
0,1.8286755921318,0.155,0.045,0,"6","KLRK1-AS1"
0,2.81444301237655,0.365,0.079,0,"7","ABTB3"
0,2.75720936905469,0.325,0.076,0,"7","TAF4B"
0,2.62916967496278,0.598,0.158,0,"7","FAAH2"
0,2.57163203216892,0.146,0.023,0,"7","LINC00402"
0,2.56394620600014,0.165,0.035,0,"7","ENSG00000271774"
0,2.54839786284483,0.459,0.091,0,"7","CCR7"
0,2.53936980066097,0.335,0.136,0,"7","FILIP1L"
0,2.5307934172423,0.22,0.044,0,"7","SCML1"
0,2.51801071138249,0.152,0.03,0,"7","ENSG00000249806"
0,2.37810352550597,0.128,0.024,0,"7","GCNT4"
0,2.33594036192383,0.281,0.074,0,"7","CMTM8"
0,2.25832294044118,0.335,0.107,0,"7","LNCRNA-IUR"
0,2.24152452273161,0.131,0.028,0,"7","FMN1"
0,2.18912432353396,0.214,0.056,0,"7","PASK"
0,2.12213998184832,0.36,0.141,0,"7","PGAP1"
0,2.09957884047049,0.701,0.27,0,"7","ANK3"
0,2.05524743040116,0.448,0.14,0,"7","SELL"
0,2.05396631549264,0.198,0.051,0,"7","PELI2"
0,2.03893200984318,0.224,0.058,0,"7","ZBTB10"
0,2.01989278193007,0.44,0.217,0,"7","CMSS1"
0,7.18998668710566,0.117,0.001,0,"8","IGFL2"
0,4.7103379957534,0.118,0.006,0,"8","HSD11B1"
0,4.58952755039783,0.206,0.011,0,"8","IL21"
0,4.5656156367408,0.263,0.016,0,"8","LHFPL6"
0,4.53363567846021,0.118,0.007,0,"8","AL138828.1"
0,4.09267724864548,0.193,0.013,0,"8","AL133405.2"
0,4.07855545287933,0.281,0.023,0,"8","GNG4"
0,3.79147487210196,0.135,0.012,0,"8","ANKRD55"
0,3.72387239008943,0.113,0.012,0,"8","HSPA12A"
0,3.69252539286654,0.757,0.139,0,"8","CXCL13"
0,3.65060086345116,0.305,0.032,0,"8","CD200"
0,3.59361403834111,0.131,0.013,0,"8","IL21-AS1"
0,3.52125058223111,0.188,0.044,0,"8","G0S2"
0,3.51629932800497,0.643,0.108,0,"8","PDE7B"
0,3.49041547282928,0.3,0.054,0,"8","NMB"
0,3.44544693462696,0.302,0.037,0,"8","CPM"
0,3.40048406640308,0.126,0.014,0,"8","AL360178.1"
0,3.33901293255323,0.133,0.015,0,"8","NTRK2"
0,3.3133115704369,0.447,0.065,0,"8","PTPN13"
0,3.08993830632759,0.137,0.018,0,"8","PDE7B-AS1"
0,3.41010932409656,0.258,0.036,0,"9","ENSG00000289485"
0,3.21603588353064,0.242,0.033,0,"9","ENSG00000276241"
0,3.18184793301423,0.116,0.017,0,"9","ENSG00000258760"
0,3.11383261890852,0.278,0.051,0,"9","LINC02937"
0,3.07188471297448,0.127,0.019,0,"9","ITGA9"
0,3.03384108963313,0.298,0.049,0,"9","CCL3-AS1"
0,3.03145328448855,0.15,0.025,0,"9","ENSG00000304809"
0,2.99814520665743,0.151,0.022,0,"9","ENSG00000287347"
0,2.97567247390275,0.224,0.039,0,"9","ENSG00000290036"
0,2.91896702241461,0.407,0.076,0,"9","PELO-AS1"
0,2.7819028184272,0.117,0.019,0,"9","PDE7B-AS1"
0,2.72369302212425,0.307,0.062,0,"9","KIR2DL4"
0,2.68720522302813,0.15,0.028,0,"9","PHEX"
0,2.66722173824677,0.164,0.033,0,"9","ENSG00000286084"
0,2.62378675661555,0.111,0.023,0,"9","LINC00158"
0,2.61846856969142,0.16,0.036,0,"9","ENSG00000301254"
0,2.61410299634398,0.12,0.026,0,"9","ENSG00000302621"
0,2.61133261517254,0.106,0.019,0,"9","ATP8A1-DT"
0,2.60247274477043,0.222,0.046,0,"9","RYR2"
0,2.60082484600797,0.219,0.048,0,"9","AFAP1L2"
0,5.70307872406434,0.223,0.005,0,"10","ADGRG3"
0,5.31847828694181,0.16,0.004,0,"10","CCNJL"
0,5.21161357481135,0.165,0.005,0,"10","B3GNT7"
0,4.96816831459216,0.119,0.005,0,"10","RASSF8"
0,4.92857401707916,0.278,0.013,0,"10","LDB2"
0,4.68499061714805,0.178,0.01,0,"10","GAB1"
0,4.65246512471061,0.267,0.013,0,"10","LINC00996"
0,4.48732271214162,0.341,0.014,0,"10","SH2D1B"
0,4.37298812334794,0.612,0.037,0,"10","FCER1G"
0,4.31359168479554,0.211,0.011,0,"10","SYK"
0,4.2478620925958,0.133,0.01,0,"10","BCO2"
0,4.14204738351965,0.184,0.013,0,"10","PLXNA4"
0,4.13441300663325,0.792,0.065,0,"10","TYROBP"
0,4.06333940391826,0.152,0.01,0,"10","PPP1R9A"
0,3.8981739586993,0.469,0.041,0,"10","NCAM1"
0,3.78503603714215,0.13,0.01,0,"10","FES"
0,3.76895013289458,0.616,0.042,0,"10","TRDC"
0,3.63513186978987,0.194,0.018,0,"10","IGFBP2"
0,3.59237223524464,0.338,0.027,0,"10","KLRF1"
0,3.57958554920676,0.119,0.011,0,"10","ENSG00000297167"
0,6.45491274968632,0.594,0.011,0,"11","FGFBP2"
0,4.87547304218955,0.206,0.007,0,"11","S1PR5"
0,4.58878132208325,0.21,0.011,0,"11","CX3CR1"
0,4.54589552629543,0.122,0.021,0,"11","PTGDS"
0,4.40921161626289,0.434,0.03,0,"11","FCGR3A"
