"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"0",11,96,314,5617,206,30,2031,5,180,4225,80,4,19,31,358,1,119,0,0,46,21,0,23,0,3,4,3,6,0
"1",10,5758,1353,52,418,276,573,37,20,108,40,499,43,1,589,38,43,0,0,198,87,4,0,0,1,0,1,0,0
"2",6,2228,2614,198,459,532,605,49,17,15,50,250,78,2,370,1072,399,15,0,1,251,368,157,0,177,2,7,2,0
"3",18,221,1660,619,2689,2599,830,344,16,32,61,31,129,43,367,38,31,1,0,40,51,0,2,0,3,0,0,0,0
"4",56,836,439,98,2197,578,2293,291,26,907,35,28,223,24,130,43,123,10,1,270,475,3,12,2,2,4,0,0,0
"5",4898,2,4,5,2,22,0,70,46,0,2,0,28,42,3,20,6,1292,1480,7,114,5,2,779,7,1,1,0,0
"6",7634,2,5,7,4,21,4,99,25,18,0,0,11,332,13,1,1,9,18,417,11,1,0,2,0,0,0,0,0
"7",66,97,46,7,1387,949,429,3971,46,14,14,4,438,39,142,18,0,0,0,292,48,1,0,0,0,0,0,0,0
"8",64,99,128,0,318,1923,87,1491,79,0,24,82,1405,623,45,927,0,206,25,18,144,260,3,2,7,0,0,0,0
"9",0,129,1630,1595,122,11,238,7,72,414,51,7,3,2,288,15,1393,1,0,0,35,5,995,0,290,30,403,163,1
"10",131,20,28,10,240,864,164,437,301,29,5,3,2171,2495,266,23,1,0,0,184,73,2,0,0,0,0,0,0,0
"11",2,3,52,26,6,21,44,0,0,12,4912,234,1,5,1,2,16,0,0,6,20,321,0,0,0,378,0,0,112
"12",0,9,37,1,3,3,39,0,0,3,332,3516,0,0,2,15,0,0,0,26,153,247,0,0,0,0,0,0,0
"13",82,9,8,76,2,47,1,424,2648,52,0,0,93,408,39,1,1,2,0,27,7,0,1,0,0,0,0,0,0
"14",23,10,43,23,4,61,2,63,2813,7,1,0,17,143,8,50,76,55,10,0,19,20,11,1,36,0,2,2,0
"15",2310,0,0,0,0,0,0,0,6,0,0,0,0,19,0,0,0,212,135,109,24,0,0,83,1,0,0,0,0
"16",2,67,50,7,40,8,180,11,4,29,1,61,6,1,1006,10,3,0,0,8,5,0,0,0,0,0,0,0,0
"17",3,50,185,170,21,36,39,8,6,225,9,5,4,2,14,44,8,0,0,2,0,0,0,0,0,0,0,0,0
"18",1,4,1,0,0,0,5,19,0,0,0,7,0,3,260,0,0,1,0,0,0,0,0,0,3,0,0,0,0
