"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"0",0.00081887888036924,0.00714657931958609,0.0233752698578128,0.418149333730366,0.0153353681232785,0.00223330603737065,0.151194818729993,0.000372217672895109,0.0133998362242239,0.314523933596367,0.00595548276632174,0.000297774138316087,0.00141442715700141,0.00230774957194968,0.0266507853792898,7.44435345790218e-05,0.0088587806149036,0,0,0.003424402590635,0.00156331422615946,0,0.0017122012953175,0,0.000223330603737065,0.000297774138316087,0.000223330603737065,0.000446661207474131,0
"1",0.000985318750615824,0.567346536604592,0.133313626958321,0.00512365750320229,0.0411863237757415,0.0271947975169967,0.0564587644102867,0.00364567937727855,0.00197063750123165,0.0106414425066509,0.0039412750024633,0.0491674056557296,0.00423687062764804,9.85318750615824e-05,0.058035274411272,0.00374421125234013,0.00423687062764804,0,0,0.0195093112621933,0.00857227313035767,0.00039412750024633,0,0,9.85318750615824e-05,0,9.85318750615824e-05,0,0
"2",0.00060459492140266,0.224506247480854,0.263401854091092,0.0199516324062878,0.0462515114873035,0.0536074163643692,0.0609633212414349,0.00493752519145506,0.0017130189439742,0.00151148730350665,0.00503829101168884,0.0251914550584442,0.00785973397823458,0.000201531640467553,0.0372833534864974,0.108020959290609,0.0402055622732769,0.00151148730350665,0,0.000100765820233777,0.025292220878678,0.0370818218460298,0.0158202337767029,0,0.0178355501813785,0.000201531640467553,0.000705360741636437,0.000201531640467553,0
"3",0.00183206106870229,0.0224936386768448,0.168956743002545,0.0630025445292621,0.273689567430025,0.264529262086514,0.0844783715012723,0.0350127226463104,0.00162849872773537,0.00325699745547074,0.00620865139949109,0.00315521628498728,0.0131297709923664,0.0043765903307888,0.03735368956743,0.0038676844783715,0.00315521628498728,0.000101781170483461,0,0.00407124681933842,0.00519083969465649,0,0.000203562340966921,0,0.000305343511450382,0,0,0,0
"4",0.00614979134636503,0.0918075993850209,0.0482099714473973,0.0107621348561388,0.241269492642214,0.0634746321106962,0.251811992093125,0.0319569514605754,0.00285526026795519,0.0996046562705908,0.00384361959147815,0.00307489567318252,0.0244893476828465,0.00263562486272787,0.014276301339776,0.00472216121238744,0.0135075774214803,0.00109817702613661,0.000109817702613661,0.0296507797056886,0.0521634087414891,0.000329453107840984,0.00131781243136394,0.000219635405227323,0.000219635405227323,0.000439270810454645,0,0,0
"5",0.554197782303689,0.000226295541977823,0.000452591083955646,0.000565738854944558,0.000226295541977823,0.00248925096175605,0,0.00792034396922381,0.00520479746548993,0,0.000226295541977823,0,0.00316813758768952,0.00475220638153428,0.000339443312966735,0.00226295541977823,0.000678886625933469,0.146186920117674,0.167458701063589,0.000792034396922381,0.0128988458927359,0.000565738854944558,0.000226295541977823,0.0881421136003621,0.000792034396922381,0.000113147770988912,0.000113147770988912,0,0
"6",0.884076433121019,0.000231615518239722,0.000579038795599305,0.000810654313839027,0.000463231036479444,0.00243196294151708,0.000463231036479444,0.0114649681528662,0.00289519397799653,0.0020845396641575,0,0,0.00127388535031847,0.0384481760277939,0.00150550086855819,0.000115807759119861,0.000115807759119861,0.00104226983207875,0.0020845396641575,0.048291835552982,0.00127388535031847,0.000115807759119861,0,0.000231615518239722,0,0,0,0,0
"7",0.00824175824175824,0.0121128871128871,0.00574425574425574,0.000874125874125874,0.173201798201798,0.118506493506494,0.0535714285714286,0.495879120879121,0.00574425574425574,0.00174825174825175,0.00174825174825175,0.0004995004995005,0.0546953046953047,0.00487012987012987,0.0177322677322677,0.00224775224775225,0,0,0,0.0364635364635365,0.00599400599400599,0.000124875124875125,0,0,0,0,0,0,0
"8",0.00804020100502513,0.0124371859296482,0.0160804020100503,0,0.0399497487437186,0.241582914572864,0.010929648241206,0.187311557788945,0.00992462311557789,0,0.00301507537688442,0.0103015075376884,0.176507537688442,0.0782663316582915,0.00565326633165829,0.116457286432161,0,0.0258793969849246,0.00314070351758794,0.00226130653266332,0.0180904522613065,0.0326633165829146,0.000376884422110553,0.000251256281407035,0.000879396984924623,0,0,0,0
"9",0,0.0163291139240506,0.206329113924051,0.201898734177215,0.0154430379746835,0.00139240506329114,0.030126582278481,0.000886075949367089,0.00911392405063291,0.0524050632911392,0.00645569620253165,0.000886075949367089,0.000379746835443038,0.000253164556962025,0.0364556962025316,0.00189873417721519,0.176329113924051,0.000126582278481013,0,0,0.00443037974683544,0.000632911392405063,0.125949367088608,0,0.0367088607594937,0.00379746835443038,0.0510126582278481,0.0206329113924051,0.000126582278481013
