"run","tracked_family","n_cells","dominant_round2_cluster","dominant_fraction","n_round2_clusters_to_cover_80pct","round2_clusters_by_fraction"
"A_baseline_origident_theta2_lambda1","CD8_GZMK_core",30579,"2",0.319271395402073,3,"2(0.319);4(0.281);3(0.256);14(0.061);0(0.022)"
"A_baseline_origident_theta2_lambda1","CD8_GZMK_island_review",10228,"7",0.653793508017208,3,"7(0.654);14(0.145);9(0.082);6(0.044);2(0.036)"
"A_baseline_origident_theta2_lambda1","Exhausted_CD8_review",21333,"0",0.640322505039141,2,"0(0.64);9(0.251);2(0.044);3(0.025);10(0.008)"
"A_baseline_origident_theta2_lambda1","CD4_Helper_review",30843,"5",0.242032227734008,4,"5(0.242);6(0.241);10(0.184);11(0.158);3(0.073)"
"A_baseline_origident_theta2_lambda1","Treg_review",20372,"1",0.641665030433929,2,"1(0.642);13(0.22);15(0.117);5(0.01);6(0.003)"
"A_baseline_origident_theta2_lambda1","NK_review",10560,"8",0.575189393939394,2,"8(0.575);12(0.394);7(0.022);0(0.002);2(0.002)"
"B_origident_theta4_lambda1","CD8_GZMK_core",30579,"1",0.327021812354884,3,"1(0.327);3(0.287);5(0.196);0(0.048);11(0.039)"
"B_origident_theta4_lambda1","CD8_GZMK_island_review",10228,"1",0.489245209229566,3,"1(0.489);3(0.167);5(0.155);0(0.07);10(0.047)"
"B_origident_theta4_lambda1","Exhausted_CD8_review",21333,"0",0.864341630337974,1,"0(0.864);3(0.04);5(0.03);1(0.022);7(0.012)"
"B_origident_theta4_lambda1","CD4_Helper_review",30843,"4",0.339655675517946,3,"4(0.34);6(0.275);8(0.187);5(0.061);3(0.044)"
"B_origident_theta4_lambda1","Treg_review",20372,"2",0.746367563322207,2,"2(0.746);9(0.237);4(0.006);6(0.003);8(0.003)"
"B_origident_theta4_lambda1","NK_review",10560,"7",0.577556818181818,2,"7(0.578);10(0.408);0(0.009);3(0.001);5(0.001)"
"C_origident_theta6_lambda0.5","CD8_GZMK_core",30579,"1",0.324830766212106,3,"1(0.325);2(0.276);5(0.206);0(0.053);11(0.036)"
"C_origident_theta6_lambda0.5","CD8_GZMK_island_review",10228,"1",0.484943292921392,3,"1(0.485);2(0.191);5(0.15);0(0.044);10(0.043)"
"C_origident_theta6_lambda0.5","Exhausted_CD8_review",21333,"0",0.831762996296817,1,"0(0.832);2(0.051);5(0.038);1(0.026);8(0.016)"
"C_origident_theta6_lambda0.5","CD4_Helper_review",30843,"4",0.314463573582336,4,"4(0.314);7(0.29);9(0.192);5(0.061);2(0.046)"
"C_origident_theta6_lambda0.5","Treg_review",20372,"6",0.50314156685647,2,"6(0.503);3(0.474);4(0.008);7(0.005);9(0.005)"
"C_origident_theta6_lambda0.5","NK_review",10560,"8",0.565625,2,"8(0.566);10(0.411);0(0.013);2(0.004);5(0.002)"
"D_dataset_theta4_lambda1","CD8_GZMK_core",30579,"1",0.225056411262631,6,"1(0.225);4(0.175);6(0.127);2(0.115);5(0.113)"
"D_dataset_theta4_lambda1","CD8_GZMK_island_review",10228,"2",0.255670707860774,8,"2(0.256);1(0.218);15(0.105);14(0.062);6(0.06)"
"D_dataset_theta4_lambda1","Exhausted_CD8_review",21333,"3",0.338067782309099,5,"3(0.338);9(0.217);6(0.106);2(0.091);16(0.071)"
"D_dataset_theta4_lambda1","CD4_Helper_review",30843,"7",0.207048600979152,6,"7(0.207);8(0.191);12(0.134);5(0.125);13(0.12)"
"D_dataset_theta4_lambda1","Treg_review",20372,"0",0.728548988808168,2,"0(0.729);18(0.08);17(0.074);23(0.042);19(0.026)"
"D_dataset_theta4_lambda1","NK_review",10560,"10",0.496590909090909,2,"10(0.497);11(0.355);21(0.054);25(0.036);20(0.016)"
