"field","value","n_cells"
"orig.ident","CNP0000460_P01N",1
"orig.ident","CNP0000460_P07N",1
"orig.ident","GSE326225_BC1",1
"orig.ident","GSE326225_BC7",4
"orig.ident","PRJNA662018_PRJNA662018_P1N1",117
"orig.ident","PRJNA662018_PRJNA662018_P2T2",3
"orig.ident","PRJNA662018_PRJNA662018_P3N3",1
"orig.ident","PRJNA662018_PRJNA662018_P3T3",30
"orig.ident","PRJNA662018_PRJNA662018_P6N2",33
"orig.ident","T4091568",2
"orig.ident","T4463209b",5
"orig.ident","T4469479",1
"orig.ident","T4471438",1
"orig.ident","T8009218",7
"dataset","CNP0000460",2
"dataset","GSE326225",5
"dataset","InhouseData",16
"dataset","PRJNA662018",184
"sample_id","PRJNA662018_PRJNA662018_P1N1",117
"sample_id","PRJNA662018_PRJNA662018_P2T2",3
"sample_id","PRJNA662018_PRJNA662018_P3N3",1
"sample_id","PRJNA662018_PRJNA662018_P3T3",30
"sample_id","PRJNA662018_PRJNA662018_P6N2",33
"sample_id",NA,23
"Type","MIBC",21
"Type","NMIBC",33
"Type","Normal",153
"major_celltype","B",0
"major_celltype","Cycling",0
"major_celltype","Endothelial",0
"major_celltype","Epithelial",0
"major_celltype","Fibroblast",207
"major_celltype","Mast",0
"major_celltype","Myeloid",0
"major_celltype","Plasma",0
"major_celltype","T/NK",0
