"program","gene","present"
"Pan_EC","PECAM1",TRUE
"Pan_EC","VWF",TRUE
"Pan_EC","CDH5",TRUE
"Pan_EC","CLDN5",TRUE
"Pan_EC","KDR",TRUE
"Pan_EC","EMCN",TRUE
"Pan_EC","ERG",TRUE
"Pan_EC","RAMP2",TRUE
"Capillary","CA4",TRUE
"Capillary","RGCC",TRUE
"Capillary","GPIHBP1",TRUE
"Capillary","FCN3",TRUE
"Arterial","GJA5",TRUE
"Arterial","GJA4",TRUE
"Arterial","EFNB2",TRUE
"Arterial","SOX17",TRUE
"Arterial","SEMA3G",TRUE
"Arterial","TMEM100",TRUE
"Venous","ACKR1",TRUE
"Venous","SELP",TRUE
"Venous","SELE",TRUE
"Venous","VCAM1",TRUE
"Angiogenic","ESM1",TRUE
"Angiogenic","APLN",TRUE
"Angiogenic","ANGPT2",TRUE
"Angiogenic","PGF",TRUE
"Angiogenic","NID2",TRUE
"Lymphatic","PROX1",TRUE
"Lymphatic","PDPN",TRUE
"Lymphatic","FLT4",TRUE
"Lymphatic","CCL21",TRUE
"Lymphatic","ACKR2",TRUE
"Lymphatic","LYVE1",TRUE
"Fibroblast_audit","COL1A1",TRUE
"Fibroblast_audit","COL1A2",TRUE
"Fibroblast_audit","DCN",TRUE
"Fibroblast_audit","LUM",TRUE
"Epithelial_audit","EPCAM",TRUE
"Epithelial_audit","KRT8",TRUE
"Epithelial_audit","KRT18",TRUE
"Epithelial_audit","KRT19",TRUE
"Epithelial_audit","KRT7",TRUE
"Epithelial_audit","CLDN4",TRUE
"Epithelial_audit","S100P",TRUE
"Immune_audit","PTPRC",TRUE
"Immune_audit","LYZ",TRUE
"Immune_audit","CD3D",TRUE
