"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.58643019170443,0.747,0.226,0,"0","IL6"
0,1.91045295053619,0.972,0.47,0,"0","ACKR1"
0,1.80522637676828,0.94,0.441,0,"0","CLU"
0,1.75065085666469,0.759,0.274,0,"0","HLA-DQA1"
0,1.19662247318561,0.897,0.42,0,"0","SELE"
0,1.0364758420714,0.72,0.25,0,"0","CCL14"
0,1.4568294896689,0.798,0.333,0,"0","HLA-DQB1"
0,1.34780595734265,0.868,0.439,0,"0","HLA-DMA"
0,1.73153932306807,0.93,0.505,0,"0","CEBPD"
0,2.10137152094015,0.605,0.19,0,"0","CSF3"
0,1.76864969712538,0.569,0.159,0,"0","C7"
0,1.60729274546201,0.699,0.295,0,"0","HAPLN3"
0,1.4448483396398,0.945,0.552,0,"0","HLA-DPA1"
0,1.55430362142258,0.953,0.561,0,"0","HLA-DPB1"
0,1.21252317668235,0.975,0.597,0,"0","ZNF385D"
0,1.34191370947203,0.913,0.543,0,"0","NNMT"
0,2.00918350072964,0.573,0.205,0,"0","HLA-DQA2"
0,1.23213966325922,0.972,0.617,0,"0","HLA-DRB1"
0,1.17907056946659,0.974,0.622,0,"0","ICAM1"
0,1.52340197339231,0.986,0.655,0,"0","HLA-DRA"
0,1.23769627534242,0.932,0.605,0,"0","CDKN1A"
0,1.6459888838582,0.954,0.628,0,"0","ADIRF"
0,1.18184705179481,0.919,0.611,0,"0","NPC2"
0,1.35927309910637,0.959,0.655,0,"0","SOCS3"
0,1.25415777982601,0.967,0.678,0,"0","SOD2"
0,1.02399088675115,0.957,0.708,0,"0","GAS5"
0,1.07269014680503,0.98,0.732,0,"0","NFKBIA"
0,0.951918644722601,0.983,0.762,0,"0","RPL7"
0,0.817501413735718,0.988,0.771,0,"0","RPL9"
0,0.807955559811062,0.989,0.773,0,"0","RPS25"
0,0.89498146098086,0.989,0.774,0,"0","RPL30"
0,0.836732165635774,0.991,0.78,0,"0","RPS3A"
0,1.14648215448648,0.996,0.789,0,"0","CD74"
0,0.859447232281342,0.994,0.795,0,"0","RPL3"
0,0.82681004103179,0.988,0.793,0,"0","RPL35A"
0,0.900819983165205,0.993,0.804,0,"0","RPL26"
0,0.855078664985705,0.994,0.806,0,"0","RPS2"
0,0.760730419176816,0.996,0.809,0,"0","RPS27A"
0,0.808563439757684,0.994,0.808,0,"0","RPL11"
0,0.84327863071465,0.995,0.81,0,"0","RPS14"
0,0.864585053766152,0.997,0.818,0,"0","RPS6"
0,0.914324276978908,0.996,0.821,0,"0","RPL34"
0,0.822444809865264,0.994,0.824,0,"0","RPL32"
0,0.866487018623514,0.996,0.827,0,"0","RPS18"
0,0.907908962362488,0.996,0.828,0,"0","RPL10"
0,0.73098845123566,0.998,0.83,0,"0","RPL13"
0,0.783176978272153,0.996,0.914,0,"0","EIF1"
9.13033313514624e-321,0.760282828594521,0.993,0.808,8.21830415827648e-316,"0","RPS15A"
3.59888187061843e-317,1.241231468601,0.895,0.51,3.23938956056236e-312,"0","RND1"
4.40782642199851e-317,0.857090600273963,0.992,0.794,3.96752864070508e-312,"0","RPS4X"
5.57124983331038e-316,1.70695204307239,0.686,0.31,5.01473768746101e-311,"0","NRN1"
2.39212399115377e-315,0.746001258151813,0.993,0.804,2.15317472567742e-310,"0","RPS23"
1.77426513419942e-310,0.764259357198554,0.986,0.768,1.59703378994424e-305,"0","RPL24"
3.53219611432956e-309,0.76105359153941,0.99,0.793,3.17936504446918e-304,"0","RPL8"
3.02198088034514e-304,1.29801760902755,0.904,0.566,2.72011521020746e-299,"0","IRF1"
4.15945453282846e-303,2.25014783476521,0.489,0.155,3.74396661954422e-298,"0","ENSG00000255872"
2.24852085917348e-302,1.78629611320929,0.745,0.393,2.02391611055064e-297,"0","ADAMTS4"
4.15835202515194e-300,0.997149262989462,0.951,0.667,3.74297424135951e-295,"0","SDCBP"
1.3236408696844e-288,0.79487522975721,0.976,0.772,1.19142238321163e-283,"0","RPL31"
3.83571854213591e-286,0.748975331751653,0.99,0.796,3.45256861696195e-281,"0","RPL12"
5.35052404432111e-285,2.04459877448981,0.514,0.177,4.81606019753388e-280,"0","ICAM4"
2.24212839325344e-284,0.809529184792548,0.978,0.736,2.01816218805136e-279,"0","RPL5"
2.30897470144576e-284,0.857156320174105,0.994,0.769,2.07833121851834e-279,"0","H3-3B"
2.58388577601717e-281,1.06132337078135,0.98,0.817,2.32578142585081e-276,"0","TM4SF1"
1.31269933751878e-280,0.72624979074253,0.99,0.787,1.18157380069403e-275,"0","RPL37"
1.00722047209998e-278,0.724749690958198,0.991,0.78,9.06609219141911e-274,"0","RPS13"
4.37904555574113e-278,0.945378250112972,0.929,0.652,3.94162269517815e-273,"0","NOP53"
2.3700391858686e-277,4.02849803646732,0.144,0.008,2.13329597159218e-272,"0","GABRA2"
1.80054717832767e-276,1.38781829330827,0.754,0.412,1.62069052068452e-271,"0","SNCG"
1.89582926884689e-275,1.92300766438648,0.465,0.141,1.70645488318177e-270,"0","CCL23"
2.29264874160817e-275,0.720796220923717,0.997,0.793,2.06363605880893e-270,"0","RPS9"
6.29483910221726e-273,0.96969791611771,0.932,0.669,5.66604762429678e-268,"0","RPL17"
7.95861908965136e-273,0.826934573026885,0.958,0.751,7.16363262878608e-268,"0","SNHG29"
1.86711460082272e-272,0.813438149024904,0.973,0.727,1.68060852334653e-267,"0","RPS10"
3.08647170554343e-272,1.06575874155947,0.868,0.513,2.7781640468767e-267,"0","EVA1C"
2.60499002031024e-271,2.53808093484715,0.336,0.076,2.34477756718145e-266,"0","ENSG00000288520"
7.76295132170678e-271,0.725075414294959,0.99,0.803,6.98751011418149e-266,"0","RPL21"
2.78654971294002e-268,2.93097418558235,0.267,0.047,2.50820126211444e-263,"0","SEMA3E"
1.06145183534285e-267,1.79425812412492,0.796,0.44,9.55423411510456e-263,"0","CCL2"
6.60448323796147e-267,0.725182457946786,0.987,0.78,5.9447614073215e-262,"0","RPL29"
1.59403062850316e-258,0.756125708235087,0.974,0.748,1.43480290902198e-253,"0","RPS5"
3.07490664918297e-257,1.69605115971832,0.572,0.227,2.76775422399609e-252,"0","CCSER1"
1.75652129161535e-256,0.738316580075089,0.983,0.754,1.58106237979589e-251,"0","RPL10A"
1.88575863155442e-256,0.712528716584578,0.988,0.782,1.69739020184845e-251,"0","RPL23A"
2.7050931514119e-256,0.685892041986763,0.994,0.807,2.43488139651736e-251,"0","RPS8"
1.10072860214155e-254,0.571764931169857,0.997,0.975,9.90776822073634e-250,"0","EEF1A1"
4.12381733367836e-252,0.646460573671126,0.988,0.802,3.71188922021723e-247,"0","RPL19"
5.59531485465576e-251,2.33898825452091,0.284,0.057,5.0363988538242e-246,"0","ENSG00000288775"
3.04025918948664e-250,0.956462268396996,0.804,0.38,2.73656769904882e-245,"0","ENSG00000286533"
4.41610858762417e-249,0.65272071156468,0.992,0.791,3.97498350080639e-244,"0","RPL35"
7.9040960715112e-249,0.651030483660993,0.993,0.801,7.11455591492795e-244,"0","RPL36"
3.16094482465454e-248,1.31905939150278,0.769,0.406,2.8451980461198e-243,"0","C2CD4B"
5.32872757512617e-248,0.712137921818929,0.983,0.764,4.79644097764682e-243,"0","RPL7A"
2.76822909893175e-245,0.648132719608211,0.99,0.797,2.49171069423946e-240,"0","RPS24"
3.4693555052587e-242,0.995063289962667,0.836,0.498,3.12280158383841e-237,"0","LGALS3"
1.26668475129284e-240,0.661386596895883,0.991,0.797,1.1401556114862e-235,"0","RPS3"
5.07120038217796e-239,1.67455548823274,0.438,0.137,4.56463817600221e-234,"0","RYR3"
5.64394846303925e-238,0.653932144914724,0.991,0.777,5.08017445106626e-233,"0","RPL18"
1.90903050463412e-234,2.74126069718562,0.304,0.072,1.71833744752622e-229,"0","NPHS1"
1.43162950417914e-231,1.21306376140077,0.624,0.259,1.28862403300668e-226,"0","SEMA4A"
2.03107531513421e-230,1.02626811344282,0.963,0.757,1.82819120190545e-225,"0","MCTP1"
1.66715136416052e-229,2.14444626887216,0.404,0.126,1.50061961439453e-224,"0","SERPINE3"
5.6698280548092e-229,2.15811535762223,0.356,0.1,5.10346893041431e-224,"0","SNHG26"
1.12163544684369e-228,0.643263434487362,0.974,0.835,1.00959528205848e-223,"0","NACA"
6.10327460884405e-227,0.560353691006619,0.996,0.952,5.49361850816662e-222,"0","TPT1"
1.15755346519836e-226,0.739177258693692,0.97,0.782,1.0419254495597e-221,"0","CST3"
3.26191568063723e-225,1.94865058508129,0.384,0.115,2.93608292329838e-220,"0","LRG1"
3.79552972559774e-225,1.33828859542221,0.61,0.27,3.41639426130778e-220,"0","OLFM1"
2.65508178317446e-220,0.737923787256694,0.978,0.778,2.38986566385316e-215,"0","YBX3"
3.1789249218429e-218,0.537696365566894,0.989,0.888,2.86138211140002e-213,"0","FAU"
3.07084820299624e-217,0.632220517612197,0.818,0.451,2.76410117599895e-212,"0","TFPI"
3.59588465690879e-216,0.587236213168846,0.997,0.809,3.23669173853018e-211,"0","RPS15"
4.63909876098085e-216,1.24801611502532,0.619,0.265,4.17569918574647e-211,"0","IL1R1"
1.20430775126778e-214,0.661682699856575,0.967,0.758,1.08400944999365e-209,"0","RPS20"
5.11029723642172e-212,0.909658877919553,0.829,0.484,4.59982964547555e-207,"0","NFKBIZ"
5.70670896965158e-212,1.8043212096534,0.526,0.222,5.13666581067308e-207,"0","ADAMTS9-AS1"
2.25595326240643e-211,1.52623717748746,0.602,0.289,2.03060609102466e-206,"0","TMEM70"
1.02261662348331e-209,1.95622800056501,0.397,0.131,9.20467448963558e-205,"0","SAMD4A-AS1"
1.4323541644854e-209,1.73166249242725,0.365,0.108,1.28927630699496e-204,"0","C1QTNF1"
2.37213415405928e-209,0.663812268180975,0.994,0.802,2.1351816734103e-204,"0","RPL41"
2.3841889805682e-209,0.799270496890492,0.894,0.656,2.14603234329924e-204,"0","EIF3E"
6.25539163009529e-209,0.597618335456217,0.996,0.813,5.63054056016507e-204,"0","RPS12"
