"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"0","CNP0000460",50,0.4,"dataset",0.00913408841797589
"1","CNP0000460",224,0.4,"dataset",0.0834264432029795
"2","CNP0000460",0,0.4,"dataset",0
"3","CNP0000460",155,0.4,"dataset",0.113886847905952
"4","CNP0000460",69,0.4,"dataset",0.055735056542811
"5","CNP0000460",44,0.4,"dataset",0.0370682392586352
"6","CNP0000460",29,0.4,"dataset",0.0296827021494371
"7","CNP0000460",43,0.4,"dataset",0.0953436807095344
"8","CNP0000460",9,0.4,"dataset",0.042654028436019
"9","CNP0000460",7,0.4,"dataset",0.0507246376811594
"10","CNP0000460",4,0.4,"dataset",0.0336134453781513
"0","GSE326225",5,0.4,"dataset",0.000913408841797589
"1","GSE326225",100,0.4,"dataset",0.037243947858473
"2","GSE326225",61,0.4,"dataset",0.0419243986254296
"3","GSE326225",53,0.4,"dataset",0.0389419544452608
"4","GSE326225",67,0.4,"dataset",0.0541195476575121
"5","GSE326225",6,0.4,"dataset",0.0050547598989048
"6","GSE326225",27,0.4,"dataset",0.0276356192425793
"7","GSE326225",0,0.4,"dataset",0
"8","GSE326225",8,0.4,"dataset",0.037914691943128
"9","GSE326225",8,0.4,"dataset",0.0579710144927536
"10","GSE326225",0,0.4,"dataset",0
"0","HRA003620",366,0.4,"dataset",0.0668615272195835
"1","HRA003620",17,0.4,"dataset",0.00633147113594041
"2","HRA003620",0,0.4,"dataset",0
"3","HRA003620",6,0.4,"dataset",0.00440852314474651
"4","HRA003620",95,0.4,"dataset",0.0767366720516963
"5","HRA003620",5,0.4,"dataset",0.004212299915754
"6","HRA003620",94,0.4,"dataset",0.0962128966223132
"7","HRA003620",106,0.4,"dataset",0.235033259423503
"8","HRA003620",3,0.4,"dataset",0.014218009478673
"9","HRA003620",11,0.4,"dataset",0.0797101449275362
"10","HRA003620",1,0.4,"dataset",0.00840336134453781
"0","InhouseData",0,0.4,"dataset",0
"1","InhouseData",235,0.4,"dataset",0.0875232774674116
"2","InhouseData",1389,0.4,"dataset",0.954639175257732
"3","InhouseData",120,0.4,"dataset",0.0881704628949302
"4","InhouseData",30,0.4,"dataset",0.024232633279483
"5","InhouseData",18,0.4,"dataset",0.0151642796967144
"6","InhouseData",48,0.4,"dataset",0.0491299897645855
"7","InhouseData",109,0.4,"dataset",0.241685144124169
"8","InhouseData",15,0.4,"dataset",0.0710900473933649
"9","InhouseData",4,0.4,"dataset",0.0289855072463768
"10","InhouseData",0,0.4,"dataset",0
"0","PRJNA662018",5053,0.4,"dataset",0.923090975520643
"1","PRJNA662018",2109,0.4,"dataset",0.785474860335196
"2","PRJNA662018",5,0.4,"dataset",0.00343642611683849
"3","PRJNA662018",1027,0.4,"dataset",0.754592211609111
"4","PRJNA662018",977,0.4,"dataset",0.789176090468498
"5","PRJNA662018",1114,0.4,"dataset",0.938500421229992
"6","PRJNA662018",779,0.4,"dataset",0.797338792221085
"7","PRJNA662018",193,0.4,"dataset",0.427937915742794
"8","PRJNA662018",176,0.4,"dataset",0.834123222748815
"9","PRJNA662018",108,0.4,"dataset",0.782608695652174
"10","PRJNA662018",114,0.4,"dataset",0.957983193277311
"0","CNP0000460_P01N",14,0.4,"orig.ident",0.00255754475703325
"1","CNP0000460_P01N",3,0.4,"orig.ident",0.00111731843575419
"2","CNP0000460_P01N",0,0.4,"orig.ident",0
"3","CNP0000460_P01N",5,0.4,"orig.ident",0.00367376928728876
"4","CNP0000460_P01N",9,0.4,"orig.ident",0.00726978998384491
"5","CNP0000460_P01N",5,0.4,"orig.ident",0.004212299915754
"6","CNP0000460_P01N",4,0.4,"orig.ident",0.00409416581371546
"7","CNP0000460_P01N",4,0.4,"orig.ident",0.00886917960088692
"8","CNP0000460_P01N",0,0.4,"orig.ident",0
"9","CNP0000460_P01N",1,0.4,"orig.ident",0.0072463768115942
"10","CNP0000460_P01N",0,0.4,"orig.ident",0
"0","CNP0000460_P01T",2,0.4,"orig.ident",0.000365363536719035
"1","CNP0000460_P01T",26,0.4,"orig.ident",0.00968342644320298
"2","CNP0000460_P01T",0,0.4,"orig.ident",0
"3","CNP0000460_P01T",12,0.4,"orig.ident",0.00881704628949302
"4","CNP0000460_P01T",0,0.4,"orig.ident",0
"5","CNP0000460_P01T",4,0.4,"orig.ident",0.0033698399326032
"6","CNP0000460_P01T",1,0.4,"orig.ident",0.00102354145342886
"7","CNP0000460_P01T",0,0.4,"orig.ident",0
"8","CNP0000460_P01T",0,0.4,"orig.ident",0
"9","CNP0000460_P01T",0,0.4,"orig.ident",0
"10","CNP0000460_P01T",1,0.4,"orig.ident",0.00840336134453781
