"resolution","cluster","n_cells","fraction"
0.4,"0",5474,0.357871338912134
0.4,"1",2685,0.175536087866109
0.4,"2",1455,0.0951229079497908
0.4,"3",1361,0.088977510460251
0.4,"4",1238,0.0809361924686192
0.4,"5",1187,0.0776019874476988
0.4,"6",977,0.0638729079497908
0.4,"7",451,0.0294848326359833
0.4,"8",211,0.0137944560669456
0.4,"9",138,0.00902196652719665
0.4,"10",119,0.00777981171548117
0.8,"0",1897,0.124019351464435
0.8,"1",1864,0.121861924686192
0.8,"2",1495,0.0977379707112971
0.8,"3",1478,0.0966265690376569
0.8,"4",1362,0.0890428870292887
0.8,"5",1175,0.0768174686192469
0.8,"6",1043,0.0681877615062761
0.8,"7",988,0.064592050209205
0.8,"8",903,0.0590350418410042
0.8,"9",850,0.0555700836820084
0.8,"10",451,0.0294848326359833
0.8,"11",424,0.0277196652719665
0.8,"12",417,0.0272620292887029
0.8,"13",336,0.0219665271966527
0.8,"14",212,0.0138598326359833
0.8,"15",145,0.00947960251046025
0.8,"16",138,0.00902196652719665
0.8,"17",118,0.00771443514644351
1.2,"0",1938,0.126699790794979
1.2,"1",1809,0.118266213389121
1.2,"2",1424,0.0930962343096234
1.2,"3",1204,0.0787133891213389
1.2,"4",1121,0.0732871338912134
1.2,"5",1047,0.0684492677824268
1.2,"6",1038,0.0678608786610879
1.2,"7",987,0.0645266736401674
1.2,"8",893,0.0583812761506276
1.2,"9",737,0.0481825313807531
1.2,"10",513,0.033538179916318
1.2,"11",451,0.0294848326359833
1.2,"12",426,0.0278504184100418
1.2,"13",418,0.0273274058577406
1.2,"14",337,0.0220319037656904
1.2,"15",212,0.0138598326359833
1.2,"16",168,0.0109832635983264
1.2,"17",156,0.0101987447698745
1.2,"18",155,0.0101333682008368
1.2,"19",138,0.00902196652719665
1.2,"20",124,0.00810669456066946
