"from_resolution","to_resolution","parent_cluster","child_cluster","n_cells","fraction_of_parent"
0.4,0.8,"0","0",1894,0.345999269272927
0.4,0.8,"4","0",3,0.0024232633279483
0.4,0.8,"0","1",1861,0.339970770917062
0.4,0.8,"4","1",2,0.00161550888529887
0.4,0.8,"5","1",1,0.0008424599831508
0.4,0.8,"1","2",1493,0.556052141527002
0.4,0.8,"2","2",1,0.000687285223367698
0.4,0.8,"3","2",1,0.000734753857457752
0.4,0.8,"0","3",1476,0.269638290098648
0.4,0.8,"4","3",1,0.000807754442649435
0.4,0.8,"5","3",1,0.0008424599831508
0.4,0.8,"1","4",5,0.00186219739292365
0.4,0.8,"3","4",1357,0.997060984570169
0.4,0.8,"0","5",2,0.000365363536719035
0.4,0.8,"1","5",1171,0.436126629422719
0.4,0.8,"10","5",2,0.0168067226890756
0.4,0.8,"1","6",5,0.00186219739292365
0.4,0.8,"2","6",1037,0.712714776632302
0.4,0.8,"3","6",1,0.000734753857457752
0.4,0.8,"1","7",7,0.00260707635009311
0.4,0.8,"5","7",4,0.0033698399326032
0.4,0.8,"6","7",977,1
0.4,0.8,"3","8",2,0.0014695077149155
0.4,0.8,"4","8",901,0.727786752827141
0.4,0.8,"0","9",232,0.0423821702594081
0.4,0.8,"4","9",1,0.000807754442649435
0.4,0.8,"5","9",616,0.518955349620893
0.4,0.8,"10","9",1,0.00840336134453781
0.4,0.8,"7","10",451,1
0.4,0.8,"1","11",4,0.00148975791433892
0.4,0.8,"5","11",420,0.353833192923336
0.4,0.8,"2","12",417,0.28659793814433
0.4,0.8,"0","13",8,0.00146145414687614
0.4,0.8,"4","13",328,0.264943457189015
0.4,0.8,"0","14",1,0.000182681768359518
0.4,0.8,"8","14",211,1
0.4,0.8,"4","15",1,0.000807754442649435
0.4,0.8,"5","15",144,0.121314237573715
0.4,0.8,"9","16",138,1
0.4,0.8,"4","17",1,0.000807754442649435
0.4,0.8,"5","17",1,0.0008424599831508
0.4,0.8,"10","17",116,0.974789915966387
0.8,1.2,"0","0",1843,0.971534001054296
0.8,1.2,"1","0",10,0.00536480686695279
0.8,1.2,"3","0",81,0.0548037889039242
0.8,1.2,"9","0",4,0.00470588235294118
0.8,1.2,"1","1",1805,0.968347639484979
0.8,1.2,"3","1",4,0.0027063599458728
0.8,1.2,"0","2",6,0.00316288877174486
0.8,1.2,"1","2",38,0.0203862660944206
0.8,1.2,"3","2",1379,0.933017591339648
0.8,1.2,"13","2",1,0.00297619047619048
0.8,1.2,"4","3",1204,0.883994126284875
0.8,1.2,"2","4",6,0.0040133779264214
0.8,1.2,"5","4",1115,0.948936170212766
0.8,1.2,"2","5",556,0.37190635451505
0.8,1.2,"5","5",2,0.00170212765957447
0.8,1.2,"6","5",1,0.000958772770853308
0.8,1.2,"7","5",475,0.480769230769231
0.8,1.2,"9","5",13,0.0152941176470588
0.8,1.2,"2","6",2,0.00133779264214047
0.8,1.2,"6","6",1036,0.993288590604027
0.8,1.2,"2","7",926,0.619397993311037
0.8,1.2,"4","7",2,0.00146842878120411
0.8,1.2,"5","7",53,0.0451063829787234
0.8,1.2,"6","7",5,0.00479386385426654
0.8,1.2,"11","7",1,0.00235849056603774
0.8,1.2,"0","8",45,0.0237216657880865
0.8,1.2,"1","8",10,0.00536480686695279
0.8,1.2,"3","8",5,0.003382949932341
0.8,1.2,"8","8",2,0.00221483942414175
0.8,1.2,"9","8",829,0.975294117647059
0.8,1.2,"11","8",1,0.00235849056603774
0.8,1.2,"13","8",1,0.00297619047619048
0.8,1.2,"4","9",2,0.00146842878120411
0.8,1.2,"8","9",735,0.813953488372093
0.8,1.2,"7","10",513,0.519230769230769
0.8,1.2,"10","11",451,1
0.8,1.2,"2","12",1,0.000668896321070234
0.8,1.2,"5","12",1,0.000851063829787234
0.8,1.2,"9","12",2,0.00235294117647059
0.8,1.2,"11","12",422,0.995283018867924
0.8,1.2,"6","13",1,0.000958772770853308
0.8,1.2,"12","13",417,1
0.8,1.2,"0","14",1,0.000527148128624143
0.8,1.2,"1","14",1,0.000536480686695279
0.8,1.2,"3","14",1,0.0006765899864682
0.8,1.2,"8","14",1,0.00110741971207087
0.8,1.2,"13","14",333,0.991071428571429
0.8,1.2,"14","15",212,1
0.8,1.2,"0","16",1,0.000527148128624143
0.8,1.2,"8","16",165,0.182724252491694
0.8,1.2,"9","16",1,0.00117647058823529
0.8,1.2,"13","16",1,0.00297619047619048
0.8,1.2,"2","17",4,0.00267558528428094
0.8,1.2,"4","17",152,0.111600587371512
0.8,1.2,"0","18",1,0.000527148128624143
0.8,1.2,"3","18",8,0.0054127198917456
0.8,1.2,"9","18",1,0.00117647058823529
0.8,1.2,"15","18",145,1
0.8,1.2,"16","19",138,1
0.8,1.2,"4","20",2,0.00146842878120411
0.8,1.2,"5","20",4,0.00340425531914894
0.8,1.2,"17","20",118,1
