"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"0",1894,1861,0,1476,0,2,0,0,0,232,0,0,0,8,1,0,0,0
"1",0,0,1493,0,5,1171,5,7,0,0,0,4,0,0,0,0,0,0
"2",0,0,1,0,0,0,1037,0,0,0,0,0,417,0,0,0,0,0
"3",0,0,1,0,1357,0,1,0,2,0,0,0,0,0,0,0,0,0
"4",3,2,0,1,0,0,0,0,901,1,0,0,0,328,0,1,0,1
"5",0,1,0,1,0,0,0,4,0,616,0,420,0,0,0,144,0,1
"6",0,0,0,0,0,0,0,977,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0
"10",0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,116
