"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.82967408497622,0.696,0.205,0,"0","C7"
0,1.61196825280356,0.826,0.344,0,"0","SFRP1"
0,1.44116582427682,0.824,0.372,0,"0","IGF1"
0,1.5436306535793,0.911,0.507,0,"0","SFRP2"
0,1.76943758116018,0.835,0.434,0,"0","SERPINE2"
0,0.929632651229187,0.772,0.385,0,"0","ADH1B"
0,1.28493664610645,0.855,0.474,0,"0","MIR99AHG"
0,1.00923819935605,0.768,0.393,0,"0","OGN"
0,1.36822202832727,0.69,0.321,0,"0","STEAP2"
0,1.08853741891536,0.913,0.547,0,"0","NEGR1"
0,1.24624424426891,0.853,0.49,0,"0","QSOX1"
0,1.11362602039564,0.758,0.396,0,"0","PTN"
0,1.39031171886104,0.692,0.333,0,"0","NAV3"
0,1.2797198238467,0.632,0.276,0,"0","MATN2"
0,0.901832614356304,0.739,0.385,0,"0","MARCHF3"
0,0.758423588816405,0.816,0.479,0,"0","TNFAIP6"
0,0.94640397409734,0.847,0.511,0,"0","SLIT2"
0,0.977395612321189,0.844,0.512,0,"0","CELF2"
0,0.866386559235258,0.891,0.561,0,"0","ABI3BP"
0,1.00186017352643,0.823,0.496,0,"0","PID1"
0,1.26983050194715,0.607,0.289,0,"0","DPT"
0,0.801405029404131,0.9,0.591,0,"0","GPRC5A"
0,0.965366587987755,0.891,0.582,0,"0","FGF7"
0,1.52217190793247,0.547,0.249,0,"0","CFAP69"
0,1.18521473149542,0.902,0.61,0,"0","SDK1"
0,1.35881257092005,0.511,0.22,0,"0","RSPO3"
0,0.853013345786946,0.842,0.551,0,"0","PLTP"
0,1.06096938482004,0.925,0.635,0,"0","GPC6"
0,0.950866959992521,0.9,0.614,0,"0","LAMA2"
0,1.12781763022794,0.909,0.626,0,"0","COL14A1"
0,1.70853870958036,0.406,0.139,0,"0","COBL"
0,1.70357725023844,0.356,0.105,0,"0","IGSF10"
0,0.744683165875553,0.98,0.743,0,"0","MT-RNR2"
0,0.819152684513888,0.919,0.7,0,"0","SOD3"
0,1.03549484579352,0.986,0.803,0,"0","FBLN1"
0,1.200841564824,0.979,0.812,0,"0","MGP"
0,0.617016157111476,0.991,0.874,0,"0","DCN"
6.71929278344095e-322,0.733566775326395,0.947,0.713,6.04810262730304e-317,"0","MEG3"
2.14137932220513e-319,0.793371473211327,0.893,0.558,1.92747694171006e-314,"0","SLIT3"
3.92816368893302e-315,1.95579436945652,0.327,0.099,3.5357794180455e-310,"0","LINC01239"
1.10465888270288e-311,0.584000155212908,0.978,0.726,9.94314506909694e-307,"0","CFD"
1.09973285413583e-304,1.10995707967414,0.62,0.312,9.89880539336204e-300,"0","FOXP2"
1.36508274342964e-303,1.09697202152191,0.583,0.287,1.22872462818845e-298,"0","STEAP1"
4.07600076105844e-302,0.568045405358117,0.945,0.695,3.66884904503632e-297,"0","CCDC80"
3.12914718247249e-297,1.45319661260754,0.422,0.167,2.81657667041531e-292,"0","LIF"
8.5143148815561e-295,1.45201827137851,0.598,0.321,7.66381996803746e-290,"0","SLC2A13"
2.7064964739507e-294,1.07636355295175,0.683,0.376,2.43614454116776e-289,"0","SVEP1"
3.36569834874711e-294,0.665996515646342,0.874,0.585,3.02949874069076e-289,"0","LSAMP"
4.44655890844633e-294,1.1013800984877,0.763,0.47,4.00239213908163e-289,"0","FYN"
2.29300988489354e-291,0.691822090664036,0.874,0.567,2.06396112749153e-286,"0","GFPT2"
5.81700573739058e-291,1.25268300595011,0.644,0.368,5.23594503428264e-286,"0","MEDAG"
1.0160090342777e-284,0.665594847283574,0.954,0.783,9.14519891843699e-280,"0","GSN"
3.37957275685397e-284,0.866045379399316,0.801,0.49,3.04198723417183e-279,"0","ZFPM2"
1.50095789031174e-282,2.07511427577248,0.259,0.068,1.3510272066485e-277,"0","ENSG00000310283"
4.47916342200725e-282,0.823060441691785,0.84,0.545,4.03173978778295e-277,"0","BNC2"
6.04870999139459e-282,0.641414574474971,0.836,0.483,5.44450435035418e-277,"0","FBLN2"
4.24373440310007e-280,1.00543931972233,0.709,0.405,3.8198277735744e-275,"0","ENSG00000310376"
