"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.64839120226853,0.233,0.015,0,"0","KCNB2"
0,4.15949812242874,0.177,0.016,0,"0","DUOXA2"
1.03545476720575e-213,3.93035284640741,0.147,0.019,9.32023190509571e-209,"0","PRG4"
0,3.86683387441665,0.291,0.033,0,"0","ADGRG2"
0,3.63684189023694,0.204,0.018,0,"0","KCNAB1"
0,3.45752403185814,0.493,0.067,0,"0","LINC02511"
0,3.41695859157309,0.235,0.027,0,"0","DUOX2"
2.73410790125829e-317,3.38796038438046,0.181,0.018,2.4609978630016e-312,"0","WT1"
0,3.3656616670452,0.278,0.031,0,"0","WNT10B"
0,3.31561865392716,0.197,0.022,0,"0","CD70"
3.82230160830984e-282,3.22523959890424,0.181,0.022,3.44049190065577e-277,"0","TNFRSF8"
1.8939656566236e-217,3.14845939215548,0.144,0.018,1.70477742718347e-212,"0","SPSB4"
0,2.98310446991234,0.791,0.214,0,"0","C17orf58"
8.30742644425815e-191,2.93798084568306,0.147,0.022,7.4775976167412e-186,"0","FAM180B"
1.52673709367171e-277,2.84226328881615,0.224,0.036,1.37423132538484e-272,"0","DACT2"
0,2.83302084192221,0.772,0.272,0,"0","PROCR"
6.20656323319262e-262,2.72758706077485,0.32,0.08,5.58658963182901e-257,"0","THBD"
0,2.6815703453834,0.613,0.179,0,"0","RAMP2"
1.38527268664128e-189,2.60643131394905,0.174,0.032,1.24689779797269e-184,"0","KRT222"
7.2217530309289e-212,2.59964070524256,0.226,0.049,6.50037212066942e-207,"0","FABP3"
0,2.59742710244354,0.875,0.247,0,"0","CLEC3B"
1.32942641781055e-204,2.56068771380106,0.215,0.046,1.19663001293546e-199,"0","WDR86-AS1"
0,2.54737509403877,0.429,0.094,0,"0","ADAMTS16"
3.42939236331204e-151,2.54162845198278,0.15,0.03,3.0868303601408e-146,"0","KLHL4"
2.11100164760493e-292,2.52984704008141,0.257,0.045,1.90013369302567e-287,"0","SHISA6"
1.75812788277554e-266,2.51493340013672,0.286,0.063,1.58250848856509e-261,"0","PCDH15"
0,2.50491300810455,0.985,0.379,0,"0","MFAP5"
0,2.50409747808778,0.985,0.623,0,"0","FBN1"
0,2.50201697820781,0.341,0.069,0,"0","EBF2"
0,2.48363744061306,0.981,0.46,0,"0","SEMA3C"
0,2.43027446947828,0.394,0.094,0,"0","ADAMTS15"
2.28457151459206e-94,2.4059549131815,0.121,0.029,2.05636566599946e-89,"0","KRT24"
0,2.40486051899438,0.646,0.177,0,"0","LINC01133"
0,2.38394185247646,0.642,0.187,0,"0","ADAMTSL1"
9.7981558606036e-304,2.37831064933803,0.363,0.092,8.81941807168791e-299,"0","LRRC8C"
3.94918816586306e-178,2.3778654544644,0.206,0.048,3.554703759975e-173,"0","CISH"
1.90667968998846e-203,2.36120152560729,0.19,0.035,1.71622145575551e-198,"0","CYP4B1"
3.20889310367431e-265,2.34333125622491,0.304,0.071,2.88835677154828e-260,"0","CYP1B1-AS1"
0,2.33509255739308,0.681,0.205,0,"0","EPB41L3"
7.35650113899817e-126,2.32180236986043,0.101,0.016,6.62166024022364e-121,"0","PLA2G7"
0,2.31410369598322,0.485,0.115,0,"0","LRRC17"
2.62669269281409e-173,2.22519889055815,0.249,0.069,2.36431235972889e-168,"0","WNT11"
3.82804754991785e-42,2.21744831712242,0.169,0.081,3.44566388015656e-37,"0","CCL26"
2.18485851146598e-82,2.20656801093875,0.104,0.025,1.96661299475565e-77,"0","PXDNL"
5.51447791719347e-94,2.20553621785032,0.124,0.031,4.96363671804501e-89,"0","LVRN"
0,2.15076241273164,0.676,0.241,0,"0","ADAMTS5"
7.67705852808377e-109,2.13449697364916,0.131,0.03,6.91019715171348e-104,"0","PLEKHG4"
9.88131291682493e-324,2.10177855667773,0.545,0.193,8.89426856956329e-319,"0","CACNB4"
2.26263895018903e-259,2.08904345182789,0.389,0.116,2.03662394545465e-254,"0","FLNC"
0,2.08630074206565,0.481,0.144,0,"0","GALNT15"
0,2.08287382347406,0.55,0.148,0,"0","TRAC"
2.25853522042556e-305,2.07775030873682,0.582,0.235,2.03293013725725e-300,"0","GNPNAT1"
0,2.0775272490209,0.534,0.171,0,"0","HSD3B7"
0,2.07467885346801,0.852,0.388,0,"0","HTRA3"
8.54978106848764e-97,2.06819968965984,0.126,0.031,7.69574343755641e-92,"0","ANGPTL5"
0,2.05787741791816,0.583,0.185,0,"0","TPPP3"
5.91778521103878e-96,2.05712211097741,0.171,0.053,5.32665764630811e-91,"0","ADAL"
0,2.05400687862927,0.942,0.357,0,"0","PCOLCE2"
2.86558074587923e-322,2.05158082947795,0.614,0.257,2.57933788517335e-317,"0","ALDH1A3"
8.98103121000783e-225,2.02767800524384,0.326,0.093,8.08391600244015e-220,"0","NPR1"
