"cluster","group","n_cells","resolution","field","within_cluster_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag"
"0","CNP0000460",335,0.4,"dataset",0.0710649130250318,0.0744877049180328,0.954048901133852,FALSE
"1","CNP0000460",247,0.4,"dataset",0.0585863377609108,0.0744877049180328,0.786523599101086,FALSE
"2","CNP0000460",329,0.4,"dataset",0.134285714285714,0.0744877049180328,1.80279033208882,FALSE
"3","CNP0000460",110,0.4,"dataset",0.0582010582010582,0.0744877049180328,0.781351207761111,FALSE
"4","CNP0000460",149,0.4,"dataset",0.10828488372093,0.0744877049180328,1.45372828764275,FALSE
"5","CNP0000460",52,0.4,"dataset",0.0448275862068966,0.0744877049180328,0.601811886353934,FALSE
"6","CNP0000460",36,0.4,"dataset",0.0315789473684211,0.0744877049180328,0.423948454354593,FALSE
"7","CNP0000460",27,0.4,"dataset",0.0393013100436681,0.0744877049180328,0.527621438825586,FALSE
"8","CNP0000460",0,0.4,"dataset",0,0.0744877049180328,0,FALSE
"9","CNP0000460",80,0.4,"dataset",0.170940170940171,0.0744877049180328,2.29487767314452,FALSE
"10","CNP0000460",47,0.4,"dataset",0.113801452784504,0.0744877049180328,1.52778841702442,FALSE
"11","CNP0000460",20,0.4,"dataset",0.0840336134453782,0.0744877049180328,1.12815415024332,FALSE
"12","CNP0000460",22,0.4,"dataset",0.108910891089109,0.0744877049180328,1.46213245808762,FALSE
"0","GSE326225",46,0.4,"dataset",0.00975816716164616,0.0367827868852459,0.265291675480965,FALSE
"1","GSE326225",0,0.4,"dataset",0,0.0367827868852459,0,FALSE
"2","GSE326225",123,0.4,"dataset",0.0502040816326531,0.0367827868852459,1.36487976806321,FALSE
"3","GSE326225",88,0.4,"dataset",0.0465608465608466,0.0367827868852459,1.2658324858882,FALSE
"4","GSE326225",113,0.4,"dataset",0.0821220930232558,0.0367827868852459,2.23262291896094,FALSE
"5","GSE326225",121,0.4,"dataset",0.104310344827586,0.0367827868852459,2.83584670060513,FALSE
"6","GSE326225",100,0.4,"dataset",0.087719298245614,0.0367827868852459,2.38479206372477,FALSE
"7","GSE326225",0,0.4,"dataset",0,0.0367827868852459,0,FALSE
"8","GSE326225",10,0.4,"dataset",0.0176678445229682,0.0367827868852459,0.480329143577074,FALSE
"9","GSE326225",1,0.4,"dataset",0.00213675213675214,0.0367827868852459,0.0580910887317573,FALSE
"10","GSE326225",64,0.4,"dataset",0.154963680387409,0.0367827868852459,4.21294016874962,FALSE
"11","GSE326225",37,0.4,"dataset",0.15546218487395,0.0367827868852459,4.22649282554247,TRUE
"12","GSE326225",15,0.4,"dataset",0.0742574257425743,0.0367827868852459,2.01880912325216,FALSE
"0","HRA003620",2996,0.4,"dataset",0.635553669919389,0.394518442622951,1.61096060730119,FALSE
"1","HRA003620",3781,0.4,"dataset",0.896821631878558,0.394518442622951,2.27320585044403,FALSE
"2","HRA003620",17,0.4,"dataset",0.00693877551020408,0.394518442622951,0.0175879623372528,FALSE
"3","HRA003620",2,0.4,"dataset",0.00105820105820106,0.394518442622951,0.00268226005143289,FALSE
"4","HRA003620",341,0.4,"dataset",0.24781976744186,0.394518442622951,0.628157623745633,FALSE
"5","HRA003620",3,0.4,"dataset",0.00258620689655172,0.394518442622951,0.00655535107397606,FALSE
"6","HRA003620",11,0.4,"dataset",0.00964912280701754,0.394518442622951,0.0244579765216183,FALSE
"7","HRA003620",456,0.4,"dataset",0.663755458515284,0.394518442622951,1.68244468902978,FALSE
"8","HRA003620",0,0.4,"dataset",0,0.394518442622951,0,FALSE
"9","HRA003620",74,0.4,"dataset",0.158119658119658,0.394518442622951,0.400791549992952,FALSE
"10","HRA003620",10,0.4,"dataset",0.0242130750605327,0.394518442622951,0.061373746939566,FALSE
"11","HRA003620",9,0.4,"dataset",0.0378151260504202,0.394518442622951,0.0958513518379693,FALSE
"12","HRA003620",1,0.4,"dataset",0.00495049504950495,0.394518442622951,0.0125481967752677,FALSE
"0","InhouseData",46,0.4,"dataset",0.00975816716164616,0.155379098360656,0.0628023155276403,FALSE
"1","InhouseData",32,0.4,"dataset",0.00759013282732448,0.155379098360656,0.0488491239002222,FALSE
"2","InhouseData",370,0.4,"dataset",0.151020408163265,0.155379098360656,0.971948027480033,FALSE
"3","InhouseData",358,0.4,"dataset",0.189417989417989,0.155379098360656,1.21906994838086,FALSE
"4","InhouseData",290,0.4,"dataset",0.210755813953488,0.155379098360656,1.35639745742568,FALSE
"5","InhouseData",557,0.4,"dataset",0.480172413793103,0.155379098360656,3.09032822856623,FALSE
"6","InhouseData",536,0.4,"dataset",0.470175438596491,0.155379098360656,3.02598897507534,FALSE
"7","InhouseData",2,0.4,"dataset",0.00291120815138282,0.155379098360656,0.0187361632426616,FALSE
"8","InhouseData",556,0.4,"dataset",0.982332155477032,0.155379098360656,6.3221640866837,FALSE
"9","InhouseData",41,0.4,"dataset",0.0876068376068376,0.155379098360656,0.563826399632532,FALSE
"10","InhouseData",161,0.4,"dataset",0.389830508474576,0.155379098360656,2.50889928302794,FALSE
"11","InhouseData",47,0.4,"dataset",0.197478991596639,0.155379098360656,1.27094952718971,FALSE
"12","InhouseData",37,0.4,"dataset",0.183168316831683,0.155379098360656,1.17884785511192,FALSE
"0","PRJNA662018",1291,0.4,"dataset",0.273865082732287,0.338831967213115,0.80826223388785,FALSE
"1","PRJNA662018",156,0.4,"dataset",0.0370018975332068,0.338831967213115,0.109204269707922,FALSE
"2","PRJNA662018",1611,0.4,"dataset",0.657551020408163,0.338831967213115,1.94064044728868,FALSE
"3","PRJNA662018",1332,0.4,"dataset",0.704761904761905,0.338831967213115,2.07997465693263,FALSE
"4","PRJNA662018",483,0.4,"dataset",0.351017441860465,0.338831967213115,1.0359631788806,FALSE
"5","PRJNA662018",427,0.4,"dataset",0.368103448275862,0.338831967213115,1.08638937259523,FALSE
"6","PRJNA662018",457,0.4,"dataset",0.400877192982456,0.338831967213115,1.18311502978796,FALSE
"7","PRJNA662018",202,0.4,"dataset",0.294032023289665,0.338831967213115,0.867781235956194,FALSE
"8","PRJNA662018",0,0.4,"dataset",0,0.338831967213115,0,FALSE
"9","PRJNA662018",272,0.4,"dataset",0.581196581196581,0.338831967213115,1.71529441562704,FALSE
"10","PRJNA662018",131,0.4,"dataset",0.317191283292978,0.338831967213115,0.936131516461889,FALSE
"11","PRJNA662018",125,0.4,"dataset",0.525210084033613,0.338831967213115,1.55006060482857,FALSE
"12","PRJNA662018",127,0.4,"dataset",0.628712871287129,0.338831967213115,1.8555299739227,FALSE
"0","CNP0000460",146,0.8,"dataset",0.053382084095064,0.0744877049180328,0.716656314673761,FALSE
"1","CNP0000460",234,0.8,"dataset",0.110690633869442,0.0744877049180328,1.4860255661152,FALSE
"2","CNP0000460",104,0.8,"dataset",0.0499519692603266,0.0744877049180328,0.670606905062982,FALSE
"3","CNP0000460",278,0.8,"dataset",0.14396685655101,0.0744877049180328,1.93275999991452,FALSE
"4","CNP0000460",110,0.8,"dataset",0.0582318687136051,0.0744877049180328,0.781764839951562,FALSE
"5","CNP0000460",68,0.8,"dataset",0.0407185628742515,0.0744877049180328,0.54664810681251,FALSE
"6","CNP0000460",149,0.8,"dataset",0.108363636363636,0.0744877049180328,1.45478554457922,FALSE
"7","CNP0000460",53,0.8,"dataset",0.0459670424978317,0.0744877049180328,0.617109126243243,FALSE
"8","CNP0000460",35,0.8,"dataset",0.0402298850574713,0.0744877049180328,0.540087590317633,FALSE
"9","CNP0000460",18,0.8,"dataset",0.0237154150197628,0.0744877049180328,0.318380262163529,FALSE
"10","CNP0000460",37,0.8,"dataset",0.0564024390243902,0.0744877049180328,0.757204683463616,FALSE
"11","CNP0000460",0,0.8,"dataset",0,0.0744877049180328,0,FALSE
"12","CNP0000460",49,0.8,"dataset",0.0962671905697446,0.0744877049180328,1.29239034382491,FALSE
"13","CNP0000460",77,0.8,"dataset",0.166666666666667,0.0744877049180328,2.23750573131591,FALSE
"14","CNP0000460",20,0.8,"dataset",0.0833333333333333,0.0744877049180328,1.11875286565795,FALSE
"15","CNP0000460",22,0.8,"dataset",0.108374384236453,0.0744877049180328,1.45492983514138,FALSE
"16","CNP0000460",25,0.8,"dataset",0.159235668789809,0.0744877049180328,2.13774432928272,FALSE
"17","CNP0000460",29,0.8,"dataset",0.188311688311688,0.0744877049180328,2.52809089122707,FALSE
"0","GSE326225",0,0.8,"dataset",0,0.0367827868852459,0,FALSE
"1","GSE326225",10,0.8,"dataset",0.00473036896877956,0.0367827868852459,0.128602788677684,FALSE
"2","GSE326225",0,0.8,"dataset",0,0.0367827868852459,0,FALSE
"3","GSE326225",105,0.8,"dataset",0.0543759709994821,0.0367827868852459,1.47829937870458,FALSE
"4","GSE326225",88,0.8,"dataset",0.0465854949708841,0.0367827868852459,1.2665025930803,FALSE
"5","GSE326225",36,0.8,"dataset",0.0215568862275449,0.0367827868852459,0.586059079612363,FALSE
"6","GSE326225",113,0.8,"dataset",0.0821818181818182,0.0367827868852459,2.23424664472018,FALSE
"7","GSE326225",121,0.8,"dataset",0.104943625325239,0.0367827868852459,2.85306346288114,FALSE
"8","GSE326225",0,0.8,"dataset",0,0.0367827868852459,0,FALSE
"9","GSE326225",60,0.8,"dataset",0.0790513833992095,0.0367827868852459,2.14914067402865,FALSE
"10","GSE326225",89,0.8,"dataset",0.135670731707317,0.0367827868852459,3.6884299205109,FALSE
"11","GSE326225",10,0.8,"dataset",0.017825311942959,0.0367827868852459,0.484610151986852,FALSE
"12","GSE326225",17,0.8,"dataset",0.0333988212180747,0.0367827868852459,0.908001379076347,FALSE
"13","GSE326225",1,0.8,"dataset",0.00216450216450216,0.0367827868852459,0.0588455184555463,FALSE
"14","GSE326225",37,0.8,"dataset",0.154166666666667,0.0367827868852459,4.19127205199629,TRUE
"15","GSE326225",15,0.8,"dataset",0.0738916256157636,0.0367827868852459,2.00886425072382,FALSE
"16","GSE326225",0,0.8,"dataset",0,0.0367827868852459,0,FALSE
"17","GSE326225",16,0.8,"dataset",0.103896103896104,0.0367827868852459,2.82458488586622,FALSE
"0","HRA003620",2470,0.8,"dataset",0.903107861060329,0.394518442622951,2.28913978027498,FALSE
"1","HRA003620",975,0.8,"dataset",0.461210974456008,0.394518442622951,1.16904794460216,FALSE
"2","HRA003620",1912,0.8,"dataset",0.918347742555235,0.394518442622951,2.32776885270461,FALSE
"3","HRA003620",8,0.8,"dataset",0.00414293112377007,0.394518442622951,0.0105012356234245,FALSE
"4","HRA003620",2,0.8,"dataset",0.00105876124933827,0.394518442622951,0.00268367998793444,FALSE
"5","HRA003620",1157,0.8,"dataset",0.692814371257485,0.394518442622951,1.756101353973,FALSE
"6","HRA003620",344,0.8,"dataset",0.250181818181818,0.394518442622951,0.63414479819622,FALSE
"7","HRA003620",3,0.8,"dataset",0.002601908065915,0.394518442622951,0.00659514938925606,FALSE
"8","HRA003620",608,0.8,"dataset",0.698850574712644,0.394518442622951,1.77140153465664,FALSE
"9","HRA003620",7,0.8,"dataset",0.00922266139657444,0.394518442622951,0.023377009539168,FALSE
"10","HRA003620",13,0.8,"dataset",0.0198170731707317,0.394518442622951,0.0502310437985564,FALSE
"11","HRA003620",0,0.8,"dataset",0,0.394518442622951,0,FALSE
"12","HRA003620",9,0.8,"dataset",0.0176817288801572,0.394518442622951,0.0448185102896595,FALSE
"13","HRA003620",71,0.8,"dataset",0.153679653679654,0.394518442622951,0.389537312014912,FALSE
"14","HRA003620",9,0.8,"dataset",0.0375,0.394518442622951,0.0950525905726529,FALSE
"15","HRA003620",1,0.8,"dataset",0.00492610837438424,0.394518442622951,0.0124863829980496,FALSE
"16","HRA003620",111,0.8,"dataset",0.707006369426752,0.394518442622951,1.79207431907677,FALSE
"17","HRA003620",1,0.8,"dataset",0.00649350649350649,0.394518442622951,0.0164593230428836,FALSE
"0","InhouseData",20,0.8,"dataset",0.00731261425959781,0.155379098360656,0.047063049900214,FALSE
"1","InhouseData",5,0.8,"dataset",0.00236518448438978,0.155379098360656,0.0152220247725976,FALSE
"2","InhouseData",12,0.8,"dataset",0.00576368876080692,0.155379098360656,0.037094363538065,FALSE
"3","InhouseData",315,0.8,"dataset",0.163127912998446,0.155379098360656,1.04987037973283,FALSE
"4","InhouseData",358,0.8,"dataset",0.189518263631551,0.155379098360656,1.21971530039165,FALSE
"5","InhouseData",42,0.8,"dataset",0.0251497005988024,0.155379098360656,0.161860255749628,FALSE
"6","InhouseData",289,0.8,"dataset",0.210181818181818,0.155379098360656,1.35270329406828,FALSE
"7","InhouseData",553,0.8,"dataset",0.479618386816999,0.155379098360656,3.08676258182256,FALSE
"8","InhouseData",2,0.8,"dataset",0.00229885057471264,0.155379098360656,0.0147951082157569,FALSE
"9","InhouseData",301,0.8,"dataset",0.396574440052701,0.155379098360656,2.55230236393957,FALSE
"10","InhouseData",360,0.8,"dataset",0.548780487804878,0.155379098360656,3.53188101613954,FALSE
"11","InhouseData",551,0.8,"dataset",0.982174688057041,0.155379098360656,6.32115064651284,FALSE
"12","InhouseData",51,0.8,"dataset",0.100196463654224,0.155379098360656,0.644851622331174,FALSE
"13","InhouseData",47,0.8,"dataset",0.101731601731602,0.155379098360656,0.65473157461288,FALSE
"14","InhouseData",47,0.8,"dataset",0.195833333333333,0.155379098360656,1.26035828112979,FALSE
"15","InhouseData",37,0.8,"dataset",0.182266009852217,0.155379098360656,1.17304072282073,FALSE
"16","InhouseData",0,0.8,"dataset",0,0.155379098360656,0,FALSE
"17","InhouseData",43,0.8,"dataset",0.279220779220779,0.155379098360656,1.79702921542684,FALSE
"0","PRJNA662018",99,0.8,"dataset",0.0361974405850091,0.338831967213115,0.106830063534832,FALSE
"1","PRJNA662018",890,0.8,"dataset",0.421002838221381,0.338831967213115,1.24251215634735,FALSE
"2","PRJNA662018",54,0.8,"dataset",0.0259365994236311,0.338831967213115,0.07654708508456,FALSE
"3","PRJNA662018",1225,0.8,"dataset",0.634386328327292,0.338831967213115,1.87227413500888,FALSE
"4","PRJNA662018",1331,0.8,"dataset",0.704605611434622,0.338831967213115,2.07951338603021,FALSE
"5","PRJNA662018",367,0.8,"dataset",0.219760479041916,0.338831967213115,0.648582484260388,FALSE
"6","PRJNA662018",480,0.8,"dataset",0.349090909090909,0.338831967213115,1.0302773730654,FALSE
"7","PRJNA662018",423,0.8,"dataset",0.366869037294016,0.338831967213115,1.08274623646495,FALSE
