"resolution","cluster","n_cells","fraction"
0.4,"0",4714,0.241495901639344
0.4,"1",4216,0.215983606557377
0.4,"2",2450,0.125512295081967
0.4,"3",1890,0.0968237704918033
0.4,"4",1376,0.0704918032786885
0.4,"5",1160,0.0594262295081967
0.4,"6",1140,0.0584016393442623
0.4,"7",687,0.0351946721311475
0.4,"8",566,0.0289959016393443
0.4,"9",468,0.0239754098360656
0.4,"10",413,0.0211577868852459
0.4,"11",238,0.0121926229508197
0.4,"12",202,0.0103483606557377
0.8,"0",2735,0.140112704918033
0.8,"1",2114,0.108299180327869
0.8,"2",2082,0.106659836065574
0.8,"3",1931,0.0989241803278689
0.8,"4",1889,0.0967725409836066
0.8,"5",1670,0.0855532786885246
0.8,"6",1375,0.0704405737704918
0.8,"7",1153,0.0590676229508197
0.8,"8",870,0.0445696721311475
0.8,"9",759,0.0388831967213115
0.8,"10",656,0.0336065573770492
0.8,"11",561,0.0287397540983607
0.8,"12",509,0.0260758196721311
0.8,"13",462,0.0236680327868852
0.8,"14",240,0.0122950819672131
0.8,"15",203,0.0103995901639344
0.8,"16",157,0.00804303278688525
0.8,"17",154,0.00788934426229508
1.2,"0",2127,0.108965163934426
1.2,"1",1913,0.0980020491803279
1.2,"2",1912,0.0979508196721312
1.2,"3",1889,0.0967725409836066
1.2,"4",1542,0.0789959016393443
1.2,"5",1465,0.0750512295081967
1.2,"6",1096,0.0561475409836066
1.2,"7",908,0.0465163934426229
1.2,"8",875,0.0448258196721311
1.2,"9",775,0.039702868852459
1.2,"10",761,0.0389856557377049
1.2,"11",700,0.0358606557377049
1.2,"12",656,0.0336065573770492
1.2,"13",565,0.0289446721311475
1.2,"14",506,0.025922131147541
1.2,"15",486,0.0248975409836066
1.2,"16",466,0.0238729508196721
1.2,"17",279,0.0142930327868852
1.2,"18",240,0.0122950819672131
1.2,"19",204,0.0104508196721311
1.2,"20",155,0.0079405737704918
