"from_resolution","to_resolution","parent_cluster","child_cluster","n_cells","fraction_of_parent"
0.4,0.8,"0","0",850,0.180313958421723
0.4,0.8,"1","0",1882,0.446394686907021
0.4,0.8,"4","0",1,0.000726744186046512
0.4,0.8,"7","0",2,0.00291120815138282
0.4,0.8,"0","1",2102,0.445905812473483
0.4,0.8,"1","1",3,0.00071157495256167
0.4,0.8,"9","1",9,0.0192307692307692
0.4,0.8,"0","2",31,0.00657615613067459
0.4,0.8,"1","2",2051,0.486480075901328
0.4,0.8,"2","3",1926,0.786122448979592
0.4,0.8,"5","3",5,0.00431034482758621
0.4,0.8,"3","4",1889,0.9994708994709
0.4,0.8,"0","5",1635,0.346839202375902
0.4,0.8,"1","5",32,0.00759013282732448
0.4,0.8,"4","5",3,0.00218023255813953
0.4,0.8,"0","6",7,0.00148493848112007
0.4,0.8,"1","6",1,0.00023719165085389
0.4,0.8,"4","6",1367,0.993459302325581
0.4,0.8,"2","7",6,0.00244897959183673
0.4,0.8,"5","7",1147,0.988793103448276
0.4,0.8,"0","8",81,0.0171828595672465
0.4,0.8,"1","8",100,0.023719165085389
0.4,0.8,"4","8",2,0.00145348837209302
0.4,0.8,"7","8",685,0.997088791848617
0.4,0.8,"9","8",2,0.00427350427350427
0.4,0.8,"5","9",4,0.00344827586206897
0.4,0.8,"6","9",755,0.662280701754386
0.4,0.8,"2","10",8,0.00326530612244898
0.4,0.8,"5","10",1,0.000862068965517241
0.4,0.8,"6","10",385,0.337719298245614
0.4,0.8,"8","10",1,0.00176678445229682
0.4,0.8,"10","10",261,0.631961259079903
0.4,0.8,"5","11",1,0.000862068965517241
0.4,0.8,"8","11",560,0.989399293286219
0.4,0.8,"2","12",509,0.207755102040816
0.4,0.8,"2","13",1,0.000408163265306122
0.4,0.8,"8","13",5,0.0088339222614841
0.4,0.8,"9","13",455,0.972222222222222
0.4,0.8,"10","13",1,0.00242130750605327
0.4,0.8,"4","14",2,0.00145348837209302
0.4,0.8,"11","14",238,1
0.4,0.8,"3","15",1,0.000529100529100529
0.4,0.8,"12","15",202,1
0.4,0.8,"0","16",8,0.00169707254985151
0.4,0.8,"1","16",147,0.0348671726755218
0.4,0.8,"9","16",2,0.00427350427350427
0.4,0.8,"4","17",1,0.000726744186046512
0.4,0.8,"5","17",2,0.00172413793103448
0.4,0.8,"10","17",151,0.365617433414044
0.8,1.2,"0","0",60,0.0219378427787934
0.8,1.2,"2","0",2049,0.984149855907781
0.8,1.2,"5","0",8,0.00479041916167665
0.8,1.2,"8","0",8,0.00919540229885057
0.8,1.2,"16","0",2,0.0127388535031847
0.8,1.2,"0","1",1872,0.684460694698355
0.8,1.2,"1","1",3,0.00141911069063387
0.8,1.2,"2","1",11,0.00528338136407301
0.8,1.2,"5","1",18,0.0107784431137725
0.8,1.2,"8","1",9,0.0103448275862069
0.8,1.2,"3","2",1908,0.988089073019161
0.8,1.2,"12","2",4,0.00785854616895874
0.8,1.2,"4","3",1889,1
0.8,1.2,"0","4",16,0.00585009140767825
0.8,1.2,"1","4",616,0.291390728476821
0.8,1.2,"5","4",752,0.450299401197605
0.8,1.2,"8","4",4,0.00459770114942529
0.8,1.2,"13","4",3,0.00649350649350649
0.8,1.2,"16","4",151,0.961783439490446
0.8,1.2,"0","5",82,0.029981718464351
0.8,1.2,"1","5",1369,0.647587511825922
0.8,1.2,"5","5",13,0.00778443113772455
0.8,1.2,"6","5",1,0.000727272727272727
0.8,1.2,"5","6",2,0.00119760479041916
0.8,1.2,"6","6",1092,0.794181818181818
0.8,1.2,"8","6",2,0.00229885057471264
0.8,1.2,"0","7",699,0.255575868372943
0.8,1.2,"1","7",4,0.00189214758751183
0.8,1.2,"2","7",1,0.00048030739673391
0.8,1.2,"5","7",199,0.119161676646707
0.8,1.2,"6","7",1,0.000727272727272727
0.8,1.2,"16","7",4,0.0254777070063694
0.8,1.2,"0","8",5,0.00182815356489945
0.8,1.2,"1","8",3,0.00141911069063387
0.8,1.2,"2","8",20,0.00960614793467819
0.8,1.2,"5","8",2,0.00119760479041916
0.8,1.2,"8","8",845,0.971264367816092
0.8,1.2,"0","9",1,0.00036563071297989
0.8,1.2,"1","9",90,0.0425733207190161
0.8,1.2,"2","9",1,0.00048030739673391
0.8,1.2,"5","9",676,0.404790419161677
0.8,1.2,"8","9",2,0.00229885057471264
0.8,1.2,"13","9",5,0.0108225108225108
0.8,1.2,"7","10",2,0.00173460537727667
0.8,1.2,"9","10",757,0.997364953886693
0.8,1.2,"10","10",2,0.00304878048780488
0.8,1.2,"3","11",12,0.0062143966856551
0.8,1.2,"6","11",3,0.00218181818181818
0.8,1.2,"7","11",683,0.592367736339983
0.8,1.2,"9","11",2,0.00263504611330698
0.8,1.2,"3","12",2,0.00103573278094252
0.8,1.2,"10","12",654,0.996951219512195
0.8,1.2,"11","13",560,0.998217468805704
0.8,1.2,"13","13",5,0.0108225108225108
0.8,1.2,"3","14",8,0.00414293112377007
0.8,1.2,"7","14",1,0.000867302688638335
0.8,1.2,"12","14",497,0.976424361493124
0.8,1.2,"1","15",29,0.0137180700094607
0.8,1.2,"12","15",8,0.0157170923379175
0.8,1.2,"13","15",449,0.971861471861472
0.8,1.2,"6","16",1,0.000727272727272727
0.8,1.2,"7","16",464,0.402428447528187
0.8,1.2,"11","16",1,0.0017825311942959
0.8,1.2,"6","17",275,0.2
0.8,1.2,"7","17",3,0.002601908065915
0.8,1.2,"15","17",1,0.00492610837438424
0.8,1.2,"14","18",240,1
0.8,1.2,"6","19",2,0.00145454545454545
0.8,1.2,"15","19",202,0.995073891625616
0.8,1.2,"3","20",1,0.000517866390471258
0.8,1.2,"17","20",154,1
