"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"0",850,2102,31,0,0,1635,7,0,81,0,0,0,0,0,0,0,8,0
"1",1882,3,2051,0,0,32,1,0,100,0,0,0,0,0,0,0,147,0
"2",0,0,0,1926,0,0,0,6,0,0,8,0,509,1,0,0,0,0
"3",0,0,0,0,1889,0,0,0,0,0,0,0,0,0,0,1,0,0
"4",1,0,0,0,0,3,1367,0,2,0,0,0,0,0,2,0,0,1
"5",0,0,0,5,0,0,0,1147,0,4,1,1,0,0,0,0,0,2
"6",0,0,0,0,0,0,0,0,0,755,385,0,0,0,0,0,0,0
"7",2,0,0,0,0,0,0,0,685,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,1,560,0,5,0,0,0,0
"9",0,9,0,0,0,0,0,0,2,0,0,0,0,455,0,0,2,0
"10",0,0,0,0,0,0,0,0,0,0,261,0,0,1,0,0,0,151
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0
