"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"0",60,1872,0,0,16,82,0,699,5,1,0,0,0,0,0,0,0,0,0,0,0
"1",0,3,0,0,616,1369,0,4,3,90,0,0,0,0,0,29,0,0,0,0,0
"2",2049,11,0,0,0,0,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,1908,0,0,0,0,0,0,0,0,12,2,0,8,0,0,0,0,0,1
"4",0,0,0,1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",8,18,0,0,752,13,2,199,2,676,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,1,1092,1,0,0,0,3,0,0,0,0,1,275,0,2,0
"7",0,0,0,0,0,0,0,0,0,0,2,683,0,0,1,0,464,3,0,0,0
"8",8,9,0,0,4,0,2,0,845,2,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,757,2,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,2,0,654,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,1,0,0,0,0
"12",0,0,4,0,0,0,0,0,0,0,0,0,0,0,497,8,0,0,0,0,0
"13",0,0,0,0,3,0,0,0,0,5,0,0,0,5,0,449,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,202,0
"16",2,0,0,0,151,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
