"program","gene","present"
"Pericyte","RGS5",TRUE
"Pericyte","CSPG4",TRUE
"Pericyte","MCAM",TRUE
"Pericyte","NOTCH3",TRUE
"Pericyte","KCNJ8",TRUE
"Pericyte","ABCC9",TRUE
"Pericyte","COX4I2",TRUE
"Pericyte","NDUFA4L2",TRUE
"Pericyte","HIGD1B",TRUE
"Pericyte","GUCY1A2",TRUE
"Smooth_muscle","ACTA2",TRUE
"Smooth_muscle","TAGLN",TRUE
"Smooth_muscle","MYH11",TRUE
"Smooth_muscle","CNN1",TRUE
"Smooth_muscle","DES",TRUE
"Smooth_muscle","LMOD1",TRUE
"Smooth_muscle","PGM5",TRUE
"Smooth_muscle","ACTC1",TRUE
"Smooth_muscle","PLN",TRUE
"Smooth_muscle","CASQ2",TRUE
"Smooth_muscle","SPEG",TRUE
"Smooth_muscle","SORBS2",TRUE
"Fibroblast_audit","COL1A1",TRUE
"Fibroblast_audit","COL1A2",TRUE
"Fibroblast_audit","DCN",TRUE
"Fibroblast_audit","LUM",TRUE
"Endothelial_audit","PECAM1",TRUE
"Endothelial_audit","VWF",TRUE
"Endothelial_audit","CDH5",TRUE
"Immune_epithelial_audit","PTPRC",TRUE
"Immune_epithelial_audit","LYZ",TRUE
"Immune_epithelial_audit","CD3D",TRUE
"Immune_epithelial_audit","EPCAM",TRUE
"Immune_epithelial_audit","KRT8",TRUE
"Immune_epithelial_audit","KRT18",TRUE
