"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.00060713684444e-114,4.85426947246375,0.153,0.004,9.00656489945052e-110,"0","SLC1A2-AS2"
1.51287098896132e-269,3.49999511939704,0.405,0.03,1.36175030587397e-264,"0","MEST"
4.58575083541295e-64,3.3042631310685,0.1,0.006,4.12768018446355e-59,"0","ARFGEF1-DT"
0,3.29710226756086,0.738,0.107,0,"0","SPON2"
5.58937373157428e-67,3.2868586118614,0.105,0.007,5.03105118952733e-62,"0","CAMK1G"
4.00752021808417e-148,3.23441440146508,0.243,0.02,3.60720902349974e-143,"0","ACP5"
2.67756897395024e-219,3.17713345047032,0.349,0.03,2.41010660914235e-214,"0","HTRA3"
0,3.14474822332838,0.573,0.061,0,"0","PAMR1"
5.99342843307586e-60,3.10987993379081,0.112,0.012,5.39474486689591e-55,"0","HSD11B1"
2.64313345875437e-96,3.01668640731208,0.172,0.017,2.37911085755939e-91,"0","LYPD1"
7.67986158979418e-197,3.01159781931112,0.314,0.025,6.91272021558964e-192,"0","LPL"
2.5908413521256e-161,3.00884222976155,0.259,0.02,2.33204220946178e-156,"0","LINC01060"
1.1673099181691e-306,2.98054128726441,0.534,0.071,1.05070733044319e-301,"0","FJX1"
2.57673774426979e-161,2.96768849799264,0.295,0.035,2.31934741099468e-156,"0","IQSEC3-AS1"
6.46085368314939e-69,2.95817978118441,0.129,0.014,5.8154790087396e-64,"0","RXFP1"
2.55709078783646e-113,2.8892184493651,0.218,0.026,2.30166298903948e-108,"0","PIEZO2"
1.54197123010652e-204,2.88887338274178,0.376,0.047,1.38794372393118e-199,"0","ADAMTS12"
6.74892211235534e-82,2.88199315360678,0.134,0.01,6.07477228255217e-77,"0","MYG1-AS1"
8.94584936828018e-85,2.87930542659772,0.15,0.014,8.05224847488267e-80,"0","LINC02147"
3.92002693596355e-274,2.87450510447992,0.479,0.057,3.52845544533015e-269,"0","LAMC3"
7.1033011525423e-302,2.86375438554655,0.502,0.054,6.39375240041485e-297,"0","ADAM12"
6.37182273483114e-60,2.85779312656643,0.128,0.018,5.73534136184886e-55,"0","TNFSF13B"
0,2.82434794199053,0.944,0.242,0,"0","THY1"
1.28722012885127e-66,2.82272817017129,0.126,0.014,1.15863971018031e-61,"0","SYT17"
0,2.81590673238014,0.754,0.13,0,"0","CYGB"
5.72990434516727e-69,2.8147732621774,0.123,0.012,5.15754420012851e-64,"0","ANO4"
3.43884962108749e-182,2.79998534316036,0.329,0.037,3.09534293243706e-177,"0","KCNK6"
0,2.77494352855254,0.831,0.153,0,"0","COL6A3"
1.89013548700027e-68,2.77208863168233,0.144,0.02,1.70132985320381e-63,"0","CASP4LP.1"
1.38378924335954e-112,2.76258763435347,0.209,0.023,1.24556253584036e-107,"0","TMEM273"
1.54901000359304e-77,2.76183398596416,0.137,0.013,1.39427939433413e-72,"0","RDM1P5.1"
2.16282778256537e-154,2.72879441766009,0.288,0.034,1.94678291536492e-149,"0","TDO2"
6.03078790161076e-185,2.67413637338874,0.354,0.046,5.42837249811886e-180,"0","NTM"
1.5312126861677e-146,2.67142994189579,0.286,0.036,1.37825985094641e-141,"0","QPRT"
7.14665682255555e-156,2.66855355564121,0.307,0.041,6.43277727255047e-151,"0","GRM8"
1.42330948586946e-172,2.66697590758929,0.343,0.048,1.28113510132596e-167,"0","MIR181A1HG"
3.09455644839954e-174,2.66687812410775,0.356,0.053,2.78544120476891e-169,"0","LIMD2"
1.31942336119678e-78,2.65297175859727,0.158,0.02,1.18762616164684e-73,"0","HSD11B2"
2.29538165441876e-114,2.63748555697964,0.241,0.035,2.06609598095887e-109,"0","COLEC11"
4.3566918977217e-64,2.61586670168759,0.112,0.01,3.92150194405828e-59,"0","ELOVL2"
5.89998525261179e-177,2.6158380091597,0.35,0.048,5.3106357257284e-172,"0","EMILIN2"
8.86158912857343e-52,2.56878853740245,0.114,0.017,7.97640499052023e-47,"0","GPC3"
1.13246460736107e-46,2.56108683072638,0.1,0.014,1.01934271773178e-41,"0","ZNF469"
1.93796400543861e-139,2.5446550407272,0.279,0.038,1.74438078093535e-134,"0","YIF1B"
6.05972872593187e-56,2.54431111568317,0.108,0.012,5.45442242349853e-51,"0","TRIB3"
1.99015864911688e-69,2.53582341043161,0.136,0.016,1.79136170165659e-64,"0","TMEM26"
1.61085153805322e-254,2.51999407501415,0.537,0.101,1.44994357791708e-249,"0","NICOL1"
0,2.51175685020064,0.729,0.165,0,"0","PAG1"
2.84587376112479e-79,2.50901720742267,0.159,0.02,2.56159943112604e-74,"0","MXRA5"
1.67825836509286e-86,2.50175455023029,0.147,0.012,1.51061713700373e-81,"0","NHSL1-AS1"
2.77107960395598e-69,2.5013800903239,0.158,0.025,2.49427646231681e-64,"0","CA4"
4.42530271983622e-194,2.50030185366659,0.344,0.037,3.98325923115178e-189,"0","LINC03124"
2.27721514220647e-72,2.4969134513048,0.13,0.012,2.04974412165146e-67,"0","LAIR1"
0,2.48361239576992,0.635,0.095,0,"0","F2R"
8.61010298919158e-70,2.48028244362116,0.148,0.021,7.75003980160123e-65,"0","LINC01755"
2.40185545851257e-154,2.47297790459173,0.292,0.035,2.16193411676175e-149,"0","CPA6"
3.15275401522764e-63,2.44144968153784,0.142,0.022,2.83782541664655e-58,"0","ADGRE2"
1.68850720085625e-211,2.43424600305058,0.443,0.072,1.51984221656272e-206,"0","NID2"
2.25206649196009e-72,2.35031738109106,0.133,0.014,2.0271075700782e-67,"0","DYNLRB2-AS1"
3.68671706973932e-59,2.34952106303724,0.122,0.016,3.31845090164306e-54,"0","LINC01482"
1.21850938827299e-276,2.33390530034035,0.636,0.146,1.0967924854784e-271,"0","CD248"
2.41516948000688e-128,2.32798507702173,0.339,0.073,2.17391820064899e-123,"0","MMP11"
2.60163027407806e-77,2.31269607420346,0.202,0.04,2.3417534260004e-72,"0","OLFML3"
0,2.30967103049665,0.987,0.56,0,"0","COL1A2"
5.70569463316885e-111,2.3079593786473,0.382,0.117,5.13575279626161e-106,"0","ASPN"
7.34511157220869e-54,2.30754722006801,0.121,0.019,6.61140837726076e-49,"0","SLC1A2"
1.26243416436511e-94,2.29647440053299,0.247,0.05,1.13632961568668e-89,"0","ADAMTS14"
4.07181717893013e-141,2.28345805304912,0.308,0.049,3.6650833609268e-136,"0","LAMA2"
0,2.27447911194835,0.982,0.525,0,"0","COL3A1"
0,2.26425311023831,0.962,0.571,0,"0","COL1A1"
4.24667003242249e-293,2.26085553076197,0.608,0.112,3.8224701628838e-288,"0","GMFG"
3.26006474072344e-99,2.25797811825961,0.211,0.03,2.93441687377257e-94,"0","LCP2"
5.04249639156793e-270,2.25634528734806,0.564,0.099,4.53880142701421e-265,"0","DENND2A"
4.28937883894189e-180,2.25398823423134,0.401,0.068,3.86091278671998e-175,"0","ITGA4"
4.58048267732103e-122,2.24661902146354,0.268,0.041,4.12293826268343e-117,"0","CHST2"
6.53116773623414e-194,2.23879776726041,0.438,0.08,5.87876939106172e-189,"0","TSPAN5"
4.79363607202093e-97,2.23761704975227,0.249,0.049,4.31479976478676e-92,"0","NCAL1"
0,2.23680692207589,0.771,0.158,0,"0","GUCY1A2"
5.59794330547836e-67,2.23558358993908,0.157,0.026,5.03876474869413e-62,"0","WWC1"
6.23765156384333e-272,2.23202481662802,0.709,0.215,5.61457254913102e-267,"0","LOXL2"
1.18877064616551e-30,2.2261798571426,0.117,0.034,1.07002434632004e-25,"0","CCL3"
2.98931245986164e-119,2.2229371350634,0.262,0.041,2.69071003824606e-114,"0","ENC1"
3.49213481905142e-79,2.21883251436644,0.195,0.035,3.14330547197638e-74,"0","KDELR3"
2.18281689976761e-209,2.21807331569058,0.624,0.204,1.96477531964983e-204,"0","IL32"
2.35586453433733e-224,2.21775633092758,0.559,0.133,2.12053722600238e-219,"0","TNFRSF21"
4.22329498126927e-164,2.19872745959131,0.393,0.076,3.80143004559028e-159,"0","LINC01091"
3.46113399885539e-83,2.19621528706876,0.211,0.04,3.11540132370972e-78,"0","BMP8A"
7.90422281390477e-48,2.19539107498857,0.115,0.02,7.11466999702382e-43,"0","PXDNL"
2.25691286948146e-198,2.19498752080499,0.479,0.1,2.03146984294896e-193,"0","OAF"
1.46946176321152e-80,2.18353387149063,0.17,0.023,1.32267722768432e-75,"0","PDE8B.1"
4.41335053900569e-55,2.18188701136755,0.144,0.028,3.97250095366441e-50,"0","CPXM1"
5.58739367046571e-118,2.16318683036011,0.247,0.035,5.02926891672289e-113,"0","TNFRSF19"
2.07468539171892e-46,2.16249707046397,0.114,0.02,1.86744506794012e-41,"0","CASP1"
7.43087855263006e-51,2.16041764101323,0.114,0.017,6.68860809400784e-46,"0","EMID1"
4.39174952588284e-318,2.15584021437303,0.781,0.249,3.9530576657424e-313,"0","CHN1"
1.89819372176274e-43,2.15492165136983,0.1,0.016,1.70858315089586e-38,"0","POGLUT2"
3.4402739167913e-140,2.14503691815827,0.374,0.083,3.09662495524301e-135,"0","PDZD2"
1.23538325123608e-296,2.13822676700651,0.673,0.155,1.11198081827011e-291,"0","EGFL6"
7.42694816022364e-307,2.13246740518461,0.769,0.237,6.6850703084989e-302,"0","PRSS23"
1.01681384910851e-205,2.13204775646385,0.543,0.14,9.15244313721064e-201,"0","ECM1"
5.00995957437552e-89,3.09033771324602,0.177,0.023,4.50951471249115e-84,"1","LINC01348"
1.58712508252154e-130,2.87250797863444,0.31,0.06,1.42858715802847e-125,"1","SERPINE3"
4.78627773264304e-113,2.64197833501484,0.251,0.041,4.30817644992933e-108,"1","NCAPG2"
1.21349452354905e-223,2.59654997301742,0.517,0.109,1.09227855559174e-218,"1","HS3ST2"
