"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.45214914001638e-227,1.79411078547846,0.94,0.367,2.20720396242015e-222,"0","THY1"
8.69281089219132e-213,1.79165012815179,0.934,0.414,7.82448601217033e-208,"0","CCDC102B"
6.39777001405449e-209,2.12300922905689,0.767,0.238,5.75869676735059e-204,"0","CYGB"
5.19666761316443e-205,1.46574108210212,0.999,0.799,4.67757248528544e-200,"0","SPARC"
3.25534817581243e-195,2.06584730750243,0.735,0.219,2.93017144653052e-190,"0","SPON2"
4.73038392313952e-193,1.78323217216622,0.823,0.275,4.25786587305712e-188,"0","COL6A3"
2.97547812890574e-185,1.95031069990431,0.78,0.265,2.67825761860934e-180,"0","GUCY1A2"
6.14416756153173e-183,1.78074115047987,0.777,0.259,5.53042666381033e-178,"0","PLXDC1"
5.68055057432513e-175,1.35380591723665,0.981,0.637,5.1131203774558e-170,"0","COL1A2"
6.36801918856433e-174,2.34617009746619,0.584,0.15,5.73191775181864e-169,"0","PAMR1"
2.54936336414124e-168,1.36270043733639,0.977,0.607,2.29470745769718e-163,"0","COL3A1"
3.06339110309489e-165,2.01478399383949,0.743,0.262,2.75738896580674e-160,"0","PAG1"
7.33963125456982e-160,2.50851667245057,0.523,0.124,6.60647548855084e-155,"0","LAMC3"
3.31043824486085e-158,2.09622965709393,0.609,0.174,2.9797585685817e-153,"0","DENND2A"
4.19281628375211e-146,1.33011443745468,0.95,0.762,3.77399586516811e-141,"0","NDUFA4L2"
1.07023522665477e-145,1.65733661665966,0.804,0.398,9.63329429864223e-141,"0","ARHGDIB"
9.02921876578164e-145,1.39669714362575,0.899,0.45,8.12729010326771e-140,"0","COL5A2"
1.51049490432942e-144,1.6739884770957,0.777,0.344,1.35961156833595e-139,"0","CHN1"
2.35498703536195e-143,1.07786980894403,0.993,0.936,2.11974738039965e-138,"0","TMSB10"
3.33197368384546e-143,1.61369765501756,0.783,0.33,2.99914283256614e-138,"0","UACA"
5.8194606220244e-143,2.20096463850383,0.542,0.151,5.23815470049039e-138,"0","FJX1"
9.97075486813919e-139,1.08920021059433,0.958,0.641,8.97477616436077e-134,"0","COL1A1"
1.67261980766472e-135,1.86093173845719,0.613,0.2,1.50554181507709e-130,"0","RFTN1"
1.74383526346809e-131,1.56986297685736,0.707,0.263,1.56964355900026e-126,"0","ADGRF5"
3.41924090833932e-129,1.24765094120961,0.952,0.742,3.0776929340053e-124,"0","DLC1"
6.10338093989112e-129,1.76569138685327,0.641,0.232,5.4937142178054e-124,"0","CD248"
2.03987201012658e-128,1.3795118058884,0.883,0.504,1.83610919503504e-123,"0","ITGA1"
1.89919265704489e-126,1.92152909125645,0.648,0.25,1.70948230253268e-121,"0","EGFLAM"
2.76820221245054e-125,1.68254025392526,0.601,0.197,2.49168649344885e-120,"0","F2R"
4.88913564396971e-125,1.41105211671674,0.844,0.502,4.40075988449358e-120,"0","MYO1B"
1.00375512100578e-124,2.00502579946766,0.587,0.203,9.03490021968515e-120,"0","TNFRSF21"
1.96926138230605e-123,1.50371666531651,0.808,0.468,1.7725518628275e-118,"0","LGALS3BP"
1.89233145664471e-122,1.39182052191746,0.796,0.426,1.70330646744047e-117,"0","CYBA"
3.2777009567611e-122,1.36740450080824,0.864,0.505,2.95029140819023e-117,"0","IFI27"
8.91861475911927e-121,0.919633426673119,0.979,0.88,8.02773433083085e-116,"0","HLA-B"
3.40766441950693e-120,1.63674680911616,0.645,0.246,3.06727282064238e-115,"0","NREP"
4.73940102125834e-117,1.29155402662415,0.842,0.472,4.26598225324484e-112,"0","CYTOR"
7.56532181143705e-114,3.24557688699583,0.228,0.025,6.8096218156926e-109,"0","LINC02147"
1.24377829968371e-112,1.46997713267691,0.755,0.352,1.11953728532831e-107,"0","HIGD1B"
3.95345558056468e-112,0.783789675631349,0.999,0.99,3.55854490262208e-107,"0","B2M"
1.11758740264335e-111,1.45158439973086,0.77,0.402,1.0059515969933e-106,"0","SEPTIN11"
4.43496821636263e-111,1.01711743453551,0.977,0.846,3.99195924123017e-106,"0","TIMP1"
6.20724998205152e-111,1.4264130696692,0.74,0.336,5.58720778134439e-106,"0","PRSS23"
2.26161508994461e-108,1.24982335714393,0.736,0.311,2.03570235861004e-103,"0","MARCKS"
2.6272252305127e-108,1.56501553909705,0.579,0.205,2.36479170223679e-103,"0","GMFG"
3.04754875005996e-108,1.85734475749002,0.551,0.187,2.74312910541648e-103,"0","NR2F1"
4.71577068005892e-107,2.4464099314228,0.34,0.071,4.24471234682783e-102,"0","LPL"
7.01508785811084e-107,1.37063437729799,0.774,0.408,6.31435073196415e-102,"0","LURAP1L"
2.28999704115936e-104,0.991363437384987,0.94,0.773,2.06124923671796e-99,"0","LHFPL6"
2.31113478266509e-104,1.0957662812473,0.891,0.588,2.08027552922467e-99,"0","MIR4435-2HG"
1.24006577119138e-103,2.33642839798106,0.355,0.079,1.11619560130708e-98,"0","GRM8"
2.83476565022492e-103,1.57654055074309,0.777,0.498,2.55160090942395e-98,"0","COX4I2"
2.5294577695906e-102,1.74160380265036,0.581,0.228,2.27679023298619e-97,"0","FAM13C"
5.23750258879305e-102,2.10434655033364,0.389,0.099,4.71432845519851e-97,"0","MEST"
1.05092019862395e-101,0.936743367003324,0.984,0.94,9.45943779983401e-97,"0","LGALS1"
2.17727756213912e-101,1.23948910944241,0.816,0.443,1.95978930645704e-96,"0","LAMA4"
2.28538127861982e-101,0.940334731351768,0.975,0.83,2.05709454269848e-96,"0","COL4A1"
3.70379689992841e-99,1.38286927848763,0.629,0.255,3.33382462759456e-94,"0","EGFL6"
1.48744179950104e-98,2.24471002090621,0.355,0.084,1.33886123814888e-93,"0","KCNK6"
2.63317742477608e-98,1.65961336213282,0.743,0.434,2.3701493318152e-93,"0","MARCKSL1"
4.0850059167253e-98,1.85241064242049,0.657,0.326,3.67695467570361e-93,"0","FAM162B"
6.35129529842074e-97,1.67807186405869,0.462,0.141,5.71686441106149e-92,"0","ADAM12"
1.10066316480821e-96,0.84361961942666,0.976,0.901,9.90717921275518e-92,"0","HLA-A"
1.87745976050282e-94,2.17944392371952,0.424,0.126,1.6899203050262e-89,"0","PDZD2"
9.87769926490268e-94,2.27090321826773,0.352,0.087,8.89101588533155e-89,"0","LAMA2"
1.01767062556656e-92,1.94758961398917,0.42,0.124,9.16015506778718e-88,"0","ITGA4"
2.55906810345721e-92,1.02074593872545,0.875,0.649,2.30344279060287e-87,"0","PPIB"
6.75806751471327e-92,0.749926256495148,0.977,0.93,6.08300415066856e-87,"0","SERF2"
8.41041419420674e-92,1.80871518691045,0.482,0.167,7.57029792034743e-87,"0","OAF"
2.748950372739e-91,1.44521721921077,0.556,0.212,2.4743577200061e-86,"0","CASC15"
3.21669298937868e-91,1.66127380525844,0.539,0.212,2.89537752666965e-86,"0","ECM1"
2.37919039104118e-90,1.14174278097936,0.797,0.457,2.14153306288008e-85,"0","ANGPT2"
1.7415862835528e-89,1.69485269960063,0.56,0.236,1.56761922968871e-84,"0","TESC"
1.95646443948801e-89,1.89623406544395,0.368,0.098,1.76103320662755e-84,"0","NTM"
1.01880197082221e-88,2.08648659728856,0.419,0.128,9.17033841956775e-84,"0","LINC01091"
2.93477772617472e-88,1.87833418703376,0.442,0.142,2.64162277910712e-83,"0","TSPAN5"
5.11130642758479e-88,1.70787019360815,0.53,0.208,4.60073802853335e-83,"0","APCDD1"
2.28659251355682e-87,1.04558266685019,0.856,0.674,2.05818478737763e-82,"0","RHOC"
7.12227766513553e-87,2.10537357886089,0.371,0.104,6.41083334916515e-82,"0","LIMD2"
7.86321681143675e-87,1.26611173087192,0.728,0.382,7.07776008414234e-82,"0","TFPI"
1.51680330625445e-86,1.08536701804984,0.914,0.776,1.36528982399269e-81,"0","PPP1R14A"
1.62668025098413e-86,2.06081079782505,0.319,0.075,1.46419116071332e-81,"0","CPA6"
