"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.56532181143705e-114,3.24557688699583,0.228,0.025,6.8096218156926e-109,"0","LINC02147"
1.58068172238628e-84,2.92380515976774,0.217,0.034,1.42278742513712e-79,"0","HSD11B2"
5.40423327117443e-49,2.69642584636373,0.154,0.03,4.86440440971682e-44,"0","SLC1A2-AS2"
1.72775113284728e-39,2.58816121552698,0.115,0.021,1.55516607218717e-34,"0","ENSG00000225649"
2.08774327372987e-58,2.54806556224411,0.163,0.028,1.879198598117e-53,"0","LINC01482"
7.33963125456982e-160,2.50851667245057,0.523,0.124,6.60647548855084e-155,"0","LAMC3"
5.90398756375724e-41,2.50730937643251,0.128,0.025,5.31423824601353e-36,"0","ELOVL2"
8.53932539872006e-39,2.46186357174109,0.117,0.022,7.68633218464191e-34,"0","LCN15"
4.71577068005892e-107,2.4464099314228,0.34,0.071,4.24471234682783e-102,"0","LPL"
5.18572003406738e-62,2.43462718465601,0.236,0.057,4.66771845986439e-57,"0","PIEZO2"
4.29677092165513e-37,2.4295028768544,0.138,0.032,3.867566474291e-32,"0","SYT17"
1.66347483055237e-36,2.38741058282241,0.151,0.039,1.49731032972849e-31,"0","KCNK17"
4.42170004013012e-67,2.36446622290921,0.211,0.041,3.98001642312152e-62,"0","RPL29P11"
1.04946176973406e-37,2.35621744463483,0.14,0.033,9.44631033555325e-33,"0","PXDNL"
6.36801918856433e-174,2.34617009746619,0.584,0.15,5.73191775181864e-169,"0","PAMR1"
1.24006577119138e-103,2.33642839798106,0.355,0.079,1.11619560130708e-98,"0","GRM8"
1.44110717082102e-33,2.31244689144502,0.106,0.021,1.29715497552771e-28,"0","LCN1"
6.76846848557124e-78,2.27847306522311,0.307,0.079,6.09236616854753e-73,"0","IQSEC3-AS1"
9.87769926490268e-94,2.27090321826773,0.352,0.087,8.89101588533155e-89,"0","LAMA2"
4.13581162535903e-29,2.26755189337339,0.106,0.024,3.72268540210192e-24,"0","CAMK1G"
4.61619887151072e-66,2.24740601163792,0.248,0.058,4.15508676623552e-61,"0","ACP5"
1.48744179950104e-98,2.24471002090621,0.355,0.084,1.33886123814888e-93,"0","KCNK6"
