"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"0","CNP0000460",197,0.4,"dataset",0.128506196999348
"1","CNP0000460",6,0.4,"dataset",0.00432900432900433
"2","CNP0000460",10,0.4,"dataset",0.0131926121372032
"3","CNP0000460",0,0.4,"dataset",0
"4","CNP0000460",20,0.4,"dataset",0.0851063829787234
"5","CNP0000460",33,0.4,"dataset",0.147321428571429
"6","CNP0000460",15,0.4,"dataset",0.0694444444444444
"7","CNP0000460",6,0.4,"dataset",0.0320855614973262
"8","CNP0000460",2,0.4,"dataset",0.0217391304347826
"9","CNP0000460",13,0.4,"dataset",0.228070175438596
"10","CNP0000460",0,0.4,"dataset",0
"0","GSE326225",119,0.4,"dataset",0.0776255707762557
"1","GSE326225",11,0.4,"dataset",0.00793650793650794
"2","GSE326225",30,0.4,"dataset",0.0395778364116095
"3","GSE326225",4,0.4,"dataset",0.00921658986175115
"4","GSE326225",35,0.4,"dataset",0.148936170212766
"5","GSE326225",29,0.4,"dataset",0.129464285714286
"6","GSE326225",3,0.4,"dataset",0.0138888888888889
"7","GSE326225",13,0.4,"dataset",0.0695187165775401
"8","GSE326225",4,0.4,"dataset",0.0434782608695652
"9","GSE326225",5,0.4,"dataset",0.087719298245614
"10","GSE326225",1,0.4,"dataset",0.0434782608695652
"0","HRA003620",3,0.4,"dataset",0.00195694716242661
"1","HRA003620",29,0.4,"dataset",0.0209235209235209
"2","HRA003620",35,0.4,"dataset",0.0461741424802111
"3","HRA003620",0,0.4,"dataset",0
"4","HRA003620",10,0.4,"dataset",0.0425531914893617
"5","HRA003620",0,0.4,"dataset",0
"6","HRA003620",0,0.4,"dataset",0
"7","HRA003620",11,0.4,"dataset",0.0588235294117647
"8","HRA003620",0,0.4,"dataset",0
"9","HRA003620",0,0.4,"dataset",0
"10","HRA003620",2,0.4,"dataset",0.0869565217391304
"0","InhouseData",86,0.4,"dataset",0.0560991519895629
"1","InhouseData",1,0.4,"dataset",0.000721500721500722
"2","InhouseData",1,0.4,"dataset",0.00131926121372032
"3","InhouseData",430,0.4,"dataset",0.990783410138249
"4","InhouseData",8,0.4,"dataset",0.0340425531914894
"5","InhouseData",4,0.4,"dataset",0.0178571428571429
"6","InhouseData",0,0.4,"dataset",0
"7","InhouseData",28,0.4,"dataset",0.149732620320856
"8","InhouseData",35,0.4,"dataset",0.380434782608696
"9","InhouseData",2,0.4,"dataset",0.0350877192982456
"10","InhouseData",1,0.4,"dataset",0.0434782608695652
"0","PRJNA662018",1128,0.4,"dataset",0.735812133072407
"1","PRJNA662018",1339,0.4,"dataset",0.966089466089466
"2","PRJNA662018",682,0.4,"dataset",0.899736147757256
"3","PRJNA662018",0,0.4,"dataset",0
"4","PRJNA662018",162,0.4,"dataset",0.68936170212766
"5","PRJNA662018",158,0.4,"dataset",0.705357142857143
"6","PRJNA662018",198,0.4,"dataset",0.916666666666667
"7","PRJNA662018",129,0.4,"dataset",0.689839572192513
"8","PRJNA662018",51,0.4,"dataset",0.554347826086957
"9","PRJNA662018",37,0.4,"dataset",0.649122807017544
"10","PRJNA662018",19,0.4,"dataset",0.826086956521739
"0","CNP0000460_P01N",0,0.4,"orig.ident",0
"1","CNP0000460_P01N",3,0.4,"orig.ident",0.00216450216450216
"2","CNP0000460_P01N",2,0.4,"orig.ident",0.00263852242744063
"3","CNP0000460_P01N",0,0.4,"orig.ident",0
"4","CNP0000460_P01N",0,0.4,"orig.ident",0
"5","CNP0000460_P01N",1,0.4,"orig.ident",0.00446428571428571
"6","CNP0000460_P01N",0,0.4,"orig.ident",0
"7","CNP0000460_P01N",1,0.4,"orig.ident",0.0053475935828877
"8","CNP0000460_P01N",1,0.4,"orig.ident",0.0108695652173913
"9","CNP0000460_P01N",0,0.4,"orig.ident",0
"10","CNP0000460_P01N",0,0.4,"orig.ident",0
"0","CNP0000460_P01T",11,0.4,"orig.ident",0.00717547292889759
"1","CNP0000460_P01T",0,0.4,"orig.ident",0
"2","CNP0000460_P01T",0,0.4,"orig.ident",0
"3","CNP0000460_P01T",0,0.4,"orig.ident",0
"4","CNP0000460_P01T",0,0.4,"orig.ident",0
"5","CNP0000460_P01T",1,0.4,"orig.ident",0.00446428571428571
"6","CNP0000460_P01T",0,0.4,"orig.ident",0
"7","CNP0000460_P01T",0,0.4,"orig.ident",0
"8","CNP0000460_P01T",0,0.4,"orig.ident",0
"9","CNP0000460_P01T",0,0.4,"orig.ident",0
"10","CNP0000460_P01T",0,0.4,"orig.ident",0
"0","CNP0000460_P02T",12,0.4,"orig.ident",0.00782778864970646
"1","CNP0000460_P02T",0,0.4,"orig.ident",0
"2","CNP0000460_P02T",0,0.4,"orig.ident",0
"3","CNP0000460_P02T",0,0.4,"orig.ident",0
"4","CNP0000460_P02T",2,0.4,"orig.ident",0.00851063829787234
"5","CNP0000460_P02T",2,0.4,"orig.ident",0.00892857142857143
"6","CNP0000460_P02T",1,0.4,"orig.ident",0.00462962962962963
"7","CNP0000460_P02T",1,0.4,"orig.ident",0.0053475935828877
"8","CNP0000460_P02T",0,0.4,"orig.ident",0
"9","CNP0000460_P02T",0,0.4,"orig.ident",0
"10","CNP0000460_P02T",0,0.4,"orig.ident",0
"0","CNP0000460_P03N",0,0.4,"orig.ident",0
"1","CNP0000460_P03N",1,0.4,"orig.ident",0.000721500721500722
"2","CNP0000460_P03N",1,0.4,"orig.ident",0.00131926121372032
