"cluster","group","n_cells","resolution","field","within_cluster_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag"
"0","CNP0000460",197,0.4,"dataset",0.128506196999348,0.0586977648202138,2.18928603828359,FALSE
"1","CNP0000460",6,0.4,"dataset",0.00432900432900433,0.0586977648202138,0.0737507525586996,FALSE
"2","CNP0000460",10,0.4,"dataset",0.0131926121372032,0.0586977648202138,0.2247549319401,FALSE
"3","CNP0000460",0,0.4,"dataset",0,0.0586977648202138,0,FALSE
"4","CNP0000460",20,0.4,"dataset",0.0851063829787234,0.0586977648202138,1.44990841200507,FALSE
"5","CNP0000460",33,0.4,"dataset",0.147321428571429,0.0586977648202138,2.50983029801325,FALSE
"6","CNP0000460",15,0.4,"dataset",0.0694444444444444,0.0586977648202138,1.18308498896247,FALSE
"7","CNP0000460",6,0.4,"dataset",0.0320855614973262,0.0586977648202138,0.546623224846832,FALSE
"8","CNP0000460",2,0.4,"dataset",0.0217391304347826,0.0586977648202138,0.370357040023035,FALSE
"9","CNP0000460",13,0.4,"dataset",0.228070175438596,0.0586977648202138,3.88550017427675,TRUE
"10","CNP0000460",0,0.4,"dataset",0,0.0586977648202138,0,FALSE
"0","GSE326225",119,0.4,"dataset",0.0776255707762557,0.0493683187560739,1.57237622694423,FALSE
"1","GSE326225",11,0.4,"dataset",0.00793650793650794,0.0493683187560739,0.160761154855643,FALSE
"2","GSE326225",30,0.4,"dataset",0.0395778364116095,0.0493683187560739,0.801684914715476,FALSE
"3","GSE326225",4,0.4,"dataset",0.00921658986175115,0.0493683187560739,0.186690373380747,FALSE
"4","GSE326225",35,0.4,"dataset",0.148936170212766,0.0493683187560739,3.01683699112079,TRUE
"5","GSE326225",29,0.4,"dataset",0.129464285714286,0.0493683187560739,2.62241633858268,FALSE
"6","GSE326225",3,0.4,"dataset",0.0138888888888889,0.0493683187560739,0.281332020997375,FALSE
"7","GSE326225",13,0.4,"dataset",0.0695187165775401,0.0493683187560739,1.40816455429702,FALSE
"8","GSE326225",4,0.4,"dataset",0.0434782608695652,0.0493683187560739,0.880691543991784,FALSE
"9","GSE326225",5,0.4,"dataset",0.087719298245614,0.0493683187560739,1.77683381682553,FALSE
"10","GSE326225",1,0.4,"dataset",0.0434782608695652,0.0493683187560739,0.880691543991784,FALSE
"0","HRA003620",3,0.4,"dataset",0.00195694716242661,0.0174927113702624,0.111872146118721,FALSE
"1","HRA003620",29,0.4,"dataset",0.0209235209235209,0.0174927113702624,1.19612794612795,FALSE
"2","HRA003620",35,0.4,"dataset",0.0461741424802111,0.0174927113702624,2.6396218117854,FALSE
"3","HRA003620",0,0.4,"dataset",0,0.0174927113702624,0,FALSE
"4","HRA003620",10,0.4,"dataset",0.0425531914893617,0.0174927113702624,2.43262411347518,FALSE
"5","HRA003620",0,0.4,"dataset",0,0.0174927113702624,0,FALSE
"6","HRA003620",0,0.4,"dataset",0,0.0174927113702624,0,FALSE
"7","HRA003620",11,0.4,"dataset",0.0588235294117647,0.0174927113702624,3.36274509803922,TRUE
"8","HRA003620",0,0.4,"dataset",0,0.0174927113702624,0,FALSE
"9","HRA003620",0,0.4,"dataset",0,0.0174927113702624,0,FALSE
"10","HRA003620",2,0.4,"dataset",0.0869565217391304,0.0174927113702624,4.97101449275362,TRUE
"0","InhouseData",86,0.4,"dataset",0.0560991519895629,0.115840621963071,0.48427875333272,FALSE
"1","InhouseData",1,0.4,"dataset",0.000721500721500722,0.115840621963071,0.00622839129550539,FALSE
