"resolution","cluster","n_cells","fraction"
0.4,"0",1533,0.297959183673469
0.4,"1",1386,0.269387755102041
0.4,"2",758,0.147327502429543
0.4,"3",434,0.0843537414965986
0.4,"4",235,0.0456754130223518
0.4,"5",224,0.0435374149659864
0.4,"6",216,0.0419825072886297
0.4,"7",187,0.0363459669582119
0.4,"8",92,0.0178814382896016
0.4,"9",57,0.0110787172011662
0.4,"10",23,0.00447035957240039
0.8,"0",1046,0.203304178814383
0.8,"1",914,0.177648202137998
0.8,"2",625,0.121477162293489
0.8,"3",605,0.117589893100097
0.8,"4",470,0.0913508260447036
0.8,"5",434,0.0843537414965986
0.8,"6",287,0.0557823129251701
0.8,"7",235,0.0456754130223518
0.8,"8",229,0.0445092322643343
0.8,"9",185,0.0359572400388727
0.8,"10",92,0.0178814382896016
0.8,"11",23,0.00447035957240039
1.2,"0",755,0.146744412050535
1.2,"1",740,0.143828960155491
1.2,"2",616,0.119727891156463
1.2,"3",602,0.117006802721088
1.2,"4",448,0.0870748299319728
1.2,"5",434,0.0843537414965986
1.2,"6",325,0.0631681243926142
1.2,"7",234,0.0454810495626822
1.2,"8",217,0.0421768707482993
1.2,"9",187,0.0363459669582119
1.2,"10",185,0.0359572400388727
1.2,"11",123,0.0239067055393586
1.2,"12",106,0.0206025267249757
1.2,"13",92,0.0178814382896016
1.2,"14",58,0.0112730806608358
1.2,"15",23,0.00447035957240039
