"from_resolution","to_resolution","parent_cluster","child_cluster","n_cells","fraction_of_parent"
0.4,0.8,"0","0",1046,0.68232224396608
0.4,0.8,"1","1",807,0.582251082251082
0.4,0.8,"2","1",107,0.141160949868074
0.4,0.8,"1","2",1,0.000721500721500722
0.4,0.8,"2","2",624,0.823218997361478
0.4,0.8,"1","3",576,0.415584415584416
0.4,0.8,"2","3",26,0.0343007915567282
0.4,0.8,"7","3",3,0.0160427807486631
0.4,0.8,"0","4",413,0.269406392694064
0.4,0.8,"9","4",57,1
0.4,0.8,"3","5",434,1
0.4,0.8,"0","6",69,0.0450097847358121
0.4,0.8,"1","6",2,0.00144300144300144
0.4,0.8,"6","6",216,1
0.4,0.8,"4","7",235,1
0.4,0.8,"0","8",5,0.00326157860404436
0.4,0.8,"5","8",224,1
0.4,0.8,"2","9",1,0.00131926121372032
0.4,0.8,"7","9",184,0.983957219251337
0.4,0.8,"8","10",92,1
0.4,0.8,"10","11",23,1
0.8,1.2,"0","0",750,0.717017208413002
0.8,1.2,"4","0",3,0.00638297872340425
0.8,1.2,"8","0",2,0.00873362445414847
0.8,1.2,"1","1",727,0.795404814004376
0.8,1.2,"2","1",7,0.0112
0.8,1.2,"3","1",3,0.00495867768595041
0.8,1.2,"7","1",3,0.0127659574468085
0.8,1.2,"1","2",1,0.00109409190371991
0.8,1.2,"2","2",615,0.984
0.8,1.2,"1","3",3,0.00328227571115974
0.8,1.2,"3","3",599,0.990082644628099
0.8,1.2,"0","4",41,0.0391969407265774
0.8,1.2,"4","4",407,0.865957446808511
0.8,1.2,"5","5",434,1
0.8,1.2,"0","6",253,0.241873804971319
0.8,1.2,"4","6",2,0.00425531914893617
0.8,1.2,"6","6",70,0.24390243902439
0.8,1.2,"2","7",3,0.0048
0.8,1.2,"7","7",231,0.982978723404255
0.8,1.2,"0","8",1,0.000956022944550669
0.8,1.2,"1","8",1,0.00109409190371991
0.8,1.2,"6","8",215,0.749128919860627
0.8,1.2,"1","9",182,0.199124726477024
0.8,1.2,"3","9",3,0.00495867768595041
0.8,1.2,"6","9",2,0.00696864111498258
0.8,1.2,"9","10",185,1
0.8,1.2,"7","11",1,0.00425531914893617
0.8,1.2,"8","11",122,0.532751091703057
0.8,1.2,"0","12",1,0.000956022944550669
0.8,1.2,"8","12",105,0.458515283842795
0.8,1.2,"10","13",92,1
0.8,1.2,"4","14",58,0.123404255319149
0.8,1.2,"11","15",23,1
