"program","gene","present"
"Pan_myeloid","LYZ",TRUE
"Pan_myeloid","TYROBP",TRUE
"Pan_myeloid","FCER1G",TRUE
"Pan_myeloid","LST1",TRUE
"Pan_myeloid","CTSS",TRUE
"Pan_myeloid","SPI1",TRUE
"Monocyte","FCN1",TRUE
"Monocyte","CCR2",TRUE
"Monocyte","S100A8",TRUE
"Monocyte","S100A9",TRUE
"Monocyte","S100A12",TRUE
"Monocyte","VCAN",TRUE
"Macrophage","C1QA",TRUE
"Macrophage","C1QB",TRUE
"Macrophage","C1QC",TRUE
"Macrophage","APOE",TRUE
"Macrophage","APOC1",TRUE
"Macrophage","FOLR2",TRUE
"Macrophage","SELENOP",TRUE
"Macrophage","TREM2",TRUE
"Macrophage","GPNMB",TRUE
"Macrophage","SPP1",TRUE
"DC","CD1C",TRUE
"DC","FCER1A",TRUE
"DC","CLEC10A",TRUE
"DC","CLEC9A",TRUE
"DC","XCR1",TRUE
"DC","LAMP3",TRUE
"DC","CCR7",TRUE
"DC","CLEC4C",TRUE
"DC","LILRA4",TRUE
"Neutrophil","FCGR3B",TRUE
"Neutrophil","CXCR2",TRUE
"T_cell_audit","CD3D",TRUE
"T_cell_audit","CD3E",TRUE
"T_cell_audit","TRAC",TRUE
"T_cell_audit","TRBC1",TRUE
"T_cell_audit","TRBC2",TRUE
"T_cell_audit","LCK",TRUE
"T_cell_audit","THEMIS",TRUE
"Epithelial_audit","EPCAM",TRUE
"Epithelial_audit","KRT8",TRUE
"Epithelial_audit","KRT18",TRUE
"Epithelial_audit","KRT19",TRUE
