"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.38837683456568,0.185,0.02,0,"0","ENSG00000287535"
0,3.88158449537299,0.204,0.047,0,"0","GPAT4-AS1"
0,3.41563089210684,0.164,0.026,0,"0","APOBEC3B"
0,3.40744842583512,0.151,0.016,0,"0","ENSG00000301069"
0,3.33962995982684,0.167,0.018,0,"0","MTND5P32"
0,3.31503030384258,0.363,0.044,0,"0","SERPINB2"
0,3.12024210450467,0.685,0.139,0,"0","S100A12"
0,2.97752501178932,0.264,0.045,0,"0","PTX3"
9.61910367641335e-301,2.94543292873266,0.102,0.016,8.65825141017642e-296,"0","ENSG00000296746"
0,2.91449351019742,0.29,0.05,0,"0","ENSG00000287216"
0,2.84735783984874,0.167,0.024,0,"0","ENSG00000310025"
0,2.834222824845,0.18,0.038,0,"0","ENSG00000303426"
0,2.82932540067936,0.22,0.053,0,"0","ENSG00000233461"
0,2.82602655777355,0.526,0.099,0,"0","MCTP2"
0,2.79651722814222,0.16,0.042,0,"0","F3"
0,2.79280785051584,0.937,0.597,0,"0","S100A9"
0,2.78250361009109,0.477,0.108,0,"0","ENSG00000274213"
0,2.7784118745181,0.183,0.032,0,"0","ENSG00000251194"
0,2.75484420660031,0.904,0.398,0,"0","S100A8"
0,2.66977742270944,0.107,0.014,0,"0","VNN3P.1"
0,2.63045508908735,0.362,0.081,0,"0","ENSG00000304732"
9.79969904475125e-249,2.58543888431694,0.101,0.021,8.82080710717105e-244,"0","ENSG00000294841"
1.19048088684966e-303,2.5630760934897,0.126,0.027,1.07156375106225e-298,"0","ENSG00000289424"
3.59208405946315e-252,2.55372782680887,0.132,0.036,3.23327078276337e-247,"0","DNAAF1"
0,2.54691905965845,0.158,0.038,0,"0","ENSG00000299339"
6.81471011896164e-245,2.46326248636132,0.105,0.023,6.13398872517856e-240,"0","ENSG00000261596"
7.7155225077054e-308,2.43709558124851,0.137,0.032,6.94481896441071e-303,"0","ENSG00000303865"
0,2.43629399637074,0.713,0.284,0,"0","NLRP3"
0,2.4313949716721,0.225,0.071,0,"0","IL6"
0,2.39924948601995,0.137,0.028,0,"0","FOLR3"
0,2.38988328661208,0.774,0.381,0,"0","CXCL2"
0,2.3810188550537,0.468,0.099,0,"0","FCAR"
0,2.37733403690311,0.395,0.089,0,"0","LIPN"
