"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.82038373816432,0.103,0.01,0,"0","HP"
0,3.1342665571237,0.764,0.205,0,"0","S100A12"
0,2.91757586304479,0.391,0.059,0,"0","PROK2"
1.01134804494006e-243,2.905411991317,0.207,0.069,9.10324488730996e-239,"0","GPAT4-AS1"
0,2.87354752670753,0.933,0.467,0,"0","S100A8"
0,2.78004231594421,0.948,0.644,0,"0","S100A9"
0,2.73237931578825,0.615,0.147,0,"0","MCTP2"
2.52174215088921e-314,2.60465619781333,0.133,0.023,2.26984532743689e-309,"0","VNN3P.1"
0,2.5947979218986,0.27,0.076,0,"0","CENPU"
0,2.56402187057784,0.38,0.091,0,"0","RBP7"
0,2.50523250845534,0.224,0.042,0,"0","STEAP4"
0,2.50412693755439,0.403,0.084,0,"0","SERPINB2"
1.52629890892329e-293,2.44410568812951,0.167,0.039,1.37383691091094e-288,"0","FOLR3"
2.57141406034535e-319,2.4050487507371,0.151,0.03,2.31455550985745e-314,"0","F5"
0,2.35682014811783,0.257,0.071,0,"0","CLEC4D"
1.32334753099311e-207,2.35592123064396,0.103,0.021,1.19115834612221e-202,"0","NFE2"
0,2.2680040389129,0.218,0.058,0,"0","MIR223HG"
0,2.26074783336504,0.458,0.137,0,"0","MCEMP1"
0,2.21330012412746,0.392,0.107,0,"0","VNN2"
1.03309993227486e-251,2.20630486717109,0.159,0.041,9.29903580039925e-247,"0","MTND5P32"
1.68051014954767e-211,2.18035081230911,0.124,0.03,1.51264399070935e-206,"0","LIN7A"
0,2.12539983695593,0.269,0.076,0,"0","PTX3"
0,2.07590097779008,0.495,0.148,0,"0","FCAR"
0,2.04814992344803,0.406,0.132,0,"0","LIPN"
0,1.99903860868559,0.352,0.102,0,"0","CDA"
2.4795967973458e-112,1.97393109546081,0.111,0.039,2.23190987325893e-107,"0","NAMPT-AS1"
0,1.97095136156816,0.568,0.193,0,"0","TNFAIP6"
3.34086782852388e-217,1.96878192986979,0.355,0.186,3.00714854113263e-212,"0","H1-2"
0,1.94301688883146,0.437,0.149,0,"0","SELL"
0,1.93135060939955,0.789,0.381,0,"0","VCAN"
0,1.92514514102352,0.284,0.09,0,"0","CATIP"
7.46807295618417e-182,1.91845293271885,0.159,0.052,6.72208714859093e-177,"0","DGAT2"
0,1.88090202176245,0.781,0.327,0,"0","FCN1"
0,1.87397132696178,0.502,0.239,0,"0","LILRA5"
0,1.86633186255044,0.232,0.053,0,"0","PADI4"
0,1.84393467312878,0.4,0.147,0,"0","MIR3945HG"
2.83226656060798e-144,1.82830191790235,0.127,0.041,2.54935145386885e-139,"0","NLRP12"
0,1.82733889910584,0.315,0.115,0,"0","CKAP4"
0,1.8249223776846,0.561,0.281,0,"0","DUSP6"
3.46463236073925e-103,1.81585025433055,0.27,0.159,3.118550234225e-98,"0","CXCL1"
0,1.81561300305713,0.683,0.351,0,"0","NLRP3"
1.73393113872603e-109,1.80522032187675,0.147,0.061,1.56072875727869e-104,"0","F3"
0,1.79968852449032,0.728,0.446,0,"0","CXCL2"
2.15404624827647e-115,1.79305849704686,0.113,0.039,1.93887856853613e-110,"0","ADAMTSL4-AS2"
3.68265124641906e-307,1.78720029802714,0.351,0.151,3.31479121341426e-302,"0","GK5"
5.05889430201465e-270,1.7761473251047,0.299,0.123,4.5535613501864e-265,"0","BST1"
3.78270429732923e-233,1.74908175081532,0.164,0.046,3.40484996506901e-228,"0","APOBEC3B"
0,1.72944519163117,0.865,0.503,0,"0","IL1B"
0,1.72884871678532,0.825,0.557,0,"0","CD55"
0,1.68584532361564,0.497,0.276,0,"0","METTL9"
6.21053480769553e-174,1.6569082895233,0.292,0.147,5.59016448575482e-169,"0","HPSE"
