"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"0","CNP0000460",2245,0.4,"dataset",0.233976029181866
"1","CNP0000460",1557,0.4,"dataset",0.168251566889994
"2","CNP0000460",348,0.4,"dataset",0.107473749227918
"3","CNP0000460",1004,0.4,"dataset",0.315723270440252
"4","CNP0000460",10,0.4,"dataset",0.00403551251008878
"5","CNP0000460",0,0.4,"dataset",0
"6","CNP0000460",480,0.4,"dataset",0.344580043072505
"7","CNP0000460",246,0.4,"dataset",0.247983870967742
"8","CNP0000460",83,0.4,"dataset",0.0881104033970276
"9","CNP0000460",226,0.4,"dataset",0.268727705112961
"10","CNP0000460",133,0.4,"dataset",0.175925925925926
"11","CNP0000460",23,0.4,"dataset",0.0442307692307692
"12","CNP0000460",104,0.4,"dataset",0.231111111111111
"13","CNP0000460",19,0.4,"dataset",0.12751677852349
"0","GSE326225",78,0.4,"dataset",0.00812923397602918
"1","GSE326225",466,0.4,"dataset",0.0503566025502485
"2","GSE326225",53,0.4,"dataset",0.0163681284743669
"3","GSE326225",81,0.4,"dataset",0.0254716981132075
"4","GSE326225",26,0.4,"dataset",0.0104923325262308
"5","GSE326225",37,0.4,"dataset",0.0172253258845438
"6","GSE326225",10,0.4,"dataset",0.00717875089734386
"7","GSE326225",26,0.4,"dataset",0.0262096774193548
"8","GSE326225",170,0.4,"dataset",0.180467091295117
"9","GSE326225",48,0.4,"dataset",0.0570749108204518
"10","GSE326225",14,0.4,"dataset",0.0185185185185185
"11","GSE326225",65,0.4,"dataset",0.125
"12","GSE326225",21,0.4,"dataset",0.0466666666666667
"13","GSE326225",3,0.4,"dataset",0.0201342281879195
"0","HRA003620",5840,0.4,"dataset",0.608650338718082
"1","HRA003620",2587,0.4,"dataset",0.279554787119084
"2","HRA003620",2377,0.4,"dataset",0.734095120444719
"3","HRA003620",1231,0.4,"dataset",0.387106918238994
"4","HRA003620",54,0.4,"dataset",0.0217917675544794
"5","HRA003620",0,0.4,"dataset",0
"6","HRA003620",696,0.4,"dataset",0.499641062455133
"7","HRA003620",276,0.4,"dataset",0.278225806451613
"8","HRA003620",162,0.4,"dataset",0.171974522292994
"9","HRA003620",243,0.4,"dataset",0.288941736028537
"10","HRA003620",309,0.4,"dataset",0.408730158730159
"11","HRA003620",131,0.4,"dataset",0.251923076923077
"12","HRA003620",152,0.4,"dataset",0.337777777777778
"13","HRA003620",93,0.4,"dataset",0.624161073825503
"0","InhouseData",592,0.4,"dataset",0.0616988014590933
"1","InhouseData",3159,0.4,"dataset",0.341365895828831
"2","InhouseData",104,0.4,"dataset",0.032118591723286
"3","InhouseData",391,0.4,"dataset",0.122955974842767
"4","InhouseData",2226,0.4,"dataset",0.898305084745763
"5","InhouseData",2111,0.4,"dataset",0.982774674115456
"6","InhouseData",39,0.4,"dataset",0.0279971284996411
"7","InhouseData",279,0.4,"dataset",0.28125
"8","InhouseData",427,0.4,"dataset",0.453290870488323
"9","InhouseData",133,0.4,"dataset",0.158145065398335
"10","InhouseData",118,0.4,"dataset",0.156084656084656
"11","InhouseData",249,0.4,"dataset",0.478846153846154
"12","InhouseData",126,0.4,"dataset",0.28
"13","InhouseData",9,0.4,"dataset",0.0604026845637584
"0","PRJNA662018",840,0.4,"dataset",0.0875455966649297
