"cluster","group","n_cells","resolution","field","within_cluster_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag"
"0","CNP0000460",2245,0.4,"dataset",0.233976029181866,0.180264915405165,1.29795655830187,FALSE
"1","CNP0000460",1557,0.4,"dataset",0.168251566889994,0.180264915405165,0.933357256523434,FALSE
"2","CNP0000460",348,0.4,"dataset",0.107473749227918,0.180264915405165,0.596198927486026,FALSE
"3","CNP0000460",1004,0.4,"dataset",0.315723270440252,0.180264915405165,1.75144048263984,FALSE
"4","CNP0000460",10,0.4,"dataset",0.00403551251008878,0.180264915405165,0.022386566465352,FALSE
"5","CNP0000460",0,0.4,"dataset",0,0.180264915405165,0,FALSE
"6","CNP0000460",480,0.4,"dataset",0.344580043072505,0.180264915405165,1.911520288338,FALSE
"7","CNP0000460",246,0.4,"dataset",0.247983870967742,0.180264915405165,1.3756635361372,FALSE
"8","CNP0000460",83,0.4,"dataset",0.0881104033970276,0.180264915405165,0.488782873799874,FALSE
"9","CNP0000460",226,0.4,"dataset",0.268727705112961,0.180264915405165,1.4907376985087,FALSE
"10","CNP0000460",133,0.4,"dataset",0.175925925925926,0.180264915405165,0.975929928075652,FALSE
"11","CNP0000460",23,0.4,"dataset",0.0442307692307692,0.180264915405165,0.24536537867813,FALSE
"12","CNP0000460",104,0.4,"dataset",0.231111111111111,0.180264915405165,1.28206373709307,FALSE
"13","CNP0000460",19,0.4,"dataset",0.12751677852349,0.180264915405165,0.70738545122262,FALSE
"0","GSE326225",78,0.4,"dataset",0.00812923397602918,0.0305543187889581,0.266058426377582,FALSE
"1","GSE326225",466,0.4,"dataset",0.0503566025502485,0.0305543187889581,1.64810097381214,FALSE
"2","GSE326225",53,0.4,"dataset",0.0163681284743669,0.0305543187889581,0.535705887845946,FALSE
"3","GSE326225",81,0.4,"dataset",0.0254716981132075,0.0305543187889581,0.833652953912774,FALSE
"4","GSE326225",26,0.4,"dataset",0.0104923325262308,0.0305543187889581,0.343399327561595,FALSE
"5","GSE326225",37,0.4,"dataset",0.0172253258845438,0.0305543187889581,0.563760756818729,FALSE
"6","GSE326225",10,0.4,"dataset",0.00717875089734386,0.0305543187889581,0.23495044831234,FALSE
"7","GSE326225",26,0.4,"dataset",0.0262096774193548,0.0305543187889581,0.857805981550032,FALSE
"8","GSE326225",170,0.4,"dataset",0.180467091295117,0.0305543187889581,5.90643478395384,FALSE
"9","GSE326225",48,0.4,"dataset",0.0570749108204518,0.0305543187889581,1.86798178073202,FALSE
"10","GSE326225",14,0.4,"dataset",0.0185185185185185,0.0305543187889581,0.606085137961276,FALSE
"11","GSE326225",65,0.4,"dataset",0.125,0.0305543187889581,4.09107468123862,FALSE
"12","GSE326225",21,0.4,"dataset",0.0466666666666667,0.0305543187889581,1.52733454766242,FALSE
"13","GSE326225",3,0.4,"dataset",0.0201342281879195,0.0305543187889581,0.658965049327025,FALSE
"0","HRA003620",5840,0.4,"dataset",0.608650338718082,0.39378339269813,1.54564755651,FALSE
"1","HRA003620",2587,0.4,"dataset",0.279554787119084,0.39378339269813,0.709920205632916,FALSE
"2","HRA003620",2377,0.4,"dataset",0.734095120444719,0.39378339269813,1.86421046203812,FALSE
"3","HRA003620",1231,0.4,"dataset",0.387106918238994,0.39378339269813,0.983045312263195,FALSE
"4","HRA003620",54,0.4,"dataset",0.0217917675544794,0.39378339269813,0.0553394783999556,FALSE
"5","HRA003620",0,0.4,"dataset",0,0.39378339269813,0,FALSE
"6","HRA003620",696,0.4,"dataset",0.499641062455133,0.39378339269813,1.26882207761908,FALSE
