"resolution","cluster","n_cells","fraction"
0.4,"0",9595,0.267002448797863
0.4,"1",9254,0.257513357079252
0.4,"2",3238,0.0901046304541407
0.4,"3",3180,0.0884906500445236
0.4,"4",2478,0.0689559216384684
0.4,"5",2148,0.0597729296527159
0.4,"6",1393,0.038763357079252
0.4,"7",992,0.0276046304541407
0.4,"8",942,0.026213268032057
0.4,"9",841,0.0234027159394479
0.4,"10",756,0.0210373998219056
0.4,"11",520,0.0144701691896705
0.4,"12",450,0.0125222617987533
0.4,"13",149,0.00414626001780944
0.8,"0",5076,0.141251113089938
0.8,"1",4766,0.132624666073019
0.8,"2",4429,0.123246883348175
0.8,"3",3668,0.102070347284061
0.8,"4",3160,0.0879341050756901
0.8,"5",2492,0.0693455031166518
0.8,"6",2480,0.0690115761353517
0.8,"7",2153,0.0599120658949243
0.8,"8",1422,0.0395703472840606
0.8,"9",1047,0.0291351291184328
0.8,"10",1035,0.0288012021371327
0.8,"11",992,0.0276046304541407
0.8,"12",846,0.0235418521816563
0.8,"13",757,0.0210652270703473
0.8,"14",538,0.0149710596616207
0.8,"15",450,0.0125222617987533
0.8,"16",420,0.0116874443455031
0.8,"17",205,0.00570458593054319
1.2,"0",5098,0.141863312555654
1.2,"1",3682,0.102459928762244
1.2,"2",3153,0.0877393143365984
1.2,"3",2468,0.0686776491540517
1.2,"4",2451,0.0682045859305432
1.2,"5",2353,0.0654775155832591
1.2,"6",2150,0.0598285841495993
1.2,"7",2126,0.0591607301869991
1.2,"8",1835,0.051063000890472
1.2,"9",1507,0.0419356634016028
1.2,"10",1432,0.0398486197684773
1.2,"11",1296,0.0360641139804096
1.2,"12",1083,0.030136910062333
1.2,"13",993,0.0276324577025824
1.2,"14",847,0.023569679430098
1.2,"15",827,0.0230131344612645
1.2,"16",757,0.0210652270703473
1.2,"17",563,0.0156667408726625
1.2,"18",450,0.0125222617987533
1.2,"19",431,0.0119935440783615
1.2,"20",219,0.00609416740872662
1.2,"21",215,0.00598285841495993
