"from_resolution","to_resolution","parent_cluster","child_cluster","n_cells","fraction_of_parent"
0.4,0.8,"0","0",5054,0.526732673267327
0.4,0.8,"4","0",22,0.00887812752219532
0.4,0.8,"1","1",4762,0.514588286146531
0.4,0.8,"6","1",3,0.00215362526920316
0.4,0.8,"9","1",1,0.00118906064209275
0.4,0.8,"0","2",1,0.000104220948410631
0.4,0.8,"1","2",4428,0.478495785606224
0.4,0.8,"0","3",3639,0.379260031266285
0.4,0.8,"1","3",3,0.000324184136589583
0.4,0.8,"2","3",24,0.00741198270537369
0.4,0.8,"3","3",1,0.000314465408805031
0.4,0.8,"6","3",1,0.000717875089734386
0.4,0.8,"1","4",2,0.000216122757726389
0.4,0.8,"3","4",3158,0.993081761006289
0.4,0.8,"0","5",50,0.00521104742053153
0.4,0.8,"1","5",2,0.000216122757726389
0.4,0.8,"2","5",2440,0.753551575046325
0.4,0.8,"0","6",21,0.00218863991662324
0.4,0.8,"4","6",2455,0.990718321226796
0.4,0.8,"8","6",4,0.00424628450106157
0.4,0.8,"1","7",1,0.000108061378863194
0.4,0.8,"3","7",4,0.00125786163522013
0.4,0.8,"5","7",2148,1
0.4,0.8,"1","8",25,0.00270153447157986
0.4,0.8,"2","8",5,0.00154416306361952
0.4,0.8,"3","8",3,0.000943396226415094
0.4,0.8,"6","8",1389,0.997128499641062
0.4,0.8,"0","9",27,0.00281396560708702
0.4,0.8,"1","9",10,0.00108061378863194
0.4,0.8,"2","9",471,0.145460160592959
0.4,0.8,"3","9",1,0.000314465408805031
0.4,0.8,"4","9",1,0.000403551251008878
0.4,0.8,"8","9",537,0.570063694267516
0.4,0.8,"0","10",729,0.0759770713913497
0.4,0.8,"2","10",295,0.0911056207535516
0.4,0.8,"3","10",10,0.00314465408805031
0.4,0.8,"8","10",1,0.00106157112526539
0.4,0.8,"7","11",992,1
0.4,0.8,"1","12",5,0.000540306894315971
0.4,0.8,"8","12",1,0.00106157112526539
0.4,0.8,"9","12",840,0.998810939357907
0.4,0.8,"3","13",1,0.000314465408805031
0.4,0.8,"10","13",756,1
0.4,0.8,"1","14",16,0.00172898206181111
0.4,0.8,"2","14",2,0.000617665225447807
0.4,0.8,"11","14",520,1
0.4,0.8,"12","15",450,1
0.4,0.8,"0","16",19,0.00198019801980198
0.4,0.8,"3","16",2,0.000628930817610063
0.4,0.8,"8","16",399,0.423566878980892
0.4,0.8,"0","17",55,0.00573215216258468
0.4,0.8,"2","17",1,0.000308832612723904
0.4,0.8,"13","17",149,1
0.8,1.2,"0","0",4936,0.972419227738377
0.8,1.2,"3","0",103,0.0280806979280262
0.8,1.2,"5","0",1,0.000401284109149278
0.8,1.2,"6","0",56,0.0225806451612903
0.8,1.2,"9","0",2,0.00191021967526266
0.8,1.2,"1","1",3412,0.715904322282837
0.8,1.2,"2","1",260,0.0587039963874464
0.8,1.2,"5","1",4,0.00160513643659711
0.8,1.2,"8","1",3,0.00210970464135021
0.8,1.2,"14","1",3,0.00557620817843866
0.8,1.2,"3","2",1,0.000272628135223555
0.8,1.2,"4","2",3150,0.996835443037975
0.8,1.2,"5","2",1,0.000401284109149278
0.8,1.2,"16","2",1,0.00238095238095238
0.8,1.2,"0","3",34,0.00669818754925138
0.8,1.2,"3","3",2431,0.662758996728462
0.8,1.2,"4","3",3,0.000949367088607595
0.8,1.2,"0","4",28,0.00551615445232467
0.8,1.2,"3","4",1,0.000272628135223555
0.8,1.2,"6","4",2419,0.975403225806452
0.8,1.2,"9","4",3,0.00286532951289398
0.8,1.2,"1","5",45,0.00944187998321444
0.8,1.2,"2","5",2307,0.520885075637841
0.8,1.2,"14","5",1,0.00185873605947955
0.8,1.2,"0","6",1,0.000197005516154452
0.8,1.2,"7","6",2149,0.998142127264282
0.8,1.2,"0","7",4,0.000788022064617809
0.8,1.2,"3","7",1,0.000272628135223555
0.8,1.2,"5","7",2115,0.848715890850722
0.8,1.2,"8","7",2,0.00140646976090014
0.8,1.2,"9","7",4,0.00382043935052531
0.8,1.2,"1","8",6,0.00125891733109526
0.8,1.2,"2","8",1822,0.411379543915105
0.8,1.2,"3","8",4,0.00109051254089422
0.8,1.2,"7","8",2,0.000928936367858802
0.8,1.2,"8","8",1,0.00070323488045007
0.8,1.2,"0","9",23,0.0045311268715524
0.8,1.2,"3","9",1117,0.304525627044711
0.8,1.2,"4","9",1,0.000316455696202532
0.8,1.2,"5","9",358,0.143659711075441
0.8,1.2,"9","9",2,0.00191021967526266
0.8,1.2,"10","9",6,0.00579710144927536
0.8,1.2,"1","10",15,0.00314729332773815
0.8,1.2,"2","10",2,0.000451569202980357
0.8,1.2,"5","10",1,0.000401284109149278
0.8,1.2,"8","10",1414,0.994374120956399
0.8,1.2,"1","11",1282,0.26898866974402
0.8,1.2,"2","11",13,0.00293519981937232
0.8,1.2,"8","11",1,0.00070323488045007
0.8,1.2,"0","12",34,0.00669818754925138
0.8,1.2,"3","12",7,0.00190839694656489
0.8,1.2,"4","12",4,0.00126582278481013
0.8,1.2,"5","12",6,0.00240770465489567
0.8,1.2,"9","12",3,0.00286532951289398
0.8,1.2,"10","12",1028,0.993236714975845
0.8,1.2,"16","12",1,0.00238095238095238
0.8,1.2,"4","13",1,0.000316455696202532
0.8,1.2,"11","13",992,1
0.8,1.2,"1","14",1,0.000209819555182543
0.8,1.2,"12","14",846,1
0.8,1.2,"0","15",3,0.000591016548463357
0.8,1.2,"2","15",1,0.000225784601490178
0.8,1.2,"5","15",2,0.000802568218298555
0.8,1.2,"6","15",1,0.000403225806451613
0.8,1.2,"7","15",1,0.000464468183929401
0.8,1.2,"9","15",818,0.781279847182426
0.8,1.2,"10","15",1,0.000966183574879227
0.8,1.2,"13","16",757,1
0.8,1.2,"1","17",2,0.000419639110365086
0.8,1.2,"2","17",22,0.00496726123278392
0.8,1.2,"5","17",3,0.00120385232744783
0.8,1.2,"6","17",1,0.000403225806451613
0.8,1.2,"8","17",1,0.00070323488045007
0.8,1.2,"14","17",534,0.992565055762082
0.8,1.2,"15","18",450,1
0.8,1.2,"0","19",8,0.00157604412923562
0.8,1.2,"2","19",1,0.000225784601490178
0.8,1.2,"6","19",3,0.00120967741935484
0.8,1.2,"9","19",1,0.000955109837631328
0.8,1.2,"16","19",418,0.995238095238095
0.8,1.2,"1","20",3,0.000629458665547629
0.8,1.2,"4","20",1,0.000316455696202532
0.8,1.2,"7","20",1,0.000464468183929401
0.8,1.2,"9","20",214,0.204393505253104
0.8,1.2,"0","21",5,0.000985027580772262
0.8,1.2,"2","21",1,0.000225784601490178
0.8,1.2,"3","21",3,0.000817884405670665
0.8,1.2,"5","21",1,0.000401284109149278
0.8,1.2,"17","21",205,1
