"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"0",4936,0,0,34,28,0,1,4,0,23,0,0,34,0,0,3,0,0,0,8,0,5
"1",0,3412,0,0,0,45,0,0,6,0,15,1282,0,0,1,0,0,2,0,0,3,0
"2",0,260,0,0,0,2307,0,0,1822,0,2,13,0,0,0,1,0,22,0,1,0,1
"3",103,0,1,2431,1,0,0,1,4,1117,0,0,7,0,0,0,0,0,0,0,0,3
"4",0,0,3150,3,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,1,0
"5",1,4,1,0,0,0,0,2115,0,358,1,0,6,0,0,2,0,3,0,0,0,1
"6",56,0,0,0,2419,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0
"7",0,0,0,0,0,0,2149,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0
"8",0,3,0,0,0,0,0,2,1,0,1414,1,0,0,0,0,0,1,0,0,0,0
"9",2,0,0,0,3,0,0,4,0,2,0,0,3,0,0,818,0,0,0,1,214,0
"10",0,0,0,0,0,0,0,0,0,6,0,0,1028,0,0,1,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,992,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757,0,0,0,0,0
"14",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,534,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0
"16",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,418,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205
