"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.12712593686354,0.704,0.204,0,"0","GZMK"
0,0.663890001866765,0.98,0.604,0,"0","MT-CO1"
0,0.761663567175344,0.971,0.597,0,"0","RPL13"
0,0.76088440588877,0.966,0.593,0,"0","RPL10"
0,0.922477516885874,0.964,0.593,0,"0","RPL28"
0,0.600328753255743,0.973,0.602,0,"0","MT-CO2"
0,0.871697786523191,0.968,0.598,0,"0","RPS27"
0,0.684898305296588,0.961,0.592,0,"0","RPS18"
0,0.927287029691744,0.95,0.581,0,"0","RPS29"
0,0.488535551679969,0.969,0.6,0,"0","RPLP1"
0,0.781707867247634,0.953,0.586,0,"0","RPS12"
0,0.814682333832342,0.948,0.581,0,"0","RPL41"
0,0.921968242852946,0.953,0.587,0,"0","RPS15A"
0,0.593614680526744,0.93,0.566,0,"0","MT-RNR2"
0,0.635266736652561,0.948,0.585,0,"0","RPS27A"
0,0.918390855887897,0.942,0.579,0,"0","RPLP2"
0,0.535619601574857,0.957,0.595,0,"0","RPS19"
0,0.545549827327958,0.948,0.587,0,"0","RPL32"
0,0.580803907993054,0.948,0.587,0,"0","RPL34"
0,0.796393935253482,0.941,0.58,0,"0","RPS14"
0,0.705156328429556,0.953,0.592,0,"0","MT-CO3"
0,0.713964243154147,0.943,0.583,0,"0","RPS28"
0,0.729036693498473,0.944,0.585,0,"0","RPL39"
0,0.735898056694321,0.94,0.581,0,"0","RPS2"
0,0.787037105018804,0.94,0.581,0,"0","RPS15"
0,0.953422650249292,0.918,0.56,0,"0","RPL23A"
0,0.799464741684775,0.932,0.575,0,"0","RPS3"
0,0.671639580964895,0.934,0.577,0,"0","RPL18A"
0,0.565240961496307,0.949,0.592,0,"0","MT-ATP6"
0,1.03403852009586,0.893,0.537,0,"0","RPL27A"
0,0.607130256757436,0.949,0.593,0,"0","MT-ND4"
0,0.728635293076151,0.927,0.572,0,"0","RPL30"
0,0.736252317031102,0.924,0.571,0,"0","RPS24"
0,0.707156151281322,0.926,0.573,0,"0","RPL26"
0,0.576744654832342,0.933,0.581,0,"0","RPL11"
0,0.645816015044955,0.921,0.569,0,"0","RPS23"
0,0.753293820269861,0.917,0.566,0,"0","RPL35A"
0,0.734384623320678,0.915,0.564,0,"0","RPL3"
0,0.862940050235754,0.908,0.557,0,"0","RPS25"
0,0.655205654261034,0.925,0.575,0,"0","RPL19"
0,0.732556752418541,0.919,0.57,0,"0","RPL36"
0,0.564684127542211,0.922,0.574,0,"0","RPS8"
0,0.590798929224936,0.924,0.576,0,"0","RPS6"
0,0.626081804382567,0.921,0.574,0,"0","RPL21"
0,0.671361898810734,0.922,0.576,0,"0","MT-CYB"
0,0.972745997119067,0.888,0.543,0,"0","RPL13A"
0,0.624981784448448,0.919,0.576,0,"0","MT-ND3"
0,0.569235435275699,0.904,0.563,0,"0","RPS3A"
0,0.729270514384353,0.894,0.553,0,"0","RPS21"
0,0.581741079372873,0.904,0.564,0,"0","RPS4X"
0,0.542249763617828,0.913,0.574,0,"0","RPL37"
0,0.789745594831988,0.89,0.551,0,"0","RPS7"
0,0.753095784866289,0.889,0.55,0,"0","RPL14"
0,0.71856996069268,0.895,0.556,0,"0","RPS16"
0,0.496734296019685,0.909,0.571,0,"0","RPL12"
0,0.656375996712399,0.881,0.547,0,"0","RPL9"
0,0.627159694101691,0.892,0.558,0,"0","RPL18"
0,0.676496067717354,0.889,0.556,0,"0","RPS9"
0,0.672219682313993,0.886,0.556,0,"0","RPL15"
0,0.573570280563758,0.881,0.551,0,"0","RPS13"
0,0.903635650573542,0.866,0.536,0,"0","H3-3B"
0,0.728239190638075,0.887,0.557,0,"0","MT-ND2"
0,0.611409371038873,0.888,0.56,0,"0","RPL35"
0,0.594409480845258,0.883,0.556,0,"0","RPL8"
0,0.817715829077855,0.85,0.524,0,"0","RPL38"
0,0.769992076590585,0.862,0.537,0,"0","RPL7A"
0,0.505090825403177,0.865,0.54,0,"0","MT-RNR1"
0,0.666055516728084,0.856,0.534,0,"0","RPL10A"
0,0.683359743754785,0.862,0.541,0,"0","RPL24"
0,0.693340280008371,0.851,0.53,0,"0","RPS10"
0,0.554975344805614,0.872,0.553,0,"0","RPL29"
0,0.60030511885333,0.86,0.543,0,"0","RPL37A"
0,0.628114010215736,0.857,0.541,0,"0","RPL6"
0,0.749874850406844,0.839,0.523,0,"0","RPL27"
0,1.21845999914636,0.651,0.34,0,"0","AOAH"
0,0.624137712080839,0.83,0.523,0,"0","RPS5"
0,0.629040784970002,0.816,0.516,0,"0","RPL5"
0,0.719529119163519,0.822,0.524,0,"0","MT-ND1"
0,1.98317098541942,0.44,0.148,0,"0","ENSG00000232855"
0,0.63144640901988,0.803,0.515,0,"0","RPS11"
0,0.426876842428953,0.921,0.635,0,"0","CCL5"
0,3.44349772665647,0.326,0.046,0,"0","LINC00987"
0,0.582442329348631,0.776,0.498,0,"0","RPSA"
0,0.729328016621436,0.74,0.463,0,"0","RPL31"
0,0.783808281331482,0.72,0.444,0,"0","RPS20"
0,0.363058912149619,0.753,0.481,0,"0","NKG7"
0,0.561376186678391,0.746,0.48,0,"0","RPLP0"
0,0.680396642159523,0.718,0.456,0,"0","RPL36A"
0,0.858895131970245,0.688,0.43,0,"0","RPL36AL"
0,0.671420250270614,0.715,0.458,0,"0","RPL7"
0,0.672587535833356,0.701,0.456,0,"0","RPS26"
0,0.567455466859839,0.691,0.462,0,"0","RPL23"
0,0.523343324324818,0.694,0.472,0,"0","GZMA"
0,0.744626251232253,0.592,0.378,0,"0","RPL17"
0,0.489009990464865,0.676,0.464,0,"0","MT-ND5"
0,0.534264166585983,0.645,0.434,0,"0","RPL4"
0,0.472397123905016,0.607,0.404,0,"0","CCL4"
0,1.17345172491459,0.521,0.325,0,"0","TC2N"
0,0.897566084048945,0.724,0.528,0,"0","CST7"
0,0.728323818685872,0.524,0.332,0,"0","RPS17"
0,1.33506854062364,0.464,0.274,0,"0","CMC1"
0,0.819292556887969,0.534,0.345,0,"0","CYRIB"
0,1.0320941256438,0.429,0.249,0,"0","RPS27P3"
0,0.802097835074516,0.478,0.302,0,"0","ENSG00000294512"
0,0.675207168629852,0.884,0.712,0,"0","LINC-PINT"
0,0.877509822087341,0.491,0.32,0,"0","H2AZ1"
0,0.737879593740769,0.495,0.325,0,"0","ENSG00000279483"
0,1.58433314052217,0.275,0.106,0,"0","C1orf21"
0,2.34173080565707,0.226,0.059,0,"0","ENSG00000274767"
0,1.32783194650118,0.329,0.166,0,"0","FAM66A"
0,1.50302758060417,0.296,0.138,0,"0","ENSG00000283674"
0,1.38570115518662,0.277,0.125,0,"0","KLRG1"
0,1.1456507055165,0.299,0.147,0,"0","CRTAM"
0,1.39609467326292,0.264,0.121,0,"0","CDC42EP3-AS1"
0,1.6917976240037,0.248,0.107,0,"0","ENSG00000296297"
0,1.68453739038802,0.233,0.092,0,"0","ENSG00000307107"
0,2.02983247532755,0.192,0.052,0,"0","CCL3L3"
0,1.39645789019977,0.244,0.116,0,"0","EPHA4"
0,2.50265563354808,0.164,0.038,0,"0","ENSG00000301019"
0,1.9584029431133,0.172,0.054,0,"0","GPR84-AS1"
0,0.695451293466096,0.776,0.661,0,"0","PITPNC1"
0,1.94471115717008,0.145,0.04,0,"0","PZP"
0,2.34199572485015,0.121,0.03,0,"0","ENSG00000295359"
0,2.02314422388759,0.122,0.037,0,"0","ENSG00000288915"
0,2.31573058702141,0.1,0.02,0,"0","SGCD"
0,1.86370783585451,0.119,0.039,0,"0","AGAP1"
0,0.268829440494292,1,1,0,"0","MALAT1"
1.58101006669199e-322,0.86291284460112,0.477,0.32,1.42308297113013e-317,"0","SAMD3"
2.52073953803938e-313,0.920586392958614,0.313,0.17,2.26894286558463e-308,"0","DTHD1"
8.28650109120593e-306,1.67282869552355,0.137,0.051,7.45876249720537e-301,"0","C2CD5-AS1"
3.85583567396413e-297,1.62649956378479,0.161,0.067,3.47067624849186e-292,"0","ENSG00000300496"
1.33400950135217e-286,1.35882823636916,0.196,0.091,1.2007552922621e-281,"0","EEIG1"
6.46686149889453e-279,0.704833493084524,0.468,0.311,5.82088670376996e-274,"0","RPS4Y1"
4.3719283738284e-274,0.660907144675117,0.37,0.225,3.93521644856668e-269,"0","CCL4L2"
1.87354162632273e-270,0.969292643110597,0.324,0.193,1.68639355326935e-265,"0","LYAR"
9.41381831903395e-269,1.48346214552156,0.169,0.076,8.47347200714565e-264,"0","CASP4LP.1"
1.19295534187344e-268,1.19211890797526,0.225,0.114,1.0737910327737e-263,"0","PLCG2"
3.47048015048582e-263,1.38767151181209,0.191,0.092,3.12381388825379e-258,"0","ENSG00000295475"
2.43801187933334e-262,1.8194705361065,0.122,0.046,2.19447887270673e-257,"0","ENSG00000296331"
5.20760367239977e-257,1.25860777579995,0.195,0.095,4.68741614156376e-252,"0","LINC00869.1"
2.22255860017805e-250,1.26743375390943,0.179,0.083,2.00054722160626e-245,"0","LINC02964"
5.53288894868297e-249,1.52450716506982,0.2,0.101,4.98020867159903e-244,"0","IFNG-AS1"
1.72316744137892e-242,0.841912122739803,0.367,0.234,1.55104024565958e-237,"0","AUTS2"
1.6261133132765e-237,0.562444265935491,0.477,0.321,1.46368085441331e-232,"0","CD8A"
3.2802373689041e-231,1.17259672879248,0.239,0.134,2.95257445812427e-226,"0","ITM2C"
8.37281410545897e-219,0.612044648468349,0.591,0.482,7.53645370446467e-214,"0","ARHGAP26"
