"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.44349772665647,0.326,0.046,0,"0","LINC00987"
0,2.31573058702141,0.1,0.02,0,"0","SGCD"
0,2.12712593686354,0.704,0.204,0,"0","GZMK"
0,2.02983247532755,0.192,0.052,0,"0","CCL3L3"
0,1.9584029431133,0.172,0.054,0,"0","GPR84-AS1"
0,1.94471115717008,0.145,0.04,0,"0","PZP"
0,1.86370783585451,0.119,0.039,0,"0","AGAP1"
8.28650109120593e-306,1.67282869552355,0.137,0.051,7.45876249720537e-301,"0","C2CD5-AS1"
0,1.58433314052217,0.275,0.106,0,"0","C1orf21"
5.53288894868297e-249,1.52450716506982,0.2,0.101,4.98020867159903e-244,"0","IFNG-AS1"
9.41381831903395e-269,1.48346214552156,0.169,0.076,8.47347200714565e-264,"0","CASP4LP.1"
0,1.39645789019977,0.244,0.116,0,"0","EPHA4"
0,1.39609467326292,0.264,0.121,0,"0","CDC42EP3-AS1"
0,1.38570115518662,0.277,0.125,0,"0","KLRG1"
1.24095509858778e-216,1.38555422743655,0.169,0.083,1.11699609378984e-211,"0","FHIP2A"
1.33400950135217e-286,1.35882823636916,0.196,0.091,1.2007552922621e-281,"0","EEIG1"
0,1.33506854062364,0.464,0.274,0,"0","CMC1"
0,1.32783194650118,0.329,0.166,0,"0","FAM66A"
2.54449469776162e-197,1.28642211675828,0.159,0.078,2.29032512240221e-192,"0","LINC01145.1"
2.22255860017805e-250,1.26743375390943,0.179,0.083,2.00054722160626e-245,"0","LINC02964"
3.04479412715366e-182,1.26488250062665,0.155,0.078,2.74064964179228e-177,"0","CARINH"
2.46561908687482e-109,1.26135939484409,0.105,0.054,2.21932839628689e-104,"0","CATSPERB"
5.20760367239977e-257,1.25860777579995,0.195,0.095,4.68741614156376e-252,"0","LINC00869.1"
2.63591691311306e-114,1.23623522105082,0.107,0.054,2.3726151726622e-109,"0","EPHA1-AS1"
0,1.21845999914636,0.651,0.34,0,"0","AOAH"
6.80531415960287e-182,1.2126982750536,0.162,0.083,6.12553132820014e-177,"0","PEBP1P3"
1.19295534187344e-268,1.19211890797526,0.225,0.114,1.0737910327737e-263,"0","PLCG2"
2.43823346863667e-102,1.18708529753827,0.104,0.055,2.19467832745455e-97,"0","ZBTB47-AS1"
0,1.17345172491459,0.521,0.325,0,"0","TC2N"
3.2802373689041e-231,1.17259672879248,0.239,0.134,2.95257445812427e-226,"0","ITM2C"
9.74054476740586e-127,1.14759774322462,0.166,0.097,8.76756175058969e-122,"0","ZC3H12B"
0,1.1456507055165,0.299,0.147,0,"0","CRTAM"
4.50764721694314e-185,1.12565356579289,0.235,0.139,4.05737833644269e-180,"0","TNFSF9"
4.59359375389666e-214,1.1180348847313,0.159,0.075,4.13473967381992e-209,"0","A2M"
1.03789165937522e-190,1.11038681852847,0.182,0.096,9.34216661520234e-186,"0","TPRG1"
5.40669627849767e-181,1.10695299747917,0.2,0.112,4.86662138723854e-176,"0","IRAG2"
1.0376009399018e-208,1.08152132473944,0.18,0.09,9.33954982015006e-204,"0","EOMES"
6.15748293391565e-111,1.07949137760578,0.144,0.083,5.54241196364682e-106,"0","STAG3L5P-PVRIG2P-PILRB"
4.4002287531561e-68,1.0781361786952,0.102,0.061,3.96068990300333e-63,"0","HAPSTR1"
1.75520172398268e-122,1.07372425345444,0.164,0.097,1.57987462377405e-117,"0","RFX3-DT"
4.99257733321721e-98,1.05949513346455,0.123,0.07,4.49386878340214e-93,"0","EP300-AS1"
2.24459321433523e-89,1.05052881787227,0.122,0.071,2.02038079815528e-84,"0","PRKY.1"
2.69594585491786e-140,1.02025523944749,0.18,0.105,2.42664782347011e-135,"0","IFT25"
2.6217919257931e-87,1.01170363285296,0.117,0.067,2.35990113032563e-82,"0","MIR142HG"
2.19666052793967e-116,1.00088565354098,0.164,0.098,1.97723610780378e-111,"0","MIDEAS"
5.10560274874609e-92,1.00053926697854,0.207,0.143,4.59560409017384e-87,"0","CCDC97"
1.70392563734377e-81,0.995636329361588,0.125,0.076,1.5337205054295e-76,"0","TXLNGY.1"
3.01727972240452e-119,0.97693654596668,0.243,0.162,2.71588365093353e-114,"0","SKIC8"
1.87354162632273e-270,0.969292643110597,0.324,0.193,1.68639355326935e-265,"0","LYAR"
1.17819045998992e-125,0.962994206272337,0.197,0.123,1.06050101494153e-120,"0","YARS1"
6.37945484229294e-93,0.95714082550179,0.144,0.087,5.7422110980963e-88,"0","DCTN6-DT"
4.31360385616407e-14,0.951725253065823,0.153,0.134,3.88271796697184e-09,"0","MT1E"
2.93286587699797e-61,0.948256914021204,0.111,0.07,2.63990190454464e-56,"0","MTRFR"
3.31626615219034e-56,0.941593782590857,0.106,0.067,2.98500432624804e-51,"0","FRMD4A"
9.97867237648817e-93,0.935554512806996,0.202,0.137,8.98190279280077e-88,"0","PPP1R13B"
3.10172102113961e-63,0.935305517373793,0.108,0.067,2.79189010833797e-58,"0","MARS1"
9.84926844914822e-88,0.933430539256113,0.153,0.096,8.86542502376281e-83,"0","H2AX"
1.75029086095019e-73,0.933393916851231,0.144,0.093,1.57545430684988e-68,"0","TIPARP-AS1"
1.58406334172895e-113,0.929824231790259,0.182,0.113,1.42583125452364e-108,"0","KCNA3"
5.34001633148887e-123,0.924509750517458,0.24,0.16,4.80660210013645e-118,"0","HLA-DQA1"
6.54280692995881e-125,0.921044150198158,0.203,0.128,5.88924594572522e-120,"0","ANXA2R-OT1"
2.52073953803938e-313,0.920586392958614,0.313,0.17,2.26894286558463e-308,"0","DTHD1"
3.11171495420126e-33,0.919433115794942,0.284,0.25,2.8008857474261e-28,"0","MT1X"
2.7477407001016e-62,0.915489409495137,0.111,0.07,2.47326888156845e-57,"0","HLA-DQA2"
4.40089907424086e-79,0.915428072296576,0.13,0.08,3.96129326571494e-74,"0","RABGEF1P1.1"
1.10015074839424e-96,0.909866514888482,0.176,0.113,9.9025669013714e-92,"0","RRN3P2"
4.11673508647575e-127,0.905490791247034,0.233,0.153,3.70551441868769e-122,"0","ST8SIA1"
0,0.903635650573542,0.866,0.536,0,"0","H3-3B"
0,0.897566084048945,0.724,0.528,0,"0","CST7"
1.18476371814897e-155,0.888078894906749,0.309,0.213,1.06641767034307e-150,"0","TRAT1"
0,0.877509822087341,0.491,0.32,0,"0","H2AZ1"
2.28908809716294e-199,0.868144601568095,0.455,0.357,2.06043108713733e-194,"0","CLDND1"
1.58101006669199e-322,0.86291284460112,0.477,0.32,1.42308297113013e-317,"0","SAMD3"
2.75303259341942e-62,0.862261948379583,0.125,0.081,2.47803216766275e-57,"0","ZNF767P.1"
5.35828686516962e-81,0.848755609914386,0.167,0.11,4.82304759020783e-76,"0","NHERF1"
1.72316744137892e-242,0.841912122739803,0.367,0.234,1.55104024565958e-237,"0","AUTS2"
3.44058038845676e-58,0.824749006707456,0.148,0.102,3.09690081345382e-53,"0","SARS1"
7.16605541834523e-73,0.821894247039778,0.176,0.121,6.45023814260673e-68,"0","YBX3"
0,0.819292556887969,0.534,0.345,0,"0","CYRIB"
8.16986174275835e-74,0.816399544913105,0.209,0.15,7.35377425327422e-69,"0","CYTH3"
2.21723336759609e-135,0.812852209010491,0.235,0.15,1.99575392650692e-130,"0","MIR23AHG"
2.76219858956272e-166,0.811115065773921,0.295,0.194,2.4862825724513e-161,"0","ATOSA"
5.44690691493379e-82,0.804727191530463,0.164,0.106,4.90281538320106e-77,"0","PRR5L"
3.3582957636598e-46,0.804296612872514,0.113,0.077,3.02283559982783e-41,"0","TARS1"
1.12577888916196e-51,0.804132210072315,0.143,0.1,1.01332483592358e-46,"0","ITGA5"
2.97733540733901e-53,0.800646795110073,0.138,0.095,2.67992937349992e-48,"0","AFG2A"
8.05399591101749e-66,0.800124837501642,0.151,0.101,7.24948225946595e-61,"0","PECAM1"
1.75360888869582e-214,0.794207070307047,0.362,0.238,1.57844089680399e-209,"0","ARB2A"
7.99842882292878e-86,0.787118607767681,0.197,0.135,7.19946576780642e-81,"0","HYCC2"
5.34023352390646e-61,0.786619186112057,0.156,0.107,4.80679759720344e-56,"0","ARK2N"
6.20744599601273e-163,0.785845970775501,0.317,0.215,5.58738421547102e-158,"0","MARCHF6"
2.5861160132818e-116,0.782751608779399,0.321,0.241,2.32778888471508e-111,"0","GGA2"
4.30588368581829e-108,0.782268645274282,0.296,0.216,3.8757689644419e-103,"0","MCOLN2"
1.26654703008941e-77,0.78023369735062,0.381,0.321,1.14003164725378e-72,"0","ABLIM1"
3.65842795002866e-47,0.777860612788641,0.11,0.073,3.2929875821003e-42,"0","BIRC6-AS2.1"
1.25931628935993e-85,0.77748930818472,0.192,0.129,1.13352318521576e-80,"0","BRD10"
