"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.44349772665647,0.326,0.046,0,"0","LINC00987"
0,2.50265563354808,0.164,0.038,0,"0","ENSG00000301019"
0,2.34199572485015,0.121,0.03,0,"0","ENSG00000295359"
0,2.34173080565707,0.226,0.059,0,"0","ENSG00000274767"
0,2.31573058702141,0.1,0.02,0,"0","SGCD"
0,2.12712593686354,0.704,0.204,0,"0","GZMK"
0,2.02983247532755,0.192,0.052,0,"0","CCL3L3"
0,2.02314422388759,0.122,0.037,0,"0","ENSG00000288915"
0,1.98317098541942,0.44,0.148,0,"0","ENSG00000232855"
0,1.9584029431133,0.172,0.054,0,"0","GPR84-AS1"
0,1.94471115717008,0.145,0.04,0,"0","PZP"
0,1.86370783585451,0.119,0.039,0,"0","AGAP1"
2.43801187933334e-262,1.8194705361065,0.122,0.046,2.19447887270673e-257,"0","ENSG00000296331"
0,1.6917976240037,0.248,0.107,0,"0","ENSG00000296297"
0,1.68453739038802,0.233,0.092,0,"0","ENSG00000307107"
8.28650109120593e-306,1.67282869552355,0.137,0.051,7.45876249720537e-301,"0","C2CD5-AS1"
3.85583567396413e-297,1.62649956378479,0.161,0.067,3.47067624849186e-292,"0","ENSG00000300496"
0,1.58433314052217,0.275,0.106,0,"0","C1orf21"
5.53288894868297e-249,1.52450716506982,0.2,0.101,4.98020867159903e-244,"0","IFNG-AS1"
0,1.50302758060417,0.296,0.138,0,"0","ENSG00000283674"
9.41381831903395e-269,1.48346214552156,0.169,0.076,8.47347200714565e-264,"0","CASP4LP.1"
0,1.39645789019977,0.244,0.116,0,"0","EPHA4"
0,1.39609467326292,0.264,0.121,0,"0","CDC42EP3-AS1"
3.47048015048582e-263,1.38767151181209,0.191,0.092,3.12381388825379e-258,"0","ENSG00000295475"
0,1.38570115518662,0.277,0.125,0,"0","KLRG1"
1.24095509858778e-216,1.38555422743655,0.169,0.083,1.11699609378984e-211,"0","FHIP2A"
1.33400950135217e-286,1.35882823636916,0.196,0.091,1.2007552922621e-281,"0","EEIG1"
0,1.33506854062364,0.464,0.274,0,"0","CMC1"
0,1.32783194650118,0.329,0.166,0,"0","FAM66A"
1.01913945693368e-126,1.32159660967228,0.107,0.053,9.17337616580575e-122,"0","ENSG00000309856"
3.29770888748846e-211,1.30554865200683,0.149,0.069,2.96830074671724e-206,"0","ENSG00000270240"
2.54449469776162e-197,1.28642211675828,0.159,0.078,2.29032512240221e-192,"0","LINC01145.1"
1.8510220507412e-113,1.27721055494886,0.115,0.061,1.66612345809267e-108,"0","ENSG00000309168"
2.22255860017805e-250,1.26743375390943,0.179,0.083,2.00054722160626e-245,"0","LINC02964"
3.04479412715366e-182,1.26488250062665,0.155,0.078,2.74064964179228e-177,"0","CARINH"
5.92619374637337e-142,1.2627176539784,0.128,0.065,5.33422625304813e-137,"0","ENSG00000290755"
2.46561908687482e-109,1.26135939484409,0.105,0.054,2.21932839628689e-104,"0","CATSPERB"
5.20760367239977e-257,1.25860777579995,0.195,0.095,4.68741614156376e-252,"0","LINC00869.1"
2.63591691311306e-114,1.23623522105082,0.107,0.054,2.3726151726622e-109,"0","EPHA1-AS1"
0,1.21845999914636,0.651,0.34,0,"0","AOAH"
6.80531415960287e-182,1.2126982750536,0.162,0.083,6.12553132820014e-177,"0","PEBP1P3"
1.19295534187344e-268,1.19211890797526,0.225,0.114,1.0737910327737e-263,"0","PLCG2"
6.12091643290205e-103,1.18784493058028,0.108,0.058,5.50949809041947e-98,"0","ENSG00000234915"
2.43823346863667e-102,1.18708529753827,0.104,0.055,2.19467832745455e-97,"0","ZBTB47-AS1"
6.46319385191188e-116,1.17812455975559,0.126,0.069,5.8175854180444e-111,"0","ENSG00000254604"
0,1.17345172491459,0.521,0.325,0,"0","TC2N"
3.2802373689041e-231,1.17259672879248,0.239,0.134,2.95257445812427e-226,"0","ITM2C"
9.74054476740586e-127,1.14759774322462,0.166,0.097,8.76756175058969e-122,"0","ZC3H12B"
0,1.1456507055165,0.299,0.147,0,"0","CRTAM"
3.77187602814766e-131,1.13756961778102,0.132,0.07,3.39510333169599e-126,"0","ENSG00000274265"
2.71246389528972e-109,1.13571205982287,0.122,0.067,2.44151587678923e-104,"0","ENSG00000299729"
3.21279262458076e-84,1.12882897552333,0.107,0.061,2.89186676931139e-79,"0","ENSG00000290832"
4.50764721694314e-185,1.12565356579289,0.235,0.139,4.05737833644269e-180,"0","TNFSF9"
5.70789297983295e-198,1.12044914607377,0.216,0.121,5.13773155007743e-193,"0","ENSG00000261573"
4.59359375389666e-214,1.1180348847313,0.159,0.075,4.13473967381992e-209,"0","A2M"
1.03789165937522e-190,1.11038681852847,0.182,0.096,9.34216661520234e-186,"0","TPRG1"
5.40669627849767e-181,1.10695299747917,0.2,0.112,4.86662138723854e-176,"0","IRAG2"
2.81347881613257e-97,1.10251866994866,0.108,0.059,2.53244041718909e-92,"0","ENSG00000225450"
3.98207090431776e-105,1.09974457133644,0.1,0.051,3.58430184168546e-100,"0","ENSG00000306273"
1.0376009399018e-208,1.08152132473944,0.18,0.09,9.33954982015006e-204,"0","EOMES"
6.15748293391565e-111,1.07949137760578,0.144,0.083,5.54241196364682e-106,"0","STAG3L5P-PVRIG2P-PILRB"
