"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"0","CNP0000460",5520,0.4,"dataset",0.24896265560166
"1","CNP0000460",4323,0.4,"dataset",0.241832624748266
"2","CNP0000460",2664,0.4,"dataset",0.149218618719543
"3","CNP0000460",0,0.4,"dataset",0
"4","CNP0000460",1271,0.4,"dataset",0.112418185034495
"5","CNP0000460",3255,0.4,"dataset",0.293746051800379
"6","CNP0000460",0,0.4,"dataset",0
"7","CNP0000460",0,0.4,"dataset",0
"8","CNP0000460",1152,0.4,"dataset",0.190633791163329
"9","CNP0000460",0,0.4,"dataset",0
"singleton","CNP0000460",0,0.4,"dataset",0
"0","GSE326225",1213,0.4,"dataset",0.0547086415298575
"1","GSE326225",300,0.4,"dataset",0.0167822779145223
"2","GSE326225",1668,0.4,"dataset",0.0934296756847589
"3","GSE326225",3,0.4,"dataset",0.000169185653056621
"4","GSE326225",355,0.4,"dataset",0.0313992570316646
"5","GSE326225",553,0.4,"dataset",0.0499052432090967
"6","GSE326225",3,0.4,"dataset",0.000324569944823109
"7","GSE326225",7,0.4,"dataset",0.000846740050804403
"8","GSE326225",145,0.4,"dataset",0.0239947046169121
"9","GSE326225",0,0.4,"dataset",0
"singleton","GSE326225",0,0.4,"dataset",0
"0","HRA003620",9287,0.4,"dataset",0.418861627277647
"1","HRA003620",8584,0.4,"dataset",0.480196912060864
"2","HRA003620",11332,0.4,"dataset",0.634739259508206
"3","HRA003620",0,0.4,"dataset",0
"4","HRA003620",3482,0.4,"dataset",0.307978064744383
"5","HRA003620",4316,0.4,"dataset",0.389495532894143
"6","HRA003620",0,0.4,"dataset",0
"7","HRA003620",0,0.4,"dataset",0
"8","HRA003620",3628,0.4,"dataset",0.600364057587291
"9","HRA003620",0,0.4,"dataset",0
"singleton","HRA003620",1,0.4,"dataset",1
"0","InhouseData",712,0.4,"dataset",0.0321125744181851
"1","InhouseData",2,0.4,"dataset",0.000111881852763482
"2","InhouseData",13,0.4,"dataset",0.000728168935192965
"3","InhouseData",17729,0.4,"dataset",0.999830814346943
"4","InhouseData",4552,0.4,"dataset",0.402618078896161
"5","InhouseData",244,0.4,"dataset",0.0220196733146828
"6","InhouseData",9240,0.4,"dataset",0.999675430055177
"7","InhouseData",8260,0.4,"dataset",0.999153259949196
"8","InhouseData",41,0.4,"dataset",0.00678470958133377
"9","InhouseData",3172,0.4,"dataset",1
"singleton","InhouseData",0,0.4,"dataset",0
"0","PRJNA662018",5440,0.4,"dataset",0.24535450117265
"1","PRJNA662018",4667,0.4,"dataset",0.261076303423585
"2","PRJNA662018",2176,0.4,"dataset",0.121884277152299
"3","PRJNA662018",0,0.4,"dataset",0
"4","PRJNA662018",1646,0.4,"dataset",0.145586414293296
"5","PRJNA662018",2713,0.4,"dataset",0.244833498781698
"6","PRJNA662018",0,0.4,"dataset",0
"7","PRJNA662018",0,0.4,"dataset",0
"8","PRJNA662018",1077,0.4,"dataset",0.178222737051134
"9","PRJNA662018",0,0.4,"dataset",0
"singleton","PRJNA662018",0,0.4,"dataset",0
"0","CNP0000460_P01N",789,0.4,"orig.ident",0.0355854230561068
"1","CNP0000460_P01N",472,0.4,"orig.ident",0.0264041172521817
"2","CNP0000460_P01N",295,0.4,"orig.ident",0.0165238335293788
"3","CNP0000460_P01N",0,0.4,"orig.ident",0
"4","CNP0000460_P01N",173,0.4,"orig.ident",0.0153016097647267
"5","CNP0000460_P01N",187,0.4,"orig.ident",0.0168757332370725
"6","CNP0000460_P01N",0,0.4,"orig.ident",0
"7","CNP0000460_P01N",0,0.4,"orig.ident",0
"8","CNP0000460_P01N",64,0.4,"orig.ident",0.0105907661757405
"9","CNP0000460_P01N",0,0.4,"orig.ident",0
"singleton","CNP0000460_P01N",0,0.4,"orig.ident",0
"0","CNP0000460_P01T",122,0.4,"orig.ident",0.00550243550423958
"1","CNP0000460_P01T",38,0.4,"orig.ident",0.00212575520250615
"2","CNP0000460_P01T",276,0.4,"orig.ident",0.0154595866240968
"3","CNP0000460_P01T",0,0.4,"orig.ident",0
"4","CNP0000460_P01T",40,0.4,"orig.ident",0.00353794445427207
"5","CNP0000460_P01T",71,0.4,"orig.ident",0.00640736395632163
"6","CNP0000460_P01T",0,0.4,"orig.ident",0
"7","CNP0000460_P01T",0,0.4,"orig.ident",0
"8","CNP0000460_P01T",12,0.4,"orig.ident",0.00198576865795135
"9","CNP0000460_P01T",0,0.4,"orig.ident",0
"singleton","CNP0000460_P01T",0,0.4,"orig.ident",0
"0","CNP0000460_P02N",554,0.4,"orig.ident",0.0249864694208912
"1","CNP0000460_P02N",700,0.4,"orig.ident",0.0391586484672186
"2","CNP0000460_P02N",44,0.4,"orig.ident",0.00246457178065311
"3","CNP0000460_P02N",0,0.4,"orig.ident",0
"4","CNP0000460_P02N",36,0.4,"orig.ident",0.00318415000884486
"5","CNP0000460_P02N",318,0.4,"orig.ident",0.0286977709592997
"6","CNP0000460_P02N",0,0.4,"orig.ident",0
"7","CNP0000460_P02N",0,0.4,"orig.ident",0
"8","CNP0000460_P02N",165,0.4,"orig.ident",0.027304319046831
"9","CNP0000460_P02N",0,0.4,"orig.ident",0
"singleton","CNP0000460_P02N",0,0.4,"orig.ident",0
"0","CNP0000460_P02T",449,0.4,"orig.ident",0.0202507667328162
"1","CNP0000460_P02T",450,0.4,"orig.ident",0.0251734168717834
"2","CNP0000460_P02T",92,0.4,"orig.ident",0.0051531955413656
"3","CNP0000460_P02T",0,0.4,"orig.ident",0
"4","CNP0000460_P02T",65,0.4,"orig.ident",0.00574915973819211
"5","CNP0000460_P02T",569,0.4,"orig.ident",0.0513491562133381
"6","CNP0000460_P02T",0,0.4,"orig.ident",0
"7","CNP0000460_P02T",0,0.4,"orig.ident",0
"8","CNP0000460_P02T",232,0.4,"orig.ident",0.0383915273870594
"9","CNP0000460_P02T",0,0.4,"orig.ident",0
"singleton","CNP0000460_P02T",0,0.4,"orig.ident",0
"0","CNP0000460_P03N",696,0.4,"orig.ident",0.0313909435323832
"1","CNP0000460_P03N",504,0.4,"orig.ident",0.0281942268963974
"2","CNP0000460_P03N",256,0.4,"orig.ident",0.0143393267237999
"3","CNP0000460_P03N",0,0.4,"orig.ident",0
"4","CNP0000460_P03N",191,0.4,"orig.ident",0.0168936847691491
"5","CNP0000460_P03N",361,0.4,"orig.ident",0.0325782871581987
"6","CNP0000460_P03N",0,0.4,"orig.ident",0
"7","CNP0000460_P03N",0,0.4,"orig.ident",0
"8","CNP0000460_P03N",118,0.4,"orig.ident",0.0195267251365216
"9","CNP0000460_P03N",0,0.4,"orig.ident",0
"singleton","CNP0000460_P03N",0,0.4,"orig.ident",0
"0","CNP0000460_P03T",915,0.4,"orig.ident",0.0412682662817969
"1","CNP0000460_P03T",631,0.4,"orig.ident",0.0352987245468785
"2","CNP0000460_P03T",151,0.4,"orig.ident",0.00845796224724136
"3","CNP0000460_P03T",0,0.4,"orig.ident",0
"4","CNP0000460_P03T",173,0.4,"orig.ident",0.0153016097647267
"5","CNP0000460_P03T",232,0.4,"orig.ident",0.0209367385615017
"6","CNP0000460_P03T",0,0.4,"orig.ident",0
"7","CNP0000460_P03T",0,0.4,"orig.ident",0
"8","CNP0000460_P03T",85,0.4,"orig.ident",0.0140658613271554
"9","CNP0000460_P03T",0,0.4,"orig.ident",0
"singleton","CNP0000460_P03T",0,0.4,"orig.ident",0
"0","CNP0000460_P04T",598,0.4,"orig.ident",0.0269709543568465
"1","CNP0000460_P04T",566,0.4,"orig.ident",0.0316625643320653
"2","CNP0000460_P04T",570,0.4,"orig.ident",0.0319274071584608
"3","CNP0000460_P04T",0,0.4,"orig.ident",0
"4","CNP0000460_P04T",148,0.4,"orig.ident",0.0130903944808067
"5","CNP0000460_P04T",367,0.4,"orig.ident",0.0331197545347893
"6","CNP0000460_P04T",0,0.4,"orig.ident",0
"7","CNP0000460_P04T",0,0.4,"orig.ident",0
"8","CNP0000460_P04T",176,0.4,"orig.ident",0.0291246069832864
"9","CNP0000460_P04T",0,0.4,"orig.ident",0
"singleton","CNP0000460_P04T",0,0.4,"orig.ident",0
"0","CNP0000460_P05N",141,0.4,"orig.ident",0.00635937218112935
"1","CNP0000460_P05N",126,0.4,"orig.ident",0.00704855672409935
"2","CNP0000460_P05N",38,0.4,"orig.ident",0.00212849381056405
"3","CNP0000460_P05N",0,0.4,"orig.ident",0
"4","CNP0000460_P05N",35,0.4,"orig.ident",0.00309570139748806
"5","CNP0000460_P05N",55,0.4,"orig.ident",0.00496345095208014
"6","CNP0000460_P05N",0,0.4,"orig.ident",0
"7","CNP0000460_P05N",0,0.4,"orig.ident",0
"8","CNP0000460_P05N",16,0.4,"orig.ident",0.00264769154393513
"9","CNP0000460_P05N",0,0.4,"orig.ident",0
"singleton","CNP0000460_P05N",0,0.4,"orig.ident",0
"0","CNP0000460_P05T",196,0.4,"orig.ident",0.00883997835107343
"1","CNP0000460_P05T",158,0.4,"orig.ident",0.00883866636831506
"2","CNP0000460_P05T",67,0.4,"orig.ident",0.00375287066599451
"3","CNP0000460_P05T",0,0.4,"orig.ident",0
"4","CNP0000460_P05T",38,0.4,"orig.ident",0.00336104723155846
"5","CNP0000460_P05T",243,0.4,"orig.ident",0.0219294287519177
"6","CNP0000460_P05T",0,0.4,"orig.ident",0
"7","CNP0000460_P05T",0,0.4,"orig.ident",0
"8","CNP0000460_P05T",37,0.4,"orig.ident",0.00612278669534999
"9","CNP0000460_P05T",0,0.4,"orig.ident",0
"singleton","CNP0000460_P05T",0,0.4,"orig.ident",0
"0","CNP0000460_P06T",445,0.4,"orig.ident",0.0200703590113657
"1","CNP0000460_P06T",318,0.4,"orig.ident",0.0177892145893936
"2","CNP0000460_P06T",786,0.4,"orig.ident",0.0440262140816669
