"cluster","group","n_cells","resolution","field","within_cluster_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag"
"0","CNP0000460",5520,0.4,"dataset",0.24896265560166,0.1457762172735,1.70784137672173,FALSE
"1","CNP0000460",4323,0.4,"dataset",0.241832624748266,0.1457762172735,1.658930580525,FALSE
"2","CNP0000460",2664,0.4,"dataset",0.149218618719543,0.1457762172735,1.0236142870931,FALSE
"3","CNP0000460",0,0.4,"dataset",0,0.1457762172735,0,FALSE
"4","CNP0000460",1271,0.4,"dataset",0.112418185034495,0.1457762172735,0.771169585389778,FALSE
"5","CNP0000460",3255,0.4,"dataset",0.293746051800379,0.1457762172735,2.01504784041188,FALSE
"6","CNP0000460",0,0.4,"dataset",0,0.1457762172735,0,FALSE
"7","CNP0000460",0,0.4,"dataset",0,0.1457762172735,0,FALSE
"8","CNP0000460",1152,0.4,"dataset",0.190633791163329,0.1457762172735,1.30771531000609,FALSE
"9","CNP0000460",0,0.4,"dataset",0,0.1457762172735,0,FALSE
"singleton","CNP0000460",0,0.4,"dataset",0,0.1457762172735,0,FALSE
"0","GSE326225",1213,0.4,"dataset",0.0547086415298575,0.0340451798053645,1.60694235843739,FALSE
"1","GSE326225",300,0.4,"dataset",0.0167822779145223,0.0340451798053645,0.492941379968212,FALSE
"2","GSE326225",1668,0.4,"dataset",0.0934296756847589,0.0340451798053645,2.74428498304001,FALSE
"3","GSE326225",3,0.4,"dataset",0.000169185653056621,0.0340451798053645,0.00496944513214062,FALSE
"4","GSE326225",355,0.4,"dataset",0.0313992570316646,0.0340451798053645,0.922282014992237,FALSE
"5","GSE326225",553,0.4,"dataset",0.0499052432090967,0.0340451798053645,1.46585341873369,FALSE
"6","GSE326225",3,0.4,"dataset",0.000324569944823109,0.0340451798053645,0.00953350655448637,FALSE
"7","GSE326225",7,0.4,"dataset",0.000846740050804403,0.0340451798053645,0.0248710700206372,FALSE
"8","GSE326225",145,0.4,"dataset",0.0239947046169121,0.0340451798053645,0.70479006878769,FALSE
"9","GSE326225",0,0.4,"dataset",0,0.0340451798053645,0,FALSE
"singleton","GSE326225",0,0.4,"dataset",0,0.0340451798053645,0,FALSE
"0","HRA003620",9287,0.4,"dataset",0.418861627277647,0.325701826110657,1.28602787488007,FALSE
"1","HRA003620",8584,0.4,"dataset",0.480196912060864,0.325701826110657,1.4743451634739,FALSE
"2","HRA003620",11332,0.4,"dataset",0.634739259508206,0.325701826110657,1.94883543358628,FALSE
"3","HRA003620",0,0.4,"dataset",0,0.325701826110657,0,FALSE
"4","HRA003620",3482,0.4,"dataset",0.307978064744383,0.325701826110657,0.945582861545726,FALSE
"5","HRA003620",4316,0.4,"dataset",0.389495532894143,0.325701826110657,1.19586536417457,FALSE
"6","HRA003620",0,0.4,"dataset",0,0.325701826110657,0,FALSE
"7","HRA003620",0,0.4,"dataset",0,0.325701826110657,0,FALSE
"8","HRA003620",3628,0.4,"dataset",0.600364057587291,0.325701826110657,1.8432934956383,FALSE
"9","HRA003620",0,0.4,"dataset",0,0.325701826110657,0,FALSE
"singleton","HRA003620",1,0.4,"dataset",1,0.325701826110657,3.07029288702929,TRUE
"0","InhouseData",712,0.4,"dataset",0.0321125744181851,0.352436150257323,0.0911160061041947,FALSE
"1","InhouseData",2,0.4,"dataset",0.000111881852763482,0.352436150257323,0.000317452828496151,FALSE
"2","InhouseData",13,0.4,"dataset",0.000728168935192965,0.352436150257323,0.00206610171703813,FALSE
"3","InhouseData",17729,0.4,"dataset",0.999830814346943,0.352436150257323,2.83691333484644,FALSE
"4","InhouseData",4552,0.4,"dataset",0.402618078896161,0.352436150257323,1.1423858721706,FALSE
"5","InhouseData",244,0.4,"dataset",0.0220196733146828,0.352436150257323,0.0624784753170344,FALSE
"6","InhouseData",9240,0.4,"dataset",0.999675430055177,0.352436150257323,2.83647244848546,FALSE
"7","InhouseData",8260,0.4,"dataset",0.999153259949196,0.352436150257323,2.83499084648294,FALSE
"8","InhouseData",41,0.4,"dataset",0.00678470958133377,0.352436150257323,0.0192508900587527,FALSE
"9","InhouseData",3172,0.4,"dataset",1,0.352436150257323,2.8373933810986,FALSE
"singleton","InhouseData",0,0.4,"dataset",0,0.352436150257323,0,FALSE
"0","PRJNA662018",5440,0.4,"dataset",0.24535450117265,0.142040626553156,1.72735439941777,FALSE
"1","PRJNA662018",4667,0.4,"dataset",0.261076303423585,0.142040626553156,1.83803964935259,FALSE
"2","PRJNA662018",2176,0.4,"dataset",0.121884277152299,0.142040626553156,0.858094476981812,FALSE
"3","PRJNA662018",0,0.4,"dataset",0,0.142040626553156,0,FALSE
"4","PRJNA662018",1646,0.4,"dataset",0.145586414293296,0.142040626553156,1.02496319416623,FALSE
"5","PRJNA662018",2713,0.4,"dataset",0.244833498781698,0.142040626553156,1.7236864179142,FALSE
"6","PRJNA662018",0,0.4,"dataset",0,0.142040626553156,0,FALSE
"7","PRJNA662018",0,0.4,"dataset",0,0.142040626553156,0,FALSE
"8","PRJNA662018",1077,0.4,"dataset",0.178222737051134,0.142040626553156,1.25473071596482,FALSE
"9","PRJNA662018",0,0.4,"dataset",0,0.142040626553156,0,FALSE
"singleton","PRJNA662018",0,0.4,"dataset",0,0.142040626553156,0,FALSE
"0","CNP0000460",2078,0.8,"dataset",0.14230927270237,0.1457762172735,0.976217351252669,FALSE
"1","CNP0000460",3192,0.8,"dataset",0.276483326115201,0.1457762172735,1.89662848499131,FALSE
"2","CNP0000460",3347,0.8,"dataset",0.294837914023961,0.1457762172735,2.02253782913572,FALSE
"3","CNP0000460",3245,0.8,"dataset",0.294224317707861,0.1457762172735,2.01832866300714,FALSE
"4","CNP0000460",2530,0.8,"dataset",0.238454288407163,0.1457762172735,1.6357557691306,FALSE
"5","CNP0000460",0,0.8,"dataset",0,0.1457762172735,0,FALSE
"6","CNP0000460",0,0.8,"dataset",0,0.1457762172735,0,FALSE
"7","CNP0000460",1345,0.8,"dataset",0.150145121678946,0.1457762172735,1.0299699394535,FALSE
"8","CNP0000460",0,0.8,"dataset",0,0.1457762172735,0,FALSE
"9","CNP0000460",0,0.8,"dataset",0,0.1457762172735,0,FALSE
"10","CNP0000460",654,0.8,"dataset",0.104206500956023,0.1457762172735,0.714838832458622,FALSE
"11","CNP0000460",617,0.8,"dataset",0.122566547477155,0.1457762172735,0.84078562175338,FALSE
"12","CNP0000460",911,0.8,"dataset",0.189791666666667,0.1457762172735,1.30193847951608,FALSE
"13","CNP0000460",0,0.8,"dataset",0,0.1457762172735,0,FALSE
"14","CNP0000460",263,0.8,"dataset",0.192251461988304,0.1457762172735,1.3188122561008,FALSE
"15","CNP0000460",3,0.8,"dataset",0.00397350993377483,0.1457762172735,0.0272576007807905,FALSE
"singleton","CNP0000460",0,0.8,"dataset",0,0.1457762172735,0,FALSE
"0","GSE326225",860,0.8,"dataset",0.0588960416381318,0.0340451798053645,1.72993774668952,FALSE
"1","GSE326225",890,0.8,"dataset",0.0770896491987874,0.0340451798053645,2.26433373650858,FALSE
"2","GSE326225",239,0.8,"dataset",0.0210535588442565,0.0340451798053645,0.618400577251148,FALSE
"3","GSE326225",553,0.8,"dataset",0.050140538580107,0.0340451798053645,1.47276468700589,FALSE
"4","GSE326225",423,0.8,"dataset",0.0398680490103676,0.0340451798053645,1.17103358649572,FALSE
"5","GSE326225",3,0.8,"dataset",0.000324675324675325,0.0340451798053645,0.00953660184882224,FALSE
"6","GSE326225",3,0.8,"dataset",0.000325874429719748,0.0340451798053645,0.00957182284196366,FALSE
"7","GSE326225",36,0.8,"dataset",0.00401875418620228,0.0340451798053645,0.118041796494464,FALSE
"8","GSE326225",0,0.8,"dataset",0,0.0340451798053645,0,FALSE
"9","GSE326225",7,0.8,"dataset",0.000861114528232255,0.0340451798053645,0.0252932877181212,FALSE
"10","GSE326225",212,0.8,"dataset",0.0337794773741236,0.0340451798053645,0.992195593245215,FALSE
"11","GSE326225",143,0.8,"dataset",0.0284068335319825,0.0340451798053645,0.834386356435294,FALSE
"12","GSE326225",112,0.8,"dataset",0.0233333333333333,0.0340451798053645,0.685363786202025,FALSE
"13","GSE326225",0,0.8,"dataset",0,0.0340451798053645,0,FALSE
"14","GSE326225",34,0.8,"dataset",0.0248538011695906,0.0340451798053645,0.73002408304727,FALSE
"15","GSE326225",732,0.8,"dataset",0.96953642384106,0.0340451798053645,28.4779351844777,FALSE
"singleton","GSE326225",0,0.8,"dataset",0,0.0340451798053645,0,FALSE
"0","HRA003620",10024,0.8,"dataset",0.686481303930968,0.325701826110657,2.10769866453784,FALSE
"1","HRA003620",4058,0.8,"dataset",0.351494153313123,0.325701826110657,1.07918999874966,FALSE
"2","HRA003620",4693,0.8,"dataset",0.413407329105003,0.325701826110657,1.26928158199687,FALSE
"3","HRA003620",4285,0.8,"dataset",0.388521171457068,0.325701826110657,1.19287378918492,FALSE
"4","HRA003620",5014,0.8,"dataset",0.472573044297832,0.325701826110657,1.45093765650941,FALSE
"5","HRA003620",0,0.8,"dataset",0,0.325701826110657,0,FALSE
"6","HRA003620",0,0.8,"dataset",0,0.325701826110657,0,FALSE
"7","HRA003620",5358,0.8,"dataset",0.598124581379772,0.325701826110657,1.83641764776769,FALSE
"8","HRA003620",0,0.8,"dataset",0,0.325701826110657,0,FALSE
"9","HRA003620",0,0.8,"dataset",0,0.325701826110657,0,FALSE
"10","HRA003620",1937,0.8,"dataset",0.308636073932441,0.325701826110657,0.947603142475419,FALSE
"11","HRA003620",1548,0.8,"dataset",0.307508939213349,0.325701826110657,0.944142508764668,FALSE
"12","HRA003620",3048,0.8,"dataset",0.635,0.325701826110657,1.9496359832636,FALSE
"13","HRA003620",0,0.8,"dataset",0,0.325701826110657,0,FALSE
"14","HRA003620",652,0.8,"dataset",0.476608187134503,0.325701826110657,1.46332672685899,FALSE
"15","HRA003620",12,0.8,"dataset",0.0158940397350993,0.325701826110657,0.0487993571448364,FALSE
"singleton","HRA003620",1,0.8,"dataset",1,0.325701826110657,3.07029288702929,TRUE
"0","InhouseData",1,0.8,"dataset",6.84837693466648e-05,0.352436150257323,0.00019431539385691,FALSE
"1","InhouseData",715,0.8,"dataset",0.0619315721091382,0.352436150257323,0.175724232783499,FALSE
"2","InhouseData",1,0.8,"dataset",8.80902043692741e-05,0.352436150257323,0.000249946562817002,FALSE
"3","InhouseData",244,0.8,"dataset",0.0221234926103908,0.352436150257323,0.0627730514995066,FALSE
"4","InhouseData",9,0.8,"dataset",0.000848256361922714,0.352436150257323,0.00240683698679429,FALSE
"5","InhouseData",9237,0.8,"dataset",0.999675324675325,0.352436150257323,2.83647214948136,FALSE
"6","InhouseData",9203,0.8,"dataset",0.99967412557028,0.352436150257323,2.83646874714865,FALSE
"7","InhouseData",0,0.8,"dataset",0,0.352436150257323,0,FALSE
"8","InhouseData",8717,0.8,"dataset",1,0.352436150257323,2.8373933810986,FALSE
"9","InhouseData",8122,0.8,"dataset",0.999138885471768,0.352436150257323,2.83495006043583,FALSE
"10","InhouseData",2486,0.8,"dataset",0.396112173358827,0.352436150257323,1.12392605886092,FALSE
"11","InhouseData",2063,0.8,"dataset",0.409813269765594,0.352436150257323,1.16280145911927,FALSE
"12","InhouseData",11,0.8,"dataset",0.00229166666666667,0.352436150257323,0.00650235983168429,FALSE
"13","InhouseData",3124,0.8,"dataset",1,0.352436150257323,2.8373933810986,FALSE
"14","InhouseData",32,0.8,"dataset",0.0233918128654971,0.352436150257323,0.0663717749964585,FALSE
"15","InhouseData",0,0.8,"dataset",0,0.352436150257323,0,FALSE
"singleton","InhouseData",0,0.8,"dataset",0,0.352436150257323,0,FALSE
"0","PRJNA662018",1639,0.8,"dataset",0.112244897959184,0.142040626553156,0.790230940844084,FALSE
"1","PRJNA662018",2690,0.8,"dataset",0.233001299263751,0.142040626553156,1.64038490196714,FALSE
"2","PRJNA662018",3072,0.8,"dataset",0.27061310782241,0.142040626553156,1.90518103439327,FALSE
"3","PRJNA662018",2702,0.8,"dataset",0.244990479644573,0.142040626553156,1.72479160075297,FALSE
"4","PRJNA662018",2634,0.8,"dataset",0.248256361922714,0.142040626553156,1.74778419348783,FALSE
"5","PRJNA662018",0,0.8,"dataset",0,0.142040626553156,0,FALSE
"6","PRJNA662018",0,0.8,"dataset",0,0.142040626553156,0,FALSE
"7","PRJNA662018",2219,0.8,"dataset",0.247711542755079,0.142040626553156,1.74394853617727,FALSE
"8","PRJNA662018",0,0.8,"dataset",0,0.142040626553156,0,FALSE
"9","PRJNA662018",0,0.8,"dataset",0,0.142040626553156,0,FALSE
"10","PRJNA662018",987,0.8,"dataset",0.157265774378585,0.142040626553156,1.10718868393425,FALSE
"11","PRJNA662018",663,0.8,"dataset",0.131704410011919,0.142040626553156,0.927230562184482,FALSE
"12","PRJNA662018",718,0.8,"dataset",0.149583333333333,0.142040626553156,1.05310246063548,FALSE
"13","PRJNA662018",0,0.8,"dataset",0,0.142040626553156,0,FALSE
"14","PRJNA662018",387,0.8,"dataset",0.282894736842105,0.142040626553156,1.99164664157714,FALSE
"15","PRJNA662018",8,0.8,"dataset",0.0105960264900662,0.142040626553156,0.0745985620254981,FALSE
"singleton","PRJNA662018",0,0.8,"dataset",0,0.142040626553156,0,FALSE
"0","CNP0000460",2689,1.2,"dataset",0.240906647554202,0.1457762172735,1.65257853482521,FALSE
"1","CNP0000460",3223,1.2,"dataset",0.294096176658454,0.1457762172735,2.01744963725243,FALSE
"2","CNP0000460",1531,1.2,"dataset",0.157477885208805,0.1457762172735,1.0802714472509,FALSE
"3","CNP0000460",0,1.2,"dataset",0,0.1457762172735,0,FALSE
"4","CNP0000460",0,1.2,"dataset",0,0.1457762172735,0,FALSE
"5","CNP0000460",2534,1.2,"dataset",0.277546549835706,0.1457762172735,1.90392201846605,FALSE
"6","CNP0000460",1726,1.2,"dataset",0.190444665121924,0.1457762172735,1.3064179376024,FALSE
"7","CNP0000460",1082,1.2,"dataset",0.122550685241817,0.1457762172735,0.840676809522995,FALSE
"8","CNP0000460",0,1.2,"dataset",0,0.1457762172735,0,FALSE
"9","CNP0000460",0,1.2,"dataset",0,0.1457762172735,0,FALSE
"10","CNP0000460",657,1.2,"dataset",0.101295097132285,0.1457762172735,0.694867098535277,FALSE
"11","CNP0000460",1588,1.2,"dataset",0.261399176954733,0.1457762172735,1.79315379314793,FALSE
"12","CNP0000460",1749,1.2,"dataset",0.296893566457308,0.1457762172735,2.03663925440106,FALSE
"13","CNP0000460",615,1.2,"dataset",0.127646326276463,0.1457762172735,0.875632038365889,FALSE
"14","CNP0000460",0,1.2,"dataset",0,0.1457762172735,0,FALSE
"15","CNP0000460",489,1.2,"dataset",0.168214654282766,0.1457762172735,1.15392385279944,FALSE
