"resolution","cluster","n_cells","fraction"
0.4,"0",22172,0.177737161913007
0.4,"1",17876,0.14329918394177
0.4,"2",17853,0.143114809292482
0.4,"3",17732,0.142144838311449
0.4,"4",11306,0.0906321645583826
0.4,"5",11081,0.0888284995110064
0.4,"6",9243,0.0740945601462171
0.4,"7",8267,0.0662706619851538
0.4,"8",6043,0.0484424350279768
0.4,"9",3172,0.0254276690234557
0.4,"singleton",1,8.01628909945008e-06
0.8,"0",14602,0.11705385343017
0.8,"1",11545,0.0925480576531512
0.8,"2",11352,0.0910009138569573
0.8,"3",11029,0.088411652477835
0.8,"4",10610,0.0850528273451654
0.8,"5",9240,0.0740705112789188
0.8,"6",9206,0.0737979574495375
0.8,"7",8958,0.0718099177528738
0.8,"8",8717,0.0698779920799064
0.8,"9",8129,0.0651644140894297
0.8,"10",6276,0.0503102303881487
0.8,"11",5034,0.0403539993266317
0.8,"12",4800,0.0384781876773604
0.8,"13",3124,0.0250428871466821
0.8,"14",1368,0.0109662834880477
0.8,"15",755,0.00605229827008481
0.8,"singleton",1,8.01628909945008e-06
1.2,"0",11162,0.0894778189280618
1.2,"1",10959,0.0878505122408735
1.2,"2",9722,0.0779343626248537
1.2,"3",9379,0.0751847754637423
1.2,"4",9225,0.073950266942427
1.2,"5",9130,0.0731887194779793
1.2,"6",9063,0.0726516281083161
1.2,"7",8829,0.0707758164590448
1.2,"8",8644,0.0692928029756465
1.2,"9",7907,0.0633847979093518
1.2,"10",6486,0.0519936510990332
1.2,"11",6075,0.0486989562791593
1.2,"12",5891,0.0472239590848604
1.2,"13",4818,0.0386224808811505
1.2,"14",3268,0.0261972327770029
1.2,"15",2907,0.0233033524121014
1.2,"16",770,0.00617254260657656
1.2,"17",510,0.00408830744071954
1.2,"singleton",1,8.01628909945008e-06
