"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","singleton"
"0",183,8687,85,3,10553,0,0,2495,0,0,0,12,14,0,0,140,0
"1",12,407,11170,10,21,0,0,6136,0,0,2,0,91,0,0,27,0
"2",14401,2429,76,0,25,0,0,311,0,0,6,0,16,0,1,588,0
"3",0,3,0,0,0,0,9013,0,8710,5,0,0,0,1,0,0,0
"4",0,2,1,0,3,0,8,2,1,0,6267,5022,0,0,0,0,0
"5",0,10,12,11009,8,0,0,3,0,0,1,0,36,0,2,0,0
"6",0,0,0,0,0,9240,0,0,1,1,0,0,0,1,0,0,0
"7",0,0,0,0,0,0,181,0,1,8075,0,0,0,10,0,0,0
"8",6,5,8,7,0,0,0,11,0,0,0,0,4643,0,1363,0,0
"9",0,2,0,0,0,0,4,0,4,48,0,0,0,3112,2,0,0
"singleton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
