"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","singleton"
"0",17,0,60,0,0,3,6043,8452,0,0,0,2,5,0,0,14,5,1,0
"1",617,0,17,4,0,7489,2939,31,0,0,1,49,11,1,2,1,15,368,0
"2",4,0,1888,0,0,1028,44,0,0,0,0,2647,5655,1,0,5,1,79,0
"3",0,10942,1,0,0,16,0,0,0,0,0,9,48,0,0,13,0,0,0
"4",10321,3,37,0,0,59,24,23,0,0,0,81,7,4,0,0,0,51,0
"5",0,0,0,0,9223,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"6",0,0,0,9057,1,2,0,0,63,7,0,0,0,0,76,0,0,0,0
"7",193,1,7716,0,0,515,6,316,0,0,1,43,155,0,0,1,0,11,0
"8",0,0,0,127,1,0,0,0,8581,1,0,0,0,0,7,0,0,0,0
"9",0,0,0,189,0,0,0,0,0,7894,0,0,0,0,46,0,0,0,0
"10",0,0,0,0,0,2,0,1,0,0,6246,0,0,27,0,0,0,0,0
"11",9,0,0,2,0,0,0,0,0,0,238,0,0,4785,0,0,0,0,0
"12",1,13,3,0,0,15,4,3,0,0,0,3244,9,0,0,1508,0,0,0
"13",0,0,0,0,0,0,0,0,0,5,0,0,0,0,3119,0,0,0,0
"14",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1365,0,0,0
"15",0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,749,0,0
"singleton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
