"round2_cluster","round3_resolution","round3_cluster","n_cells","fraction_of_round2_cluster"
"11",0.4,"0",1,0.00169779286926995
"11",0.4,"2",40,0.067911714770798
"11",0.4,"3",15,0.0254668930390492
"11",0.4,"4",2,0.0033955857385399
"11",0.4,"5",45,0.0764006791171477
"11",0.4,"6",6,0.0101867572156197
"11",0.4,"7",1,0.00169779286926995
"11",0.4,"8",470,0.797962648556876
"11",0.4,"9",7,0.0118845500848896
"11",0.4,"10",2,0.0033955857385399
"11",0.8,"1",1,0.00169779286926995
"11",0.8,"3",34,0.0577249575551783
"11",0.8,"4",15,0.0254668930390492
"11",0.8,"6",2,0.0033955857385399
"11",0.8,"7",44,0.0747028862478778
"11",0.8,"8",1,0.00169779286926995
"11",0.8,"9",4,0.0067911714770798
"11",0.8,"10",4,0.0067911714770798
"11",0.8,"11",468,0.794567062818336
"11",0.8,"12",5,0.00848896434634975
"11",0.8,"13",10,0.0169779286926995
"11",0.8,"17",1,0.00169779286926995
"11",1.2,"2",33,0.0560271646859083
"11",1.2,"3",15,0.0254668930390492
"11",1.2,"5",1,0.00169779286926995
"11",1.2,"8",1,0.00169779286926995
"11",1.2,"10",4,0.0067911714770798
"11",1.2,"11",1,0.00169779286926995
"11",1.2,"12",4,0.0067911714770798
"11",1.2,"13",470,0.797962648556876
"11",1.2,"14",6,0.0101867572156197
"11",1.2,"15",7,0.0118845500848896
"11",1.2,"16",44,0.0747028862478778
"11",1.2,"17",2,0.0033955857385399
"11",1.2,"20",1,0.00169779286926995
