"round2_cluster","round3_resolution","round3_cluster","n_cells","fraction_of_round2_cluster"
"1",0.4,"0",8687,0.752446946730186
"1",0.4,"1",407,0.0352533564313556
"1",0.4,"2",2429,0.210394110004331
"1",0.4,"3",3,0.000259852750108272
"1",0.4,"4",2,0.000173235166738848
"1",0.4,"5",10,0.00086617583369424
"1",0.4,"8",5,0.00043308791684712
"1",0.4,"9",2,0.000173235166738848
"1",0.8,"1",11545,1
"1",1.2,"0",617,0.0534430489389346
"1",1.2,"2",17,0.00147249891728021
"1",1.2,"3",4,0.000346470333477696
"1",1.2,"5",7489,0.648679081853616
"1",1.2,"6",2939,0.254569077522737
"1",1.2,"7",31,0.00268514508445214
"1",1.2,"10",1,8.6617583369424e-05
"1",1.2,"11",49,0.00424426158510178
"1",1.2,"12",11,0.000952793417063664
"1",1.2,"13",1,8.6617583369424e-05
"1",1.2,"14",2,0.000173235166738848
"1",1.2,"15",1,8.6617583369424e-05
"1",1.2,"16",15,0.00129926375054136
"1",1.2,"17",368,0.031875270679948
