"program","gene","present"
"Fibroblast","COL1A1",TRUE
"Fibroblast","COL1A2",TRUE
"Fibroblast","COL3A1",TRUE
"Fibroblast","DCN",TRUE
"Fibroblast","LUM",TRUE
"Resident","PI16",TRUE
"Resident","DPT",TRUE
"Resident","SFRP2",TRUE
"Resident","OGN",TRUE
"Resident","MFAP5",TRUE
"Resident","CD34",TRUE
"Matrix_CAF","POSTN",TRUE
"Matrix_CAF","COL11A1",TRUE
"Matrix_CAF","MMP11",TRUE
"Matrix_CAF","LRRC15",TRUE
"Matrix_CAF","CTHRC1",TRUE
"Matrix_CAF","FAP",TRUE
"Inflammatory","CXCL12",TRUE
"Inflammatory","CXCL14",TRUE
"Inflammatory","IL6",TRUE
"Inflammatory","IL11",TRUE
"Inflammatory","CCL2",TRUE
"Inflammatory","CCL21",TRUE
"Inflammatory","CCL19",TRUE
"Mural_audit","RGS5",TRUE
"Mural_audit","CSPG4",TRUE
"Mural_audit","KCNJ8",TRUE
"Mural_audit","ABCC9",TRUE
"Mural_audit","ACTA2",TRUE
"Mural_audit","TAGLN",TRUE
"Mural_audit","MYH11",TRUE
"Mural_audit","CNN1",TRUE
"Endothelial_audit","PECAM1",TRUE
"Endothelial_audit","VWF",TRUE
"Endothelial_audit","CDH5",TRUE
"Epithelial_audit","EPCAM",TRUE
"Epithelial_audit","KRT8",TRUE
"Epithelial_audit","KRT18",TRUE
"Epithelial_audit","KRT19",TRUE
"Immune_audit","PTPRC",TRUE
"Immune_audit","LYZ",TRUE
"Immune_audit","CD3D",TRUE
