"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.8478408996958e-290,4.71142395385355,0.12,0.008,3.46348007222518e-285,"0","DUOXA2"
0,4.06719503550983,0.206,0.013,0,"0","WNT10B"
8.00486368648348e-292,3.89433654767212,0.132,0.011,7.20525785284064e-287,"0","KCNB2"
1.06704210639303e-261,3.44881221551121,0.128,0.013,9.60455270385433e-257,"0","KRT24"
4.2390832413179e-321,3.39637825696995,0.183,0.025,3.81564121634265e-316,"0","ADGRG2"
0,3.38115534041498,0.692,0.155,0,"0","C17orf58"
0,3.35861228895199,0.834,0.162,0,"0","CLEC3B"
0,3.34122530912962,0.187,0.017,0,"0","DACT2"
0,3.31542044323832,0.162,0.015,0,"0","DUOX2"
2.08678307155125e-241,3.21134309875316,0.123,0.013,1.87833431053399e-236,"0","KCNAB1"
0,3.20452070949538,0.977,0.289,0,"0","MFAP5"
1.44271748539469e-212,3.05407041193442,0.112,0.013,1.29860443577862e-207,"0","FAM180B"
2.16962741479859e-246,3.01972970948962,0.128,0.015,1.95290333233436e-241,"0","CD70"
2.25637662410814e-197,2.90821772182793,0.11,0.014,2.03098716312598e-192,"0","WT1"
0,2.87495285716226,0.948,0.268,0,"0","PCOLCE2"
3.86036690712337e-279,2.84990898518203,0.186,0.033,3.47475485677082e-274,"0","FABP3"
0,2.72591189438819,0.321,0.051,0,"0","LINC02511"
0,2.70509645956805,0.518,0.094,0,"0","TRAC"
2.15071592045339e-192,2.67740284131538,0.115,0.017,1.9358809071593e-187,"0","TNFRSF8"
0,2.64553924138937,0.585,0.121,0,"0","LINC01133"
6.70200454636816e-227,2.6345764344125,0.137,0.02,6.03254131223144e-222,"0","KRT222"
0,2.6316327982779,0.656,0.226,0,"0","PROCR"
1.06480597559358e-275,2.62426574496149,0.177,0.029,9.58442506691541e-271,"0","WDR86-AS1"
0,2.57202627493321,0.519,0.137,0,"0","RAMP2"
2.47718835012428e-181,2.47460042936376,0.119,0.02,2.22974200583036e-176,"0","KLHL4"
0,2.44959071208491,0.536,0.113,0,"0","CADM3"
0,2.43717633930531,0.732,0.195,0,"0","HAS1"
0,2.43158494333105,0.96,0.381,0,"0","SEMA3C"
0,2.40242715587088,0.994,0.641,0,"0","IGFBP6"
0,2.39037142461981,0.547,0.193,0,"0","GNPNAT1"
0,2.3874194189509,0.837,0.244,0,"0","CD34"
3.79174426826252e-149,2.38458888489801,0.104,0.019,3.41298693330578e-144,"0","CERS1"
0,2.35168179771497,0.358,0.084,0,"0","ABRAXAS1P1"
0,2.34872008914169,0.532,0.116,0,"0","C1QTNF3"
0,2.33132593878931,0.934,0.289,0,"0","PI16"
0,2.3167448529222,0.492,0.126,0,"0","HSD3B7"
0,2.29376251517134,0.827,0.336,0,"0","HTRA3"
2.62710061996864e-153,2.25101317826196,0.111,0.021,2.36467953903997e-148,"0","ANGPTL5"
0,2.24042151058117,0.288,0.074,0,"0","LRRC8C"
1.36126721373634e-210,2.22484382347894,0.203,0.054,1.22529023175622e-205,"0","WNT11"
0,2.18730925984341,0.956,0.584,0,"0","FBN1"
1.13059638634567e-184,2.17582416747144,0.161,0.038,1.0176611133136e-179,"0","CISH"
2.21688626830945e-212,2.1243459374093,0.144,0.025,1.99544149896802e-207,"0","CYP4B1"
0,2.08712171462845,0.375,0.089,0,"0","LRRC17"
0,2.06882343314256,0.725,0.184,0,"0","VIT"
0,2.06328577550225,0.946,0.514,0,"0","CD55"
0,2.05606629421523,0.322,0.092,0,"0","FLNC"
0,2.05292556607836,0.683,0.22,0,"0","DBN1"
0,2.04224891095517,0.661,0.256,0,"0","F10"
0,2.03588660318185,0.899,0.426,0,"0","ACKR3"
6.23810299715223e-226,2.96485358122286,0.152,0.026,5.61497888876669e-221,"1","SPINK13"
1.98936383041958e-243,2.71903527905874,0.204,0.046,1.79064627739897e-238,"1","FBXO38-DT"
5.84923053150269e-188,2.58850811076024,0.154,0.033,5.26495089371089e-183,"1","MARCOL"
6.61474617499802e-290,2.29283026783888,0.216,0.043,5.95399917957747e-285,"1","ERG"
0,2.26741115140543,0.307,0.077,0,"1","CHRDL2"
3.31673885926073e-202,2.10689008976682,0.246,0.077,2.98542981460918e-197,"1","BMP6"
3.28198358219107e-125,2.09158524491345,0.132,0.036,2.95414624216601e-120,"1","CCL13"
1.93941615311375e-158,1.98092092533534,0.168,0.046,1.74568787357922e-153,"1","MAP3K4-AS1"
2.28046430760295e-208,1.91837201616485,0.237,0.071,2.0526687279165e-203,"1","CSF3"
3.41336383247864e-132,1.85735104583352,0.154,0.045,3.07240291925235e-127,"1","PCDH11Y"
1.54693098502209e-240,1.82198486428275,0.323,0.112,1.39240804892823e-235,"1","LINC01239"
6.95842816780607e-235,1.81198249855014,0.355,0.136,6.26335077812393e-230,"1","CCL11"
0,1.79489625462615,0.839,0.457,0,"1","SERPINE2"
3.8428525678718e-115,1.77520157450963,0.165,0.056,3.45899002486709e-110,"1","CHRM2"
0,1.73855636274031,0.691,0.231,0,"1","C7"
3.52485843478356e-169,1.71364848558968,0.224,0.073,3.17276032573303e-164,"1","SCN7A"
1.41047529864786e-168,1.68265369686929,0.224,0.074,1.26958292106593e-163,"1","LINGO2"
2.18807578286342e-143,1.66328362186494,0.175,0.054,1.96950889291319e-138,"1","SNCA"
6.62258402623859e-84,1.65779804022411,0.128,0.045,5.96105410785762e-79,"1","KCNIP1"
4.56211810844189e-186,1.63357653358635,0.248,0.083,4.10640813058963e-181,"1","DNAJC12"
1.33670753969587e-119,1.62977347105331,0.222,0.09,1.20318382355565e-114,"1","GNA14"
9.67903223024583e-304,1.62385528381201,0.414,0.151,8.71219370076657e-299,"1","COBL"
3.79658172811019e-124,1.61791646507981,0.178,0.06,3.41734117928926e-119,"1","LINC02456"
6.37376303336542e-318,1.60467623610951,0.45,0.173,5.73708784396255e-313,"1","LIF"
7.0111052982568e-312,1.5419542033347,0.623,0.331,6.31076599001393e-307,"1","SLC2A13"
7.60006226443563e-138,1.53584315533081,0.312,0.146,6.84089204484116e-133,"1","STK32B"
6.19163587159159e-156,1.52678834994398,0.244,0.089,5.57315336437831e-151,"1","BMPER"
1.57102933456225e-189,1.5133583574356,0.468,0.24,1.41409921433283e-184,"1","IL33"
2.67583465413788e-146,1.50288468837069,0.394,0.201,2.40854553053604e-141,"1","ITGB8"
0,1.49392073982715,0.819,0.374,0,"1","SFRP1"
2.14715507438935e-85,1.49309066595928,0.165,0.068,1.93267575400859e-80,"1","COMP"
1.27940422171013e-70,1.48730978259996,0.143,0.059,1.15160453400351e-65,"1","NPR3"
1.94107060326098e-293,1.48230712770224,0.557,0.265,1.74717706070124e-288,"1","CFAP69"
4.02889575085561e-36,1.46401994032412,0.157,0.091,3.62644935430264e-31,"1","CEMIP"
1.595546152781e-95,1.45757279080456,0.124,0.039,1.43616704757971e-90,"1","REDIC1"
0,1.44030481883159,0.653,0.283,0,"1","MATN2"
0,1.43365837775452,0.831,0.394,0,"1","IGF1"
2.41017241418357e-90,1.42588348555165,0.159,0.061,2.16942029173077e-85,"1","MUSK"
3.23513597123307e-124,1.41462712825014,0.197,0.072,2.9119782390666e-119,"1","GALNT13"
6.75615689191705e-50,1.40276820342386,0.1,0.041,6.08128437998345e-45,"1","DNER"
7.48035022956629e-75,1.39570918129438,0.19,0.09,6.73313804513491e-70,"1","COL4A3"
3.40248099533185e-85,1.39281399705846,0.112,0.035,3.06260716870815e-80,"1","PCSK1"
2.76400220354234e-126,1.385830210317,0.173,0.057,2.48790602343049e-121,"1","KCNN3"
0,1.37867224452497,0.709,0.334,0,"1","STEAP2"
1.59263160401799e-125,1.37807035915176,0.263,0.115,1.43354363309263e-120,"1","TFPI2"
2.65831728062899e-166,1.37115229006841,0.242,0.083,2.39277796746696e-161,"1","TRHDE"
4.31704888587644e-62,1.35105098404146,0.317,0.197,3.88581887266624e-57,"1","APBB1IP"
2.91409210190502e-261,1.34632904313485,0.589,0.327,2.62300344184573e-256,"1","PTGDS"
1.39421088992769e-146,1.34392088462815,0.383,0.193,1.25494316413282e-141,"1","COL4A4"
5.62898784946288e-121,1.31829976907439,0.234,0.097,5.06670825318003e-116,"1","THBS1-IT1"
0,4.98319722937306,0.767,0.057,0,"2","NRG1"
0,4.61916405247602,0.592,0.052,0,"2","STC1"
0,4.45225997167047,0.221,0.008,0,"2","FAM135B"
0,4.44240263270182,0.224,0.01,0,"2","GALNTL6"
0,4.4013701178795,0.478,0.103,0,"2","AREG"
0,4.31421405576823,0.139,0.008,0,"2","NPFFR2"
0,4.22943732791459,0.173,0.005,0,"2","TACR3"
0,3.97860255402204,0.526,0.041,0,"2","SLC14A1"
1.32595673623501e-227,3.94973560553916,0.116,0.01,1.1935069178525e-222,"2","MTUS2"
0,3.94221842800427,0.231,0.02,0,"2","RBFOX1"
2.18134311126252e-288,3.88161056099695,0.125,0.008,1.9634487478785e-283,"2","TNFSF11"
1.88361710626508e-240,3.78746578241372,0.123,0.011,1.69546259352026e-235,"2","LRRTM4"
0,3.7245547155748,0.222,0.019,0,"2","C1QL1"
0,3.65085074660884,0.707,0.082,0,"2","TRPA1"
0,3.64146384494699,0.156,0.012,0,"2","NSG1"
8.80360700984966e-291,3.60810565842909,0.128,0.008,7.92421470563578e-286,"2","SMOC1"
3.06299952139533e-308,3.58433056358792,0.149,0.012,2.75703649920315e-303,"2","MCOLN3"
0,3.58358331311348,0.296,0.022,0,"2","ATRNL1"
0,3.53565430405291,0.23,0.026,0,"2","WNT4"
0,3.53435809402208,0.624,0.068,0,"2","HSD17B2"
9.24136502946946e-314,3.461983117672,0.137,0.009,8.31824507667576e-309,"2","LRRC3B"
4.82111012726022e-292,3.46038346477378,0.148,0.013,4.33952943664819e-287,"2","ALKAL2"
0,3.44872646973459,0.384,0.05,0,"2","ALDH1A2"
1.54142019140125e-139,3.41673350473948,0.17,0.044,1.38744772848218e-134,"2","TNFRSF11B"
0,3.38681474834558,0.689,0.106,0,"2","NALF1"
0,3.36309004638389,0.425,0.063,0,"2","EMID1"
3.62070609721273e-138,3.35191881134312,0.157,0.038,3.25903376516215e-133,"2","DEFB1"
0,3.34227811273099,0.553,0.073,0,"2","AFF3"
0,3.25898643317678,0.356,0.051,0,"2","TSPAN13"
0,3.23008375389445,0.636,0.101,0,"2","BMP5"
0,3.21775119602862,0.308,0.057,0,"2","ENPP2"
0,3.19887613012483,0.295,0.036,0,"2","BMP7"
8.42426081392683e-158,3.11004247310978,0.124,0.02,7.58276140122367e-153,"2","GPR85"
1.64278977413078e-186,3.09922984599065,0.178,0.037,1.47869150359286e-181,"2","RBP4"
3.58333789930979e-203,3.09687931000348,0.125,0.015,3.22539827654774e-198,"2","GDNF"
0,3.0854471865568,0.567,0.078,0,"2","SOX6"
4.75901763820193e-109,3.07434511481327,0.164,0.049,4.28363936632194e-104,"2","CXCL6"
0,3.06874416786126,0.39,0.053,0,"2","NDNF"
0,3.02393418836133,0.286,0.036,0,"2","EFCC1"
0,2.96427345794793,0.303,0.058,0,"2","MITA1"
0,2.94302090661757,0.461,0.07,0,"2","WNT5A"
0,2.93590257820647,0.28,0.046,0,"2","PTGER2"
0,2.93078145635546,0.304,0.04,0,"2","TENM2"
0,2.92904864004463,0.239,0.031,0,"2","TBXAS1"
0,2.92047446731882,0.29,0.053,0,"2","ITGA2"
0,2.91797273834008,0.341,0.055,0,"2","SORCS1"
2.02592892301328e-252,2.90983411547352,0.161,0.02,1.82355888289348e-247,"2","COL4A6"
3.40351378346265e-198,2.90943451898258,0.125,0.015,3.06353679163257e-193,"2","SALL1"
0,2.90039205794733,0.217,0.022,0,"2","TSPAN33"
3.24621188058322e-222,2.87570660886705,0.134,0.015,2.92194777583176e-217,"2","SLC27A6"
0,6.98087028159121,0.334,0.022,0,"3","CCL21"
0,6.79613512131685,0.154,0.006,0,"3","CFHR1"
0,6.79028687799798,0.357,0.004,0,"3","FHL5"
0,6.33299011209248,0.291,0.007,0,"3","DGKG"
0,5.81750476438704,0.455,0.015,0,"3","LGI4"
0,5.7195437092681,0.111,0.003,0,"3","SLC6A1"
0,5.66995107351594,0.225,0.027,0,"3","CCL19"
0,5.66914981202967,0.174,0.006,0,"3","SLC38A11"
0,5.55037840714377,0.498,0.016,0,"3","GJA4"
0,5.51931004067078,0.272,0.017,0,"3","ECRG4"
0,5.31997039563837,0.578,0.018,0,"3","ADGRF5"
9.42141872849952e-316,5.31898862407321,0.112,0.004,8.4803132117097e-311,"3","LDB3"
0,5.31186810844065,0.159,0.005,0,"3","LINC00989"
3.67271495722505e-289,5.27398969708605,0.102,0.003,3.30584746014784e-284,"3","TMEM74B"
0,5.24814807260988,0.252,0.008,0,"3","ABLIM2"
0,5.1587822365502,0.269,0.009,0,"3","HTR1F"
0,5.14643911414055,0.629,0.049,0,"3","TINAGL1"
3.00098117460067e-308,5.07956165525897,0.114,0.004,2.7012131650698e-303,"3","SEMA5B"
0,4.98594803964668,0.366,0.017,0,"3","HIGD1B"
0,4.88586724434098,0.283,0.017,0,"3","MAP2"
1.53802376484407e-300,4.84610557184936,0.127,0.007,1.3843905709738e-295,"3","HS6ST3"
0,4.8068966878869,0.368,0.023,0,"3","ITGA7"
3.34406862171461e-264,4.78255964342153,0.123,0.009,3.01002960709154e-259,"3","PIP5K1B"
0,4.76663878829611,0.219,0.011,0,"3","AVPR1A"
0,4.74426283532104,0.473,0.057,0,"3","CPM"
0,4.62985705484855,0.209,0.01,0,"3","FOXS1"
0,4.61728055542129,0.376,0.024,0,"3","COX4I2"
4.50307817234842e-246,4.61427796979148,0.104,0.006,4.05326569371254e-241,"3","LZTS1-AS1"
0,4.60952609854268,0.744,0.067,0,"3","NOTCH3"
0,4.60448260737086,0.244,0.012,0,"3","ADAP2"
0,4.58135540904062,0.205,0.012,0,"3","LINC00924"
0,4.55116736537469,0.566,0.041,0,"3","MCAM"
0,4.54887774687237,0.678,0.07,0,"3","RGS5"
0,4.49980664336198,0.197,0.016,0,"3","PLN"
0,4.49412375559033,0.411,0.021,0,"3","ESAM"
0,4.49294079490009,0.18,0.016,0,"3","KCNQ3"
0,4.48878854790227,0.393,0.033,0,"3","NEURL1B"
0,4.48492473735101,0.131,0.006,0,"3","GPR4"
0,4.43843774468232,0.567,0.066,0,"3","NDUFA4L2"
0,4.39954557163296,0.258,0.016,0,"3","HEY2"
0,4.39222224268417,0.349,0.028,0,"3","SSTR2"
2.87459752859021e-212,4.37407524776823,0.137,0.017,2.58745398145933e-207,"3","CCL8"
0,4.36420639234514,0.431,0.042,0,"3","GJC1"
0,4.33845301036534,0.335,0.024,0,"3","DPY19L2"
0,4.32557416935633,0.7,0.093,0,"3","INPP4B"
0,4.29361983597933,0.395,0.044,0,"3","EGFLAM"
0,4.29232988213361,0.522,0.052,0,"3","ANGPT2"
1.47081791786789e-257,4.25025932855028,0.109,0.006,1.32389791605207e-252,"3","PCDH1"
0,4.21675506187203,0.134,0.007,0,"3","ACAN"
0,4.19761363511595,0.319,0.027,0,"3","LZTS1"
1.12308814168008e-07,3.36663430392691,0.077,0.13,0.0101090286720766,"4","IGHA2"
8.85789900453595e-16,3.03368996271317,0.457,0.444,7.97308347297286e-11,"4","IGKC"
