"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.52533212037841,0.77,0.061,0,"0","NRG1"
0,3.44146353119544,0.707,0.086,0,"0","TRPA1"
0,3.15621687261105,0.693,0.109,0,"0","NALF1"
0,4.57801194765672,0.604,0.053,0,"0","STC1"
0,3.36056075400204,0.621,0.071,0,"0","HSD17B2"
0,2.21021395117294,0.757,0.216,0,"0","TGFBI"
0,2.9376261379489,0.631,0.105,0,"0","BMP5"
0,2.57764597327357,0.622,0.115,0,"0","ITGA8"
0,3.77177238515066,0.528,0.043,0,"0","SLC14A1"
0,2.61250233186864,0.559,0.082,0,"0","SOX6"
0,3.00562789468019,0.545,0.077,0,"0","AFF3"
0,2.01999637397209,0.582,0.117,0,"0","DACH1"
0,2.27810359611678,0.643,0.192,0,"0","FENDRR"
0,2.34778776588626,0.576,0.125,0,"0","LAMC3"
0,2.32494339955555,0.658,0.232,0,"0","TCIM"
0,1.97363183238287,0.514,0.115,0,"0","WFDC1"
0,1.82096764000354,0.636,0.238,0,"0","BST2"
0,1.95146604759756,0.555,0.158,0,"0","PDGFC"
0,1.59481182832315,0.562,0.17,0,"0","ANK3"
0,2.84908459331283,0.462,0.072,0,"0","WNT5A"
0,1.6909133752853,0.729,0.341,0,"0","DKK3"
0,2.64383617348246,0.457,0.072,0,"0","SGCZ"
0,4.41869729510625,0.488,0.104,0,"0","AREG"
0,1.97084195936493,0.484,0.119,0,"0","PRDM1"
0,3.16097792802959,0.425,0.065,0,"0","EMID1"
0,1.99979845228584,0.55,0.194,0,"0","TGM2"
0,2.76721407703316,0.553,0.197,0,"0","GDF15"
0,2.06745519314939,0.509,0.153,0,"0","MCTP2"
0,1.84408303942276,0.56,0.207,0,"0","ABCC4"
0,1.207134513429,0.513,0.161,0,"0","KRT18"
0,1.29857672126771,0.515,0.165,0,"0","PAG1"
0,1.84389528490573,0.526,0.177,0,"0","TM4SF1"
0,2.08979959250664,0.477,0.129,0,"0","TNIK"
0,2.45707908658323,0.407,0.062,0,"0","POU6F2"
0,3.02838544889819,0.396,0.054,0,"0","NDNF"
0,2.16075066212602,0.613,0.274,0,"0","F3"
0,3.15531896019086,0.388,0.051,0,"0","ALDH1A2"
0,2.22204631458702,0.592,0.267,0,"0","AKR1B1"
0,1.85577281005539,0.424,0.108,0,"0","DOCK5"
0,1.7738309671721,0.809,0.494,0,"0","CYGB"
0,2.00435610295151,0.404,0.091,0,"0","ZNF536"
0,3.23958391697516,0.364,0.051,0,"0","TSPAN13"
0,2.16667707853908,0.405,0.109,0,"0","NEDD4L"
0,1.41902843961244,0.8,0.504,0,"0","ETS2"
0,3.8268442956708,0.314,0.021,0,"0","ENSG00000260658"
0,2.74542282773458,0.337,0.057,0,"0","SORCS1"
0,1.4903260582912,0.848,0.572,0,"0","TMEM176B"
0,2.83295942088017,0.319,0.048,0,"0","OTULINL"
0,2.65168681811051,0.352,0.083,0,"0","AGT"
0,3.25707189033817,0.293,0.024,0,"0","ATRNL1"
0,3.10833772392165,0.299,0.037,0,"0","BMP7"
0,2.62826230338133,0.339,0.079,0,"0","TSLP"
0,2.74321172176769,0.301,0.042,0,"0","TENM2"
0,1.72437994973156,0.89,0.632,0,"0","PLAT"
0,3.15195367323919,0.315,0.058,0,"0","ENPP2"
0,2.93154714308539,0.311,0.058,0,"0","MITA1"
0,2.86711433621744,0.287,0.038,0,"0","EFCC1"
0,2.91225451189782,0.287,0.046,0,"0","PTGER2"
0,2.84250173846826,0.291,0.054,0,"0","ITGA2"
0,2.27962747143542,0.261,0.044,0,"0","SEMA4D"
0,3.94162442722562,0.237,0.021,0,"0","RBFOX1"
0,4.20631234855347,0.223,0.009,0,"0","FAM135B"
0,4.1157777955465,0.224,0.011,0,"0","GALNTL6"
0,3.52900244190435,0.235,0.026,0,"0","WNT4"
0,3.71658854989648,0.227,0.019,0,"0","C1QL1"
0,2.67060588539789,0.237,0.032,0,"0","TBXAS1"
0,2.82877251468028,0.22,0.023,0,"0","TSPAN33"
0,3.00984128259904,0.207,0.02,0,"0","ENSG00000285367"
0,4.05370410723387,0.176,0.005,0,"0","TACR3"
0,1.1510166312879,0.956,0.902,0,"0","HLA-A"
0,0.947859214547655,0.994,0.988,0,"0","B2M"
8.64614880222181e-321,4.12081150072731,0.141,0.009,7.78248499836788e-316,"0","NPFFR2"
3.35075321009533e-320,3.60029917147915,0.158,0.013,3.01604647193891e-315,"0","NSG1"
1.69810362475636e-317,1.50963607828204,0.72,0.365,1.52848005367945e-312,"0","COL8A1"
3.58660038679411e-317,1.48067621353355,0.745,0.435,3.22833487415725e-312,"0","PKIG"
1.50083912128575e-316,1.88196826139243,0.573,0.242,1.35092030146052e-311,"0","MGLL"
1.47864356799228e-315,1.72006323402006,0.668,0.342,1.33094186198554e-310,"0","ITM2C"
3.59256904564183e-315,1.61172052092103,0.633,0.291,3.23370732367266e-310,"0","TBX3"
1.27154115231336e-308,1.97808882049897,0.448,0.145,1.14452690660878e-303,"0","CD82"
2.28385113794669e-306,1.99043980395546,0.501,0.184,2.05571724777719e-301,"0","ATP1B1"
