"resolution","cluster","n_cells","n_orig.ident","n_dataset","n_patient","largest_orig.ident_fraction","largest_dataset_fraction"
0.4,"2",2439,48,5,NA,0.181221812218122,0.650266502665027
0.4,"1",4080,39,5,NA,0.193382352941176,0.588235294117647
0.4,"7",787,32,5,NA,0.16010165184244,0.45997458703939
0.4,"0",4572,26,4,NA,0.382108486439195,0.902449693788276
0.4,"4",1568,52,5,NA,0.0669642857142857,0.364158163265306
0.4,"5",1376,43,5,NA,0.21656976744186,0.478197674418605
0.4,"8",772,24,4,NA,0.380829015544041,0.670984455958549
0.4,"9",213,30,5,NA,0.187793427230047,0.507042253521127
0.4,"3",2316,42,5,NA,0.161485319516408,0.72279792746114
0.4,"6",964,18,3,NA,0.284232365145228,0.950207468879668
1.2,"0",2341,48,5,NA,0.186245194361384,0.662964545066211
1.2,"4",1532,28,5,NA,0.182767624020888,0.466057441253264
1.2,"9",808,32,5,NA,0.159653465346535,0.467821782178218
1.2,"2",1803,20,3,NA,0.395452024403771,0.91236827509706
1.2,"6",1159,48,5,NA,0.087144089732528,0.328731665228645
1.2,"5",1341,28,5,NA,0.179716629381059,0.610738255033557
1.2,"12",700,46,5,NA,0.167142857142857,0.482857142857143
1.2,"10",803,24,4,NA,0.382316313823163,0.676214196762142
1.2,"13",687,23,4,NA,0.229985443959243,0.850072780203785
1.2,"7",1055,24,5,NA,0.277725118483412,0.844549763033175
1.2,"15",241,39,5,NA,0.0829875518672199,0.514522821576763
1.2,"18",122,32,5,NA,0.147540983606557,0.352459016393443
1.2,"1",2046,20,4,NA,0.444281524926686,0.918866080156403
1.2,"16",239,30,5,NA,0.171548117154812,0.489539748953975
1.2,"11",780,34,5,NA,0.324358974358974,0.451282051282051
1.2,"3",1795,40,5,NA,0.183286908077994,0.710306406685237
1.2,"17",146,35,5,NA,0.102739726027397,0.424657534246575
1.2,"14",513,37,5,NA,0.247563352826511,0.769980506822612
1.2,"8",976,18,3,NA,0.284836065573771,0.949795081967213
