"program","gene","present"
"Pericyte","RGS5",TRUE
"Pericyte","CSPG4",TRUE
"Pericyte","MCAM",TRUE
"Pericyte","NOTCH3",TRUE
"Pericyte","KCNJ8",TRUE
"Pericyte","ABCC9",TRUE
"Pericyte","COX4I2",TRUE
"Pericyte","NDUFA4L2",TRUE
"Pericyte","HIGD1B",TRUE
"Pericyte","GUCY1A2",TRUE
"Smooth_muscle","ACTA2",TRUE
"Smooth_muscle","TAGLN",TRUE
"Smooth_muscle","MYH11",TRUE
"Smooth_muscle","CNN1",TRUE
"Smooth_muscle","DES",TRUE
"Smooth_muscle","LMOD1",TRUE
"Smooth_muscle","PGM5",TRUE
"Smooth_muscle","ACTC1",TRUE
"Smooth_muscle","PLN",TRUE
"Smooth_muscle","CASQ2",TRUE
"Smooth_muscle","SPEG",TRUE
"Smooth_muscle","SORBS2",TRUE
"Smooth_muscle","MYOCD",TRUE
"Smooth_muscle","KCNMB1",TRUE
"Fibro_audit","COL1A1",TRUE
"Fibro_audit","COL1A2",TRUE
"Fibro_audit","COL3A1",TRUE
"Fibro_audit","DCN",TRUE
"Fibro_audit","LUM",TRUE
"Fibro_audit","PI16",TRUE
"Fibro_audit","DPT",TRUE
"Fibro_audit","SFRP2",TRUE
"Fibro_audit","CXCL14",TRUE
"Fibro_audit","PDPN",TRUE
