"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.75294923749902e-214,3.73207230934791,0.319,0.022,6.97850713816524e-209,"0","PRPH"
1.87695094275042e-299,3.38533956310647,0.742,0.305,1.68946231307908e-294,"0","MT1X"
9.34785891810119e-86,3.31890080531922,0.175,0.027,8.41410129077206e-81,"0","SCX"
2.21646455025907e-248,3.18127827173807,0.49,0.103,1.99506190633369e-243,"0","RBKS"
3.3618705210507e-82,3.10912471657893,0.138,0.011,3.02605327470294e-77,"0","DUSP26"
8.0326217170499e-116,3.06098449575466,0.245,0.043,7.23024313373378e-111,"0","SERPINE3"
1.0606370716002e-115,3.06064581186437,0.199,0.02,9.54690034518057e-111,"0","BRSK2"
3.49552321425303e-141,2.92634643333151,0.281,0.045,3.14635540038129e-136,"0","ARC"
2.98649105937466e-96,2.9097944735758,0.176,0.02,2.68817046745373e-91,"0","BAALC"
2.38376960260059e-57,2.89829743233547,0.124,0.02,2.14565485699682e-52,"0","LINC01348"
1.0039389619981e-159,2.81739461943116,0.271,0.027,9.03655499084111e-155,"0","PCP4L1"
2.03948980507924e-85,2.81307603482536,0.148,0.014,1.83576516844988e-80,"0","PPP1CB-DT"
0,2.8119117151067,0.589,0.055,0,"0","RERGL"
2.62005465023555e-91,2.80208648508764,0.162,0.017,2.35833739122352e-86,"0","FABP3"
1.61041414054047e-261,2.74693117920775,0.569,0.141,1.44954987204188e-256,"0","MT1A"
4.98289739222983e-217,2.72139719852876,0.539,0.162,4.48515577172e-212,"0","IL6"
1.73298559684017e-228,2.71952992155936,0.421,0.063,1.5598776655718e-223,"0","HS3ST2"
1.89082606152988e-93,2.68679357028163,0.179,0.023,1.70195144624366e-88,"0","GGTA1"
4.39287056594229e-111,2.58696094054799,0.221,0.032,3.95406672511031e-106,"0","SRL"
1.23786040883496e-70,2.55632697557081,0.151,0.024,1.11421053259644e-65,"0","NUDT4B"
1.90915754205502e-86,2.53329337852282,0.188,0.031,1.71845179517914e-81,"0","SLC7A8"
0,2.52970850758931,0.683,0.09,0,"0","NTRK2"
1.0686901528135e-116,2.5294197248575,0.188,0.014,9.61938693448961e-112,"0","LOHAN2"
5.53922177378949e-262,2.48258670575041,0.643,0.207,4.98590891080566e-257,"0","MT1M"
3.05546657208824e-129,2.47715406112552,0.249,0.033,2.75025601620235e-124,"0","KCNA5"
3.15534706259031e-289,2.4721807049835,0.569,0.123,2.84015944450817e-284,"0","NRGN"
4.2238086296332e-63,2.47015574179661,0.143,0.025,3.80189238561914e-58,"0","LINC03082"
0,2.4530287449811,0.77,0.167,0,"0","PLN"
0,2.44775236628227,0.976,0.557,0,"0","GADD45B"
0,2.37025320558671,0.7,0.18,0,"0","ADRA2A"
8.29560274790276e-273,2.36586553731725,0.497,0.074,7.46695498941475e-268,"0","HRH2"
4.37108875161756e-188,2.35614231197805,0.35,0.047,3.93446069621848e-183,"0","SBSPON"
9.07729910186119e-67,2.35192357638973,0.137,0.02,8.17056769457628e-62,"0","ITIH3"
4.73425195237787e-57,2.33171607073205,0.141,0.028,4.26134752485485e-52,"0","FIBIN"
2.05336799650602e-115,2.32698701009087,0.258,0.047,1.84825706733504e-110,"0","LINGO3"
1.66219357769055e-272,2.32477043226009,0.586,0.147,1.49615706121504e-267,"0","SLC25A4"
4.32529037620923e-49,2.32394049292462,0.151,0.041,3.89323712052969e-44,"0","MEDAG"
2.19097805597347e-108,2.2948437759506,0.243,0.043,1.97212125796228e-103,"0","CX3CL1"
0,2.29311813033218,0.816,0.239,0,"0","SORBS2"
0,2.28777344426979,0.858,0.303,0,"0","BCAM"
1.04469395983736e-76,2.27792361984194,0.181,0.034,9.4033948018921e-72,"0","NCAPG2"
8.01106982736135e-73,2.26978069036973,0.157,0.025,7.21084406230622e-68,"0","MYOZ1"
7.8647642020935e-104,2.23006597193727,0.217,0.034,7.07915290594638e-99,"0","SCN3A"
1.61112666752599e-90,2.22426536418397,0.21,0.04,1.45019122470682e-85,"0","CTH"
