"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.51545407137571,0.934,0.287,0,"0","CCDC102B"
0,2.52142751888163,0.93,0.288,0,"0","THY1"
0,2.58434271822688,0.78,0.138,0,"0","GUCY1A2"
0,2.45709457891227,0.759,0.144,0,"0","PLXDC1"
0,2.12616452065993,0.707,0.136,0,"0","ADGRF5"
3.75281822734809e-312,1.58104278642403,0.994,0.787,3.37794921461829e-307,"0","SPARC"
1.14944942292328e-310,2.2786907618649,0.774,0.212,1.03463092006747e-305,"0","CYGB"
8.58330684188114e-309,3.23449571063866,0.533,0.075,7.72592032144563e-304,"0","FJX1"
2.27983036917426e-297,2.56838355682184,0.65,0.137,2.05209811359744e-292,"0","EGFLAM"
3.01982659558455e-297,2.19944278650797,0.799,0.271,2.71817611695161e-292,"0","CHN1"
3.56582667936692e-294,2.11699554538357,0.807,0.286,3.20963625236496e-289,"0","ARHGDIB"
6.03949428145633e-285,1.78382914418666,0.955,0.612,5.43620919768165e-280,"0","NDUFA4L2"
9.00274836048827e-269,2.02243611150765,0.764,0.24,8.1034638267591e-264,"0","UACA"
1.20678477012769e-266,2.00258262127002,0.755,0.224,1.08623903943963e-261,"0","HIGD1B"
1.24168053921074e-265,1.94347763361381,0.857,0.384,1.11764907014898e-260,"0","CYTOR"
8.69554872165992e-261,2.15087612566693,0.735,0.219,7.82695035985331e-256,"0","PAG1"
3.08397749490647e-260,1.87313780432088,0.881,0.436,2.77591898294026e-255,"0","IFI27"
6.64380571357723e-259,3.44533244839949,0.345,0.021,5.980155960848e-254,"0","LPL"
6.42389945610257e-256,2.10650749678626,0.588,0.119,5.78221613943249e-251,"0","GMFG"
8.03550239028166e-255,2.44918418037632,0.607,0.14,7.23283605651642e-250,"0","TNFRSF21"
5.27966305849109e-254,2.68916612486613,0.515,0.086,4.75227751557842e-249,"0","LAMC3"
5.83272989774732e-253,2.33031869236999,0.628,0.152,5.25009850826134e-248,"0","CD248"
1.35379236620347e-249,1.75457158610112,0.75,0.225,1.21856204674341e-244,"0","MARCKS"
4.98623746448263e-247,1.76091899591977,0.854,0.395,4.48816220415546e-242,"0","MYO1B"
1.34705524775384e-246,1.90389736490334,0.782,0.295,1.21249789905571e-241,"0","LURAP1L"
2.06233094131378e-246,2.0558055168509,0.599,0.13,1.85632470358595e-241,"0","F2R"
5.94515256320458e-245,2.21963920587734,0.635,0.162,5.35129127366608e-240,"0","EGFL6"
5.1824688549268e-242,2.04445155859584,0.695,0.193,4.66479204100816e-237,"0","SPON2"
2.66895253580628e-240,1.69051676826154,0.818,0.318,2.40235086700459e-235,"0","ANGPT2"
2.4935754356309e-238,1.75591724633779,0.893,0.485,2.24449218536573e-233,"0","MIR4435-2HG"
4.03161196961609e-231,2.17892985335195,0.583,0.131,3.62889424997114e-226,"0","DENND2A"
7.95075782593787e-229,2.48927174691967,0.467,0.077,7.15655662670493e-224,"0","TSPAN5"
1.4505274913193e-228,2.08141361609964,0.596,0.143,1.30563430021142e-223,"0","RFTN1"
2.53419217156842e-228,2.12547173893735,0.586,0.138,2.28105171555045e-223,"0","FAM13C"
3.60617485455097e-225,1.97211107550989,0.588,0.135,3.24595404832987e-220,"0","PAMR1"
1.68538653294852e-224,1.66127059614454,0.867,0.417,1.5170332721723e-219,"0","ITGA1"
3.04910671917738e-221,1.49195479239686,0.884,0.399,2.74453144899875e-216,"0","COL5A2"
1.20615109974564e-219,1.0586346930246,0.973,0.591,1.08566866639205e-214,"0","COL3A1"
2.09358634872166e-219,1.88726318752074,0.63,0.163,1.88445800834785e-214,"0","ARHGAP15"
9.24741941299088e-214,1.44675036677155,0.954,0.657,8.32369468782722e-209,"0","DLC1"
5.91849828033369e-212,1.31822702731823,0.966,0.748,5.32729948711116e-207,"0","COL4A1"
2.07709231548671e-211,1.0992757919126,0.994,0.93,1.86961156409275e-206,"0","TMSB10"
3.30359401873284e-211,1.92335224633981,0.786,0.364,2.97359801220162e-206,"0","COX4I2"
2.5246681248149e-210,1.05614642005728,0.806,0.264,2.27247902582714e-205,"0","COL6A3"
1.37158226746668e-207,0.912192883887448,0.978,0.628,1.23457491476943e-202,"0","COL1A2"
2.01598945230498e-207,1.83387552529572,0.721,0.262,1.81461226591424e-202,"0","PRSS23"
4.84570548901415e-207,1.25268571287008,0.949,0.713,4.36166796771653e-202,"0","LHFPL6"
5.24372322326263e-205,2.1922374115187,0.439,0.073,4.71992771049093e-200,"0","ADAM12"
1.78468989435808e-204,0.927602798036081,0.999,0.989,1.60641722081065e-199,"0","B2M"
7.82545136137966e-198,1.06108958611253,0.985,0.865,7.04376702489145e-193,"0","HLA-B"
1.3498642502358e-196,1.64947437739052,0.776,0.34,1.21502631027974e-191,"0","SEPTIN11"
7.11441471966409e-195,2.13867951739131,0.563,0.157,6.40375583331684e-190,"0","TESC"
1.38953259898735e-193,2.35357277393768,0.449,0.087,1.2507321876745e-188,"0","IFIT3"
9.79002781516969e-193,1.64618251337436,0.729,0.26,8.81210193671239e-188,"0","SGIP1"
1.59813687169034e-192,2.49051279548508,0.401,0.065,1.43849897957719e-187,"0","ITGA4"
3.47774847112248e-192,3.0517767821785,0.303,0.028,3.13035617634205e-187,"0","CPA6"
4.32655983896572e-192,1.49704399271219,0.809,0.371,3.89437977665143e-187,"0","LAMA4"
4.34777271193554e-187,2.62271385187893,0.409,0.072,3.9134736957403e-182,"0","LINC01091"
1.37034920408367e-185,1.34060872991004,0.978,0.833,1.23346502208776e-180,"0","TIMP1"
7.74984853019521e-185,2.04189077609949,0.501,0.118,6.97571616051401e-180,"0","NRXN3"
9.04911706068434e-185,1.59876708659342,0.725,0.278,8.14520075749258e-180,"0","TNS3"
2.71881873736334e-182,1.58433223175286,0.756,0.331,2.44723593368811e-177,"0","TFPI"
1.11428874085038e-181,2.62368229532266,0.326,0.041,1.00298243852684e-176,"0","HTRA3"
1.67465961725138e-181,1.10621973902472,0.984,0.812,1.50737786808414e-176,"0","COL4A2"
2.94657650319807e-181,1.22606266861597,0.983,0.748,2.65224297629361e-176,"0","RGS5"
5.17699113663167e-181,2.78625679298452,0.301,0.031,4.65986149199353e-176,"0","TMEM74B"
2.95594057543439e-180,1.51268337248332,0.818,0.446,2.66067167135425e-175,"0","LGALS3BP"
8.37949492863842e-179,3.04220554796816,0.292,0.03,7.54246718021673e-174,"0","IQSEC3-AS1"
2.52871000187904e-178,1.53141961397072,0.685,0.238,2.27611715979134e-173,"0","GJC1"
2.00999618652272e-176,2.61450392777009,0.349,0.051,1.80921766745097e-171,"0","GRM8"
8.03327815412055e-174,2.77911733061089,0.316,0.04,7.23083399930545e-169,"0","TDO2"
1.6768767696236e-171,1.40645689991368,0.797,0.396,1.5093735491059e-166,"0","CYBA"
2.08375332334398e-170,1.1421830990022,0.934,0.678,1.87560720387515e-165,"0","COL18A1"
6.65516938573407e-170,1.67653421357762,0.602,0.194,5.9903845157931e-165,"0","NREP"
4.53164070269788e-169,2.00791835664479,0.674,0.282,4.07897511290539e-164,"0","FAM162B"
2.72264718806959e-168,1.91951471102283,0.584,0.189,2.45068196045332e-163,"0","TRPC6"
9.1200347597609e-168,2.14369876288398,0.381,0.068,8.20903448760839e-163,"0","MEST"
2.19887011640578e-165,1.81860852079013,0.558,0.168,1.97922498047801e-160,"0","OLFML2A"
4.64039098615365e-164,2.08514517560941,0.424,0.091,4.17686233054676e-159,"0","NID2"
7.48374085972474e-164,1.14134125640818,0.962,0.776,6.73618998524684e-159,"0","BGN"
1.6268874789352e-161,1.42597595190015,0.79,0.396,1.46437768866437e-156,"0","AGAP1"
1.09109476714152e-160,2.65007968027123,0.316,0.046,9.82105310851756e-156,"0","KCNK6"
2.83204219152738e-160,2.34381763488904,0.327,0.049,2.54914949701571e-155,"0","MIR181A1HG"
4.5523928188206e-160,1.57933318980446,0.656,0.24,4.09765430014861e-155,"0","SEMA5A"
6.88274494926535e-160,1.8195222389125,0.729,0.374,6.19522755628323e-155,"0","MARCKSL1"
2.06182582570576e-159,2.46527713709762,0.353,0.061,1.85587004397601e-154,"0","LIMD2"
1.26082542464039e-158,1.22196195434217,0.909,0.593,1.13488157297306e-153,"0","PDGFRB"
1.43971969647707e-157,1.26590544577635,0.858,0.612,1.29590609599598e-152,"0","RHOC"
4.13111070017954e-156,0.947345248041322,0.98,0.889,3.71845405233861e-151,"0","HLA-A"
9.12543910673752e-156,2.08983805677632,0.39,0.079,8.21389899436551e-151,"0","IL34"
1.88171844529614e-153,0.491717341961525,0.939,0.633,1.69375358979551e-148,"0","COL1A1"
3.64737897553851e-153,1.71974445788139,0.564,0.188,3.28304228967197e-148,"0","ADAP2"
1.22125035485134e-152,1.71120021134456,0.541,0.167,1.09925965690524e-147,"0","DOCK4"
2.42142015952537e-152,1.47156424449959,0.683,0.279,2.17954449979038e-147,"0","PRR16"
1.42649681918381e-150,1.71470045363738,0.544,0.176,1.28400405191554e-145,"0","TMEM204"
1.87753672129427e-150,1.43223601822559,0.742,0.383,1.68998957820419e-145,"0","GRK5"
4.5599891104002e-150,1.57532857072951,0.636,0.244,4.10449179816232e-145,"0","LOXL2"
3.65980837052486e-148,1.8195505538749,0.452,0.115,3.29423011239313e-143,"0","EPSTI1"
3.5188397816629e-147,1.82007377759747,0.601,0.222,3.1673428758726e-142,"0","HTR1F"
4.6962560746119e-147,1.57616891249704,0.571,0.184,4.22714705531892e-142,"0","GGT5"
1.18954091264962e-146,1.56548528429349,0.611,0.227,1.07071767088505e-141,"0","CHST11"
1.18486756611462e-144,3.07710298350094,0.224,0.019,1.06651114493543e-139,"0","TMEM273"
1.50630505908121e-144,1.0274272766504,0.903,0.691,1.35584024672959e-139,"0","MYL12A"
6.64388464825154e-144,2.33654313963205,0.309,0.049,5.9802270107377e-139,"0","SH2D3C"
7.64436172403146e-144,1.94703924893222,0.449,0.118,6.88076643141796e-139,"0","ZBTB46"
3.58594449099828e-143,0.930363102106949,0.986,0.931,3.22774449579247e-138,"0","LGALS1"
7.99909469148329e-143,1.27750725864229,0.738,0.334,7.20006512275103e-138,"0","BST2"
1.18393264741826e-142,2.36256398203416,0.363,0.075,1.06566961526765e-137,"0","NHSL2"
1.0910295736212e-141,2.525824370203,0.285,0.041,9.82046629512178e-137,"0","CHST2"
7.21362477849043e-141,1.6806782712792,0.577,0.204,6.49305579936702e-136,"0","COL5A3"
6.75178734676994e-140,1.16738799989995,0.782,0.387,6.07735130870109e-135,"0","ARHGAP42"
7.04599342784969e-140,1.36712067884937,0.772,0.403,6.34216914434179e-135,"0","CDH6"
1.12261127658963e-139,2.36488132626272,0.302,0.049,1.01047363617109e-134,"0","EMILIN2"
1.19786965550203e-139,2.03212857701938,0.417,0.104,1.07821445561393e-134,"0","PDZD2"
1.32149319463093e-139,1.66303589085265,0.507,0.16,1.18948923941925e-134,"0","EFHD2"
1.92185116695806e-139,1.88182096521799,0.464,0.131,1.72987745389062e-134,"0","NICOL1"
7.31472566078532e-139,2.02772669854459,0.435,0.117,6.58405771452947e-134,"0","KCNJ8"
7.9969273627352e-138,1.09445159637699,0.865,0.68,7.19811428847158e-133,"0","CLIC1"
1.73282057931595e-137,1.16616596051675,0.862,0.538,1.55972913164808e-132,"0","ASAP1"
4.83114022498513e-137,0.721983801188792,0.996,0.978,4.34855762791137e-132,"0","IGFBP7"
5.29988926194407e-136,1.89565767799578,0.476,0.137,4.77048332356848e-131,"0","LZTS1"
5.66042748887317e-136,1.46819319250233,0.547,0.186,5.09500738700963e-131,"0","CCND2"
